CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
eightball-1, 07-tendermint-2, connection-18, channel-16, transfer, osmosis-1, 07-tendermint-2668, connection-2163, channel-641, transfer
eightball-1, 07-tendermint-4, connection-19, channel-17, transfer, phoenix-1, 07-tendermint-170, connection-135, channel-115, transfer
eightball-1, 07-tendermint-5, connection-20, channel-18, transfer, phoenix-1, 07-tendermint-178, connection-141, channel-122, transfer
eightball-1, 07-tendermint-7, connection-21, channel-19, transfer, juno-1, 07-tendermint-353, connection-351, channel-250, transfer
eightball-1, 07-tendermint-9, connection-22, channel-20, transfer, arkh, 07-tendermint-37, connection-30, channel-15, transfer
eightball-1, 07-tendermint-11, connection-23, channel-21, transfer, arkh, 07-tendermint-39, connection-32, channel-16, transfer
eightball-1, 07-tendermint-12, connection-24, channel-22, transfer, arkh, 07-tendermint-40, connection-34, channel-17, transfer
eightball-1, 07-tendermint-13, connection-25, channel-23, transfer, agoric-3, 07-tendermint-24, connection-23, channel-16, transfer
eightball-1, 07-tendermint-14, connection-26, channel-24, transfer, akashnet-2, 07-tendermint-131, connection-106, channel-69, transfer
eightball-1, 07-tendermint-15, connection-27, channel-25, transfer, arkh, 07-tendermint-41, connection-36, channel-18, transfer
eightball-1, 07-tendermint-16, connection-28, channel-26, transfer, mantle-1, 07-tendermint-52, connection-33, channel-21, transfer
eightball-1, 07-tendermint-17, connection-29, channel-27, transfer, axelar-dojo-1, 07-tendermint-124, connection-111, channel-79, transfer
eightball-1, 07-tendermint-18, connection-30, channel-28, transfer, bitcanna-1, 07-tendermint-37, connection-35, channel-20, transfer
eightball-1, 07-tendermint-19, connection-31, channel-29, transfer, bitsong-2b, 07-tendermint-48, connection-31, channel-13, transfer
eightball-1, 07-tendermint-20, connection-32, channel-30, transfer, bostrom, 07-tendermint-41, connection-20, channel-17, transfer
eightball-1, 07-tendermint-22, connection-33, channel-31, transfer, cheqd-mainnet-1, 07-tendermint-27, connection-18, channel-11, transfer
eightball-1, 07-tendermint-23, connection-34, channel-32, transfer, chihuahua-1, 07-tendermint-130, connection-84, channel-43, transfer
eightball-1, 07-tendermint-24, connection-35, channel-33, transfer, comdex-1, 07-tendermint-144, connection-75, channel-66, transfer
eightball-1, 07-tendermint-25, connection-36, channel-34, transfer, cosmoshub-4, 07-tendermint-1125, connection-813, channel-571, transfer
eightball-1, 07-tendermint-26, connection-37, channel-35, transfer, crescent-1, 07-tendermint-79, connection-70, channel-43, transfer
eightball-1, 07-tendermint-27, connection-38, channel-36, transfer, crypto-org-chain-mainnet-1, 07-tendermint-1156, connection-283, channel-64, transfer
eightball-1, 07-tendermint-30, connection-40, channel-37, transfer, desmos-mainnet, 07-tendermint-27, connection-20, channel-12, transfer
eightball-1, 07-tendermint-32, connection-41, channel-38, transfer, fetchhub-4, 07-tendermint-61, connection-30, channel-21, transfer
eightball-1, 07-tendermint-33, connection-42, channel-39, transfer, gravity-bridge-3, 07-tendermint-375, connection-360, channel-124, transfer
eightball-1, 07-tendermint-34, connection-43, channel-40, transfer, injective-1, 07-tendermint-169, connection-155, channel-120, transfer
eightball-1, 07-tendermint-36, connection-44, channel-41, transfer, mars-1, 07-tendermint-15, connection-10, channel-6, transfer
eightball-1, 07-tendermint-37, connection-45, channel-42, transfer, migaloo-1, 07-tendermint-43, connection-31, channel-21, transfer
eightball-1, 07-tendermint-53, connection-47, channel-43, transfer, irishub-1, 07-tendermint-97, connection-75, channel-42, transfer
eightball-1, 07-tendermint-55, connection-48, channel-44, transfer, jackal-1, 07-tendermint-9, connection-6, channel-5, transfer
eightball-1, 07-tendermint-56, connection-49, channel-45, transfer, kava_2222-10, 07-tendermint-74, connection-119, channel-90, transfer
eightball-1, 07-tendermint-57, connection-50, channel-46, transfer, kichain-2, 07-tendermint-35, connection-29, channel-23, transfer
eightball-1, 07-tendermint-58, connection-51, channel-47, transfer, kaiyo-1, 07-tendermint-115, connection-83, channel-76, transfer
eightball-1, 07-tendermint-59, connection-52, channel-48, transfer, likecoin-mainnet-2, 07-tendermint-37, connection-23, channel-14, transfer
eightball-1, 07-tendermint-60, connection-53, channel-49, transfer, odin-mainnet-freya, 07-tendermint-54, connection-42, channel-28, transfer
eightball-1, 07-tendermint-61, connection-54, channel-50, transfer, osmosis-1, 07-tendermint-2780, connection-2281, channel-776, transfer
eightball-1, 07-tendermint-62, connection-55, channel-51, transfer, core-1, 07-tendermint-108, connection-149, channel-86, transfer
eightball-1, 07-tendermint-65, connection-56, channel-52, transfer, quicksilver-2, 07-tendermint-30, connection-17, channel-60, transfer
eightball-1, 07-tendermint-66, connection-57, channel-53, transfer, regen-1, 07-tendermint-118, connection-106, channel-109, transfer
eightball-1, 07-tendermint-67, connection-58, channel-54, transfer, secret-4, 07-tendermint-140, connection-100, channel-66, transfer
eightball-1, 07-tendermint-68, connection-59, channel-55, transfer, sentinelhub-2, 07-tendermint-134, connection-110, channel-73, transfer
eightball-1, 07-tendermint-69, connection-60, channel-56, transfer, sommelier-3, 07-tendermint-16, connection-15, channel-8, transfer
eightball-1, 07-tendermint-70, connection-61, channel-57, transfer, stargaze-1, 07-tendermint-242, connection-175, channel-149, transfer
eightball-1, 07-tendermint-71, connection-62, channel-58, transfer, iov-mainnet-ibc, 07-tendermint-60, connection-46, channel-28, transfer
eightball-1, 07-tendermint-72, connection-63, channel-59, transfer, stride-1, 07-tendermint-86, connection-76, channel-89, transfer
eightball-1, 07-tendermint-73, connection-64, channel-60, transfer, teritori-1, 07-tendermint-44, connection-20, channel-16, transfer
eightball-1, 07-tendermint-74, connection-65, channel-61, transfer, columbus-5, 07-tendermint-180, connection-107, channel-74, transfer
eightball-1, 07-tendermint-75, connection-66, channel-62, transfer, umee-1, 07-tendermint-186, connection-127, channel-56, transfer
eightball-1, 07-tendermint-76, connection-67, channel-63, transfer, vidulum-1, 07-tendermint-10, connection-18, channel-15, transfer
eightball-1, 07-tendermint-106, connection-81, channel-64, transfer, osmosis-1, 07-tendermint-2841, connection-2353, channel-1048, transfer
eightball-1, 07-tendermint-107, connection-82, channel-65, transfer, osmosis-1, 07-tendermint-2841, connection-2354, channel-1049, transfer
eightball-1, 07-tendermint-110, connection-85, channel-66, transfer, phoenix-1, 07-tendermint-306, connection-214, channel-188, transfer
