CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
akashnet-2, 07-tendermint-8, connection-2, channel-0, transfer, cosmoshub-4, 07-tendermint-146, connection-192, channel-95, transfer
akashnet-2, 07-tendermint-9, connection-3, channel-1, transfer, cosmoshub-4, 07-tendermint-148, connection-194, channel-97, transfer
akashnet-2, 07-tendermint-31, connection-16, channel-10, transfer, cosmoshub-4, 07-tendermint-352, connection-310, channel-165, transfer
akashnet-2, 07-tendermint-156, connection-136, channel-100, transfer, arkh, 07-tendermint-44, connection-39, channel-21, transfer
akashnet-2, 07-tendermint-161, connection-141, channel-101, transfer, odin-mainnet-freya, 07-tendermint-74, connection-59, channel-44, transfer
akashnet-2, 07-tendermint-163, connection-144, channel-105, transfer, iov-mainnet-ibc, 07-tendermint-83, connection-65, channel-41, transfer
akashnet-2, 07-tendermint-164, connection-145, channel-106, transfer, stride-1, 07-tendermint-106, connection-95, channel-111, transfer
akashnet-2, 07-tendermint-84, connection-58, channel-108, transfer, juno-1, 07-tendermint-80, connection-47, channel-278, wasm.juno1suwdptdd656qnyvnw7rud0df3fl0h7fmzp0m5yvp7znrew9ej0hsc4ns8q
akashnet-2, 07-tendermint-166, connection-146, channel-109, transfer, archway-1, 07-tendermint-26, connection-28, channel-26, transfer
akashnet-2, 07-tendermint-44, connection-19, channel-11, transfer, irishub-1, 07-tendermint-23, connection-16, channel-9, transfer
akashnet-2, 07-tendermint-167, connection-149, channel-110, transfer, phoenix-1, 07-tendermint-327, connection-247, channel-218, transfer
akashnet-2, 07-tendermint-45, connection-21, channel-12, transfer, sentinelhub-2, 07-tendermint-42, connection-27, channel-6, transfer
akashnet-2, 07-tendermint-47, connection-22, channel-13, transfer, regen-1, 07-tendermint-20, connection-9, channel-7, transfer
akashnet-2, 07-tendermint-48, connection-23, channel-14, transfer, crypto-org-chain-mainnet-1, 07-tendermint-65, connection-38, channel-21, transfer
akashnet-2, 07-tendermint-51, connection-27, channel-15, transfer, dig-testnet-1, 07-tendermint-20, connection-4, channel-1, transfer
akashnet-2, 07-tendermint-52, connection-28, channel-16, transfer, irishub-1, 07-tendermint-27, connection-19, channel-11, transfer
akashnet-2, 07-tendermint-53, connection-29, channel-17, transfer, cosmoshub-4, 07-tendermint-385, connection-339, channel-184, transfer
akashnet-2, 07-tendermint-54, connection-30, channel-18, transfer, crypto-org-chain-mainnet-1, 07-tendermint-731, connection-217, channel-24, transfer
akashnet-2, 07-tendermint-55, connection-31, channel-19, transfer, osmosis-1, 07-tendermint-640, connection-602, channel-18, transfer
akashnet-2, 07-tendermint-10, connection-4, channel-2, transfer, swap-testnet-2005, 07-tendermint-1, connection-1, channel-1, transfer
akashnet-2, 07-tendermint-56, connection-32, channel-20, transfer, core-1, 07-tendermint-32, connection-26, channel-20, transfer
akashnet-2, 07-tendermint-57, connection-33, channel-21, transfer, regen-1, 07-tendermint-26, connection-23, channel-10, transfer
akashnet-2, 07-tendermint-58, connection-34, channel-22, transfer, sentinelhub-2, 07-tendermint-55, connection-31, channel-10, transfer
akashnet-2, 07-tendermint-59, connection-35, channel-23, transfer, iov-mainnet-ibc, 07-tendermint-29, connection-18, channel-6, transfer
akashnet-2, 07-tendermint-61, connection-36, channel-24, transfer, sifchain-1, 07-tendermint-11, connection-2, channel-2, transfer
akashnet-2, 07-tendermint-62, connection-37, channel-25, transfer, sifchain-1, 07-tendermint-15, connection-5, channel-5, transfer
akashnet-2, 07-tendermint-18, connection-11, channel-26, transfer, osmosis-1, 07-tendermint-0, connection-2, channel-33, transfer
akashnet-2, 07-tendermint-66, connection-39, channel-27, transfer, iov-mainnet-ibc, 07-tendermint-35, connection-20, channel-7, transfer
akashnet-2, 07-tendermint-67, connection-40, channel-28, transfer, microtick-1, 07-tendermint-83, connection-82, channel-5, transfer
akashnet-2, 07-tendermint-76, connection-50, channel-29, transfer, impacthub-3, 07-tendermint-8, connection-8, channel-0, transfer
akashnet-2, 07-tendermint-11, connection-5, channel-3, transfer, core-1, 07-tendermint-2, connection-2, channel-3, transfer
