CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
arkh, 07-tendermint-1, connection-1, channel-0, transfer, cosmoshub-testnet, 07-tendermint-76, connection-66, channel-61, transfer
arkh, 07-tendermint-2, connection-2, channel-1, transfer, cosmoshub-testnet, 07-tendermint-77, connection-67, channel-62, transfer
arkh, 07-tendermint-23, connection-17, channel-10, transfer, sifchain-1, 07-tendermint-63, connection-38, channel-32, transfer
arkh, 07-tendermint-30, connection-21, channel-11, transfer, osmosis-1, 07-tendermint-2673, connection-2175, channel-645, transfer
arkh, 07-tendermint-34, connection-27, channel-12, transfer, osmosis-1, 07-tendermint-2697, connection-2235, channel-648, transfer
arkh, 07-tendermint-35, connection-28, channel-13, transfer, phoenix-1, 07-tendermint-139, connection-120, channel-103, transfer
arkh, 07-tendermint-36, connection-29, channel-14, transfer, phoenix-1, 07-tendermint-179, connection-142, channel-123, transfer
arkh, 07-tendermint-37, connection-30, channel-15, transfer, eightball-1, 07-tendermint-9, connection-22, channel-20, transfer
arkh, 07-tendermint-39, connection-32, channel-16, transfer, eightball-1, 07-tendermint-11, connection-23, channel-21, transfer
arkh, 07-tendermint-40, connection-34, channel-17, transfer, eightball-1, 07-tendermint-12, connection-24, channel-22, transfer
arkh, 07-tendermint-41, connection-36, channel-18, transfer, eightball-1, 07-tendermint-15, connection-27, channel-25, transfer
arkh, 07-tendermint-42, connection-37, channel-19, transfer, agoric-3, 07-tendermint-26, connection-25, channel-18, transfer
arkh, 07-tendermint-3, connection-3, channel-2, transfer, cosmoshub-testnet, 07-tendermint-78, connection-68, channel-63, transfer
arkh, 07-tendermint-43, connection-38, channel-20, transfer, akashnet-2, 07-tendermint-134, connection-113, channel-74, transfer
arkh, 07-tendermint-44, connection-39, channel-21, transfer, akashnet-2, 07-tendermint-156, connection-136, channel-100, transfer
arkh, 07-tendermint-45, connection-40, channel-22, transfer, mantle-1, 07-tendermint-55, connection-36, channel-24, transfer
arkh, 07-tendermint-46, connection-41, channel-23, transfer, axelar-dojo-1, 07-tendermint-126, connection-113, channel-81, transfer
arkh, 07-tendermint-47, connection-42, channel-24, transfer, bitcanna-1, 07-tendermint-41, connection-39, channel-23, transfer
arkh, 07-tendermint-49, connection-44, channel-25, transfer, bostrom, 07-tendermint-44, connection-23, channel-20, transfer
arkh, 07-tendermint-52, connection-46, channel-26, transfer, bitsong-2b, 07-tendermint-51, connection-33, channel-15, transfer
arkh, 07-tendermint-54, connection-47, channel-27, transfer, cheqd-mainnet-1, 07-tendermint-31, connection-22, channel-13, transfer
arkh, 07-tendermint-55, connection-48, channel-28, transfer, chihuahua-1, 07-tendermint-132, connection-86, channel-45, transfer
arkh, 07-tendermint-56, connection-49, channel-29, transfer, comdex-1, 07-tendermint-146, connection-77, channel-68, transfer
arkh, 07-tendermint-4, connection-4, channel-3, transfer, cosmoshub-testnet, 07-tendermint-79, connection-69, channel-64, transfer
arkh, 07-tendermint-57, connection-50, channel-30, transfer, crescent-1, 07-tendermint-81, connection-72, channel-45, transfer
arkh, 07-tendermint-58, connection-51, channel-31, transfer, crypto-org-chain-mainnet-1, 07-tendermint-1158, connection-285, channel-66, transfer
arkh, 07-tendermint-59, connection-52, channel-32, transfer, desmos-mainnet, 07-tendermint-29, connection-22, channel-14, transfer
arkh, 07-tendermint-60, connection-53, channel-33, transfer, fetchhub-4, 07-tendermint-64, connection-33, channel-24, transfer
arkh, 07-tendermint-61, connection-54, channel-34, transfer, gravity-bridge-3, 07-tendermint-376, connection-361, channel-125, transfer
arkh, 07-tendermint-62, connection-55, channel-35, transfer, irishub-1, 07-tendermint-99, connection-77, channel-44, transfer
arkh, 07-tendermint-64, connection-56, channel-36, transfer, jackal-1, 07-tendermint-11, connection-8, channel-7, transfer
arkh, 07-tendermint-65, connection-57, channel-37, transfer, juno-1, 07-tendermint-355, connection-353, channel-252, transfer
arkh, 07-tendermint-66, connection-58, channel-38, transfer, kava_2222-10, 07-tendermint-76, connection-121, channel-92, transfer
arkh, 07-tendermint-67, connection-59, channel-39, transfer, kichain-2, 07-tendermint-38, connection-32, channel-26, transfer
arkh, 07-tendermint-5, connection-5, channel-4, transfer, cosmoshub-testnet, 07-tendermint-80, connection-70, channel-65, transfer
arkh, 07-tendermint-68, connection-60, channel-40, transfer, kaiyo-1, 07-tendermint-116, connection-84, channel-77, transfer
arkh, 07-tendermint-69, connection-61, channel-41, transfer, likecoin-mainnet-2, 07-tendermint-39, connection-25, channel-16, transfer
arkh, 07-tendermint-70, connection-62, channel-42, transfer, mars-1, 07-tendermint-18, connection-13, channel-9, transfer
arkh, 07-tendermint-71, connection-63, channel-43, transfer, migaloo-1, 07-tendermint-47, connection-35, channel-25, transfer
arkh, 07-tendermint-72, connection-64, channel-44, transfer, odin-mainnet-freya, 07-tendermint-56, connection-44, channel-30, transfer
