CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
mantle-1, 07-tendermint-0, connection-0, channel-0, transfer, osmosis-1, 07-tendermint-1923, connection-1498, channel-232, transfer
mantle-1, 07-tendermint-37, connection-17, channel-10, transfer, axelar-dojo-1, 07-tendermint-51, connection-32, channel-23, transfer
mantle-1, 07-tendermint-38, connection-19, channel-12, transfer, exchain-66, 07-tendermint-76, connection-27, channel-22, transfer
mantle-1, 07-tendermint-40, connection-20, channel-13, transfer, exchain-66, 07-tendermint-78, connection-28, channel-23, transfer
mantle-1, 07-tendermint-42, connection-22, channel-14, transfer, exchain-66, 07-tendermint-92, connection-35, channel-30, transfer
mantle-1, 07-tendermint-46, connection-23, channel-15, transfer, exchain-66, 07-tendermint-94, connection-37, channel-32, transfer
mantle-1, 07-tendermint-46, connection-24, channel-16, transfer, exchain-66, 07-tendermint-94, connection-38, channel-33, transfer
mantle-1, 07-tendermint-48, connection-29, channel-17, transfer, comdex-1, 07-tendermint-131, connection-67, channel-59, transfer
mantle-1, 07-tendermint-49, connection-30, channel-18, transfer, phoenix-1, 07-tendermint-151, connection-123, channel-105, transfer
mantle-1, 07-tendermint-50, connection-31, channel-19, transfer, kaiyo-1, 07-tendermint-104, connection-73, channel-65, transfer
mantle-1, 07-tendermint-22, connection-4, channel-2, transfer, juno-1, 07-tendermint-167, connection-113, channel-83, transfer
mantle-1, 07-tendermint-51, connection-32, channel-20, transfer, phoenix-1, 07-tendermint-205, connection-161, channel-140, transfer
mantle-1, 07-tendermint-52, connection-33, channel-21, transfer, eightball-1, 07-tendermint-16, connection-28, channel-26, transfer
mantle-1, 07-tendermint-53, connection-34, channel-22, transfer, agoric-3, 07-tendermint-27, connection-26, channel-19, transfer
mantle-1, 07-tendermint-54, connection-35, channel-23, transfer, akashnet-2, 07-tendermint-135, connection-114, channel-78, transfer
mantle-1, 07-tendermint-55, connection-36, channel-24, transfer, arkh, 07-tendermint-45, connection-40, channel-22, transfer
mantle-1, 07-tendermint-56, connection-37, channel-25, transfer, bitcanna-1, 07-tendermint-42, connection-40, channel-24, transfer
mantle-1, 07-tendermint-58, connection-38, channel-26, transfer, bostrom, 07-tendermint-45, connection-24, channel-21, transfer
