CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
laozi-mainnet, 07-tendermint-3, connection-1, channel-0, oracle, consumer, 07-tendermint-1, connection-2, channel-2, consuming
laozi-mainnet, 07-tendermint-4, connection-2, channel-1, oracle, injective-1, 07-tendermint-0, connection-0, channel-0, oracle
laozi-mainnet, 07-tendermint-18, connection-15, channel-10, oracle, injective-1, 07-tendermint-18, connection-13, channel-7, oracle
laozi-mainnet, 07-tendermint-134, connection-113, channel-100, oracle, baryon-1, 07-tendermint-15, connection-7, channel-2, wasm.neutron1m8pkv82eamkvw84w38auduy9r5kqp3hf8gwtykwk6d38augx6dzsr0ddsn
laozi-mainnet, 07-tendermint-134, connection-113, channel-101, oracle, baryon-1, 07-tendermint-15, connection-7, channel-3, wasm.neutron1rcgfqgam76f5np2fjkttjkc99w99t5z2nlgk9che4vwtwgx40aqskw66c0
laozi-mainnet, 07-tendermint-134, connection-113, channel-102, oracle, baryon-1, 07-tendermint-15, connection-7, channel-4, wasm.neutron1dg5jrt89nddtymjx5pzrvdvdt0m4zl3l2l3ytunl6a0kqd7k8hss56nzzc
laozi-mainnet, 07-tendermint-134, connection-113, channel-104, oracle, baryon-1, 07-tendermint-15, connection-7, channel-5, wasm.neutron1l4xd8j25drjpcs6ss8r62pmns7sa92e9ry4w70gs7v54jc3d0dzqdntcn0
laozi-mainnet, 07-tendermint-134, connection-113, channel-105, oracle, baryon-1, 07-tendermint-15, connection-7, channel-6, wasm.neutron1qje5ufydcpc30mecken3cry77rqh59dcx5m70qfhddwfpahvnvlqhkyek8
laozi-mainnet, 07-tendermint-134, connection-113, channel-107, oracle, baryon-1, 07-tendermint-15, connection-7, channel-7, wasm.neutron1k4mdtn3vrkz667ee9un2dm3kas8k987qj2d286t4l49tmhmfjr9s6wq7fg
laozi-mainnet, 07-tendermint-134, connection-113, channel-109, oracle, baryon-1, 07-tendermint-15, connection-7, channel-8, wasm.neutron1aneff69c7hgtfqkhjgzlm2pr03vplscjq4ltdeg00lyat226ffks7m4k3r
laozi-mainnet, 07-tendermint-20, connection-17, channel-11, oracle, desmos-mainnet, 07-tendermint-2, connection-2, channel-0, ibc-profiles
laozi-mainnet, 07-tendermint-134, connection-113, channel-111, oracle, baryon-1, 07-tendermint-15, connection-7, channel-9, wasm.neutron1cnfxrqvlglawqafnurp4zfw6kmqnr6j06f4hfg59uuf3q3gjjpqsr3tduw
laozi-mainnet, 07-tendermint-134, connection-113, channel-113, oracle, baryon-1, 07-tendermint-15, connection-7, channel-10, wasm.neutron1mzxp86wg5sx9vcgfnj2nvn9vs59qjj29qzzyt5up5r7d3ztjhjksrag89e
laozi-mainnet, 07-tendermint-134, connection-113, channel-115, oracle, baryon-1, 07-tendermint-15, connection-7, channel-11, wasm.neutron1axc5rr6d4hr9qxylhh6jd0rre5cs6msssqyrchq5kkrq9qfhy5pqtykcg6
laozi-mainnet, 07-tendermint-21, connection-20, channel-12, oracle, desmos-mainnet, 07-tendermint-3, connection-3, channel-1, ibc-profiles
laozi-mainnet, 07-tendermint-137, connection-116, channel-126, oracle, baryon-1, 07-tendermint-22, connection-12, channel-21, wasm.neutron18mkxhegdx765w574egeywathvnvpz8qu899u83gprql5ufneyupsx5mrfe
laozi-mainnet, 07-tendermint-137, connection-116, channel-127, oracle, baryon-1, 07-tendermint-22, connection-12, channel-22, wasm.neutron1e4p0sp3p2c900w2sq2z20grqurkje2wnsdhyrt696glkh7muwmpqjvfgex
laozi-mainnet, 07-tendermint-137, connection-116, channel-128, oracle, baryon-1, 07-tendermint-22, connection-12, channel-23, wasm.neutron1swmz637xzjrcm9hw428lu7vg0fmgdqmhk6lem0nmchrayvt2jaxql8cxka
laozi-mainnet, 07-tendermint-137, connection-116, channel-129, oracle, baryon-1, 07-tendermint-22, connection-12, channel-24, wasm.neutron1z39f6ey7uuc05qpsfp3jfkmma5w9j5mkvznyx8z2p9mxkevkwqvqxwqqaw
laozi-mainnet, 07-tendermint-23, connection-22, channel-13, oracle, injective-1, 07-tendermint-21, connection-16, channel-9, oracle
laozi-mainnet, 07-tendermint-137, connection-116, channel-130, oracle, baryon-1, 07-tendermint-22, connection-12, channel-25, wasm.neutron1q346c83w043y5elknsr4vqeut09ujz7ss0ws9vvg47pvypf7fqsscfkqxj
laozi-mainnet, 07-tendermint-137, connection-116, channel-131, oracle, baryon-1, 07-tendermint-22, connection-12, channel-26, wasm.neutron156fwsk56dgldh4l6dpvm2p3mheugm408lac9au4pc8gn4gqn0kfsqw8aul
laozi-mainnet, 07-tendermint-137, connection-116, channel-132, oracle, baryon-1, 07-tendermint-22, connection-12, channel-27, wasm.neutron10xfkreu04sazan0lf3ujcsx5qnnupvqw0r8umyrhxcl7qtveduysvq5x3h
laozi-mainnet, 07-tendermint-139, connection-118, channel-134, oracle, injective-777, 07-tendermint-0, connection-0, channel-0, oracle
laozi-mainnet, 07-tendermint-141, connection-120, channel-136, oracle, desmos-mainnet, 07-tendermint-21, connection-15, channel-8, ibc-profiles
laozi-mainnet, 07-tendermint-142, connection-121, channel-137, oracle, injective-777, 07-tendermint-0, connection-0, channel-0, oracle
laozi-mainnet, 07-tendermint-143, connection-122, channel-138, oracle, injective-777, 07-tendermint-0, connection-0, channel-0, oracle
laozi-mainnet, 07-tendermint-145, connection-123, channel-139, oracle, injective-777, 07-tendermint-0, connection-0, channel-0, oracle
laozi-mainnet, 07-tendermint-24, connection-23, channel-14, oracle, injective-1, 07-tendermint-22, connection-17, channel-10, oracle
laozi-mainnet, 07-tendermint-146, connection-124, channel-140, oracle, injective-777, 07-tendermint-0, connection-0, channel-0, oracle
laozi-mainnet, 07-tendermint-148, connection-125, channel-141, oracle, injective-777, 07-tendermint-0, connection-0, channel-0, oracle
laozi-mainnet, 07-tendermint-149, connection-126, channel-142, oracle, desmos-mainnet, 07-tendermint-23, connection-16, channel-9, ibc-profiles
laozi-mainnet, 07-tendermint-150, connection-127, channel-143, oracle, baryon-1, 07-tendermint-25, connection-15, channel-29, wasm.neutron1c6na73tx79a5mzq8e2qucj4cjagwwkl72h2v87lafvarxua4v6wq9lcxj5
laozi-mainnet, 07-tendermint-151, connection-129, channel-145, oracle, neutron-test-1, 07-tendermint-1, connection-1, channel-3, wasm.neutron1pg4dxed60q3w5a6dy8ca84q7wa7d9qm0amxw5j7zmwcpvgefg6xsh7njed
laozi-mainnet, 07-tendermint-152, connection-130, channel-147, oracle, neutron-test-second-1, 07-tendermint-1, connection-1, channel-3, wasm.neutron1pg4dxed60q3w5a6dy8ca84q7wa7d9qm0amxw5j7zmwcpvgefg6xsh7njed
laozi-mainnet, 07-tendermint-150, connection-127, channel-148, oracle, baryon-1, 07-tendermint-25, connection-15, channel-30, wasm.neutron1er80xsfnssgrp8juj5dw9jqvjhp5eyp424qwrmvfnk7tsdfmx03sktyurp
laozi-mainnet, 07-tendermint-153, connection-131, channel-149, oracle, neutron-rehearsal-fix-1, 07-tendermint-3, connection-3, channel-3, wasm.neutron1ntq7vz509nt4fx3yngltgt4svrggsgaept7tzpsmzeh8mek5utwstsj7eg
laozi-mainnet, 07-tendermint-25, connection-24, channel-15, oracle, injective-1, 07-tendermint-23, connection-18, channel-11, oracle
laozi-mainnet, 07-tendermint-155, connection-133, channel-151, oracle, pion-1, 07-tendermint-2, connection-2, channel-2, wasm.neutron1ntq7vz509nt4fx3yngltgt4svrggsgaept7tzpsmzeh8mek5utwstsj7eg
laozi-mainnet, 07-tendermint-156, connection-136, channel-154, oracle, pion-1, 07-tendermint-7, connection-6, channel-7, wasm.neutron1p2zw3p4yz20fspd3frszphma8u6pttgg34q79uu4eeffzyay3k6q4xpf75
laozi-mainnet, 07-tendermint-157, connection-137, channel-155, oracle, neutron-gamma-1, 07-tendermint-1, connection-1, channel-2, wasm.neutron1pg4dxed60q3w5a6dy8ca84q7wa7d9qm0amxw5j7zmwcpvgefg6xsh7njed
laozi-mainnet, 07-tendermint-158, connection-138, channel-156, oracle, neutron-1, 07-tendermint-13, connection-11, channel-7, wasm.neutron1lxansfc8vkujy997e3xksd3ugsppv6a9jt32pjtgaxr0zkcnkznq67z3ax
laozi-mainnet, 07-tendermint-160, connection-139, channel-157, oracle, desmos-mainnet, 07-tendermint-74, connection-42, channel-32, ibc-profiles
laozi-mainnet, 07-tendermint-26, connection-25, channel-16, oracle, injective-1, 07-tendermint-24, connection-19, channel-12, oracle
laozi-mainnet, 07-tendermint-27, connection-26, channel-17, oracle, injective-1, 07-tendermint-25, connection-20, channel-13, oracle
laozi-mainnet, 07-tendermint-28, connection-27, channel-18, oracle, injective-1, 07-tendermint-26, connection-21, channel-14, oracle
