CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
bitcanna-1, 07-tendermint-0, connection-0, channel-0, transfer, osmosis-1, 07-tendermint-1456, connection-1141, channel-41, transfer
bitcanna-1, 07-tendermint-1, connection-1, channel-1, transfer, osmosis-1, 07-tendermint-1499, connection-1167, channel-51, transfer
bitcanna-1, 07-tendermint-12, connection-11, channel-10, transfer, juno-1, 07-tendermint-110, connection-70, channel-50, transfer
bitcanna-1, 07-tendermint-14, connection-12, channel-11, transfer, omniflixhub-1, 07-tendermint-38, connection-32, channel-23, transfer
bitcanna-1, 07-tendermint-15, connection-13, channel-13, transfer, axelar-dojo-1, 07-tendermint-44, connection-25, channel-16, transfer
bitcanna-1, 07-tendermint-16, connection-14, channel-14, transfer, axelar-dojo-1, 07-tendermint-54, connection-37, channel-30, transfer
bitcanna-1, 07-tendermint-17, connection-15, channel-15, transfer, axelar-dojo-1, 07-tendermint-56, connection-39, channel-32, transfer
bitcanna-1, 07-tendermint-18, connection-16, channel-16, transfer, planq_7070-2, 07-tendermint-252, connection-240, channel-34, transfer
bitcanna-1, 07-tendermint-34, connection-32, channel-17, transfer, planq_7070-2, 07-tendermint-372, connection-336, channel-45, transfer
bitcanna-1, 07-tendermint-35, connection-33, channel-18, transfer, phoenix-1, 07-tendermint-153, connection-125, channel-107, transfer
bitcanna-1, 07-tendermint-36, connection-34, channel-19, transfer, phoenix-1, 07-tendermint-206, connection-162, channel-141, transfer
bitcanna-1, 07-tendermint-3, connection-2, channel-2, transfer, sifchain-1, 07-tendermint-52, connection-29, channel-25, transfer
bitcanna-1, 07-tendermint-37, connection-35, channel-20, transfer, eightball-1, 07-tendermint-18, connection-30, channel-28, transfer
bitcanna-1, 07-tendermint-39, connection-37, channel-21, transfer, agoric-3, 07-tendermint-28, connection-27, channel-20, transfer
bitcanna-1, 07-tendermint-40, connection-38, channel-22, transfer, akashnet-2, 07-tendermint-137, connection-120, channel-82, transfer
bitcanna-1, 07-tendermint-41, connection-39, channel-23, transfer, arkh, 07-tendermint-47, connection-42, channel-24, transfer
bitcanna-1, 07-tendermint-42, connection-40, channel-24, transfer, mantle-1, 07-tendermint-56, connection-37, channel-25, transfer
bitcanna-1, 07-tendermint-44, connection-41, channel-25, transfer, bostrom, 07-tendermint-46, connection-25, channel-22, transfer
bitcanna-1, 07-tendermint-45, connection-42, channel-26, transfer, cheqd-mainnet-1, 07-tendermint-35, connection-26, channel-16, transfer
bitcanna-1, 07-tendermint-47, connection-43, channel-27, transfer, crescent-1, 07-tendermint-83, connection-74, channel-47, transfer
bitcanna-1, 07-tendermint-50, connection-46, channel-28, transfer, injective-1, 07-tendermint-172, connection-158, channel-123, transfer
bitcanna-1, 07-tendermint-53, connection-48, channel-29, transfer, jackal-1, 07-tendermint-14, connection-10, channel-9, transfer
bitcanna-1, 07-tendermint-4, connection-3, channel-3, transfer, cosmoshub-4, 07-tendermint-490, connection-399, channel-232, transfer
bitcanna-1, 07-tendermint-54, connection-49, channel-30, transfer, kava_2222-10, 07-tendermint-79, connection-124, channel-95, transfer
bitcanna-1, 07-tendermint-56, connection-51, channel-31, transfer, kaiyo-1, 07-tendermint-117, connection-85, channel-78, transfer
bitcanna-1, 07-tendermint-58, connection-53, channel-32, transfer, mars-1, 07-tendermint-21, connection-17, channel-12, transfer
