CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
bitsong-2b, 07-tendermint-0, connection-0, channel-0, transfer, osmosis-1, 07-tendermint-1551, connection-1216, channel-73, transfer
bitsong-2b, 07-tendermint-1, connection-2, channel-1, transfer, cosmoshub-4, 07-tendermint-481, connection-395, channel-229, transfer
bitsong-2b, 07-tendermint-39, connection-22, channel-10, transfer, planq_7070-2, 07-tendermint-378, connection-342, channel-47, transfer
bitsong-2b, 07-tendermint-46, connection-29, channel-11, transfer, phoenix-1, 07-tendermint-141, connection-121, channel-104, transfer
bitsong-2b, 07-tendermint-47, connection-30, channel-12, transfer, phoenix-1, 07-tendermint-207, connection-163, channel-142, transfer
bitsong-2b, 07-tendermint-48, connection-31, channel-13, transfer, eightball-1, 07-tendermint-19, connection-31, channel-29, transfer
bitsong-2b, 07-tendermint-49, connection-32, channel-14, transfer, agoric-3, 07-tendermint-29, connection-28, channel-21, transfer
bitsong-2b, 07-tendermint-51, connection-33, channel-15, transfer, arkh, 07-tendermint-52, connection-46, channel-26, transfer
bitsong-2b, 07-tendermint-52, connection-34, channel-16, transfer, mantle-1, 07-tendermint-78, connection-56, channel-43, transfer
bitsong-2b, 07-tendermint-53, connection-35, channel-17, transfer, axelar-dojo-1, 07-tendermint-127, connection-114, channel-82, transfer
bitsong-2b, 07-tendermint-54, connection-36, channel-18, transfer, axelar-dojo-1, 07-tendermint-148, connection-133, channel-100, transfer
bitsong-2b, 07-tendermint-57, connection-38, channel-19, transfer, cheqd-mainnet-1, 07-tendermint-36, connection-27, channel-17, transfer
bitsong-2b, 07-tendermint-3, connection-4, channel-2, transfer, chihuahua-1, 07-tendermint-31, connection-22, channel-3, transfer
bitsong-2b, 07-tendermint-59, connection-39, channel-20, transfer, crescent-1, 07-tendermint-84, connection-75, channel-48, transfer
bitsong-2b, 07-tendermint-63, connection-42, channel-21, transfer, irishub-1, 07-tendermint-103, connection-81, channel-47, transfer
bitsong-2b, 07-tendermint-68, connection-45, channel-22, transfer, kaiyo-1, 07-tendermint-118, connection-86, channel-79, transfer
bitsong-2b, 07-tendermint-70, connection-47, channel-23, transfer, mars-1, 07-tendermint-22, connection-18, channel-13, transfer
bitsong-2b, 07-tendermint-71, connection-48, channel-24, transfer, migaloo-1, 07-tendermint-58, connection-47, channel-30, transfer
bitsong-2b, 07-tendermint-73, connection-50, channel-25, transfer, core-1, 07-tendermint-114, connection-155, channel-92, transfer
bitsong-2b, 07-tendermint-77, connection-52, channel-26, transfer, phoenix-1, 07-tendermint-287, connection-202, channel-175, transfer
bitsong-2b, 07-tendermint-4, connection-6, channel-3, transfer, chihuahua-1, 07-tendermint-32, connection-23, channel-5, transfer
bitsong-2b, 07-tendermint-9, connection-9, channel-5, transfer, juno-1, 07-tendermint-33, connection-26, channel-17, transfer
bitsong-2b, 07-tendermint-10, connection-10, channel-6, transfer, sifchain-1, 07-tendermint-71, connection-42, channel-36, transfer
bitsong-2b, 07-tendermint-35, connection-19, channel-7, transfer, sifchain-1, 07-tendermint-143, connection-90, channel-62, transfer
bitsong-2b, 07-tendermint-36, connection-20, channel-8, transfer, kaiyo-1, 07-tendermint-17, connection-12, channel-15, transfer
bitsong-2b, 07-tendermint-37, connection-21, channel-9, transfer, darchub, 07-tendermint-14, connection-10, channel-6, transfer
