CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
bostrom, 07-tendermint-3, connection-0, channel-0, transfer, osmosis-1, 07-tendermint-1567, connection-1226, channel-79, transfer
bostrom, 07-tendermint-4, connection-1, channel-1, transfer, cosmoshub-4, 07-tendermint-477, connection-393, channel-225, transfer
bostrom, 07-tendermint-24, connection-12, channel-10, transfer, juno-1, 07-tendermint-207, connection-146, channel-93, transfer
bostrom, 07-tendermint-32, connection-14, channel-11, transfer, space-pussy, 07-tendermint-0, connection-0, channel-0, transfer
bostrom, 07-tendermint-33, connection-15, channel-12, transfer, gravity-bridge-3, 07-tendermint-196, connection-167, channel-103, transfer
bostrom, 07-tendermint-34, connection-16, channel-13, transfer, desmos-mainnet, 07-tendermint-17, connection-13, channel-6, transfer
bostrom, 07-tendermint-35, connection-17, channel-14, transfer, axelar-dojo-1, 07-tendermint-79, connection-66, channel-52, transfer
bostrom, 07-tendermint-39, connection-18, channel-15, transfer, phoenix-1, 07-tendermint-155, connection-127, channel-108, transfer
bostrom, 07-tendermint-40, connection-19, channel-16, transfer, phoenix-1, 07-tendermint-177, connection-140, channel-121, transfer
bostrom, 07-tendermint-41, connection-20, channel-17, transfer, eightball-1, 07-tendermint-20, connection-32, channel-30, transfer
bostrom, 07-tendermint-42, connection-21, channel-18, transfer, agoric-3, 07-tendermint-30, connection-29, channel-22, transfer
bostrom, 07-tendermint-43, connection-22, channel-19, transfer, akashnet-2, 07-tendermint-138, connection-121, channel-83, transfer
bostrom, 07-tendermint-5, connection-2, channel-2, transfer, osmosis-1, 07-tendermint-1597, connection-1255, channel-95, transfer
bostrom, 07-tendermint-44, connection-23, channel-20, transfer, arkh, 07-tendermint-49, connection-44, channel-25, transfer
bostrom, 07-tendermint-45, connection-24, channel-21, transfer, mantle-1, 07-tendermint-58, connection-38, channel-26, transfer
bostrom, 07-tendermint-46, connection-25, channel-22, transfer, bitcanna-1, 07-tendermint-44, connection-41, channel-25, transfer
bostrom, 07-tendermint-47, connection-26, channel-23, transfer, bitcanna-1, 07-tendermint-74, connection-68, channel-43, transfer
bostrom, 07-tendermint-51, connection-27, channel-24, transfer, crescent-1, 07-tendermint-85, connection-76, channel-49, transfer
bostrom, 07-tendermint-55, connection-29, channel-25, transfer, kichain-2, 07-tendermint-42, connection-36, channel-28, transfer
bostrom, 07-tendermint-56, connection-30, channel-26, transfer, kaiyo-1, 07-tendermint-119, connection-87, channel-80, transfer
