CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
canto_7700-1, 07-tendermint-0, connection-0, channel-0, transfer, gravity-bridge-3, 07-tendermint-156, connection-150, channel-88, transfer
canto_7700-1, 07-tendermint-3, connection-1, channel-1, transfer, cosmoshub-4, 07-tendermint-875, connection-603, channel-357, transfer
canto_7700-1, 07-tendermint-24, connection-16, channel-10, transfer, sommelier-3, 07-tendermint-10, connection-6, channel-2, transfer
canto_7700-1, 07-tendermint-25, connection-17, channel-11, transfer, akashnet-2, 07-tendermint-117, connection-91, channel-59, transfer
canto_7700-1, 07-tendermint-26, connection-18, channel-12, transfer, injective-1, 07-tendermint-153, connection-122, channel-101, transfer
canto_7700-1, 07-tendermint-27, connection-19, channel-13, transfer, kava_2222-10, 07-tendermint-59, connection-114, channel-87, transfer
canto_7700-1, 07-tendermint-30, connection-23, channel-15, transfer, evmos_9001-2, 07-tendermint-104, connection-61, channel-62, transfer
canto_7700-1, 07-tendermint-31, connection-24, channel-16, transfer, sentinelhub-2, 07-tendermint-130, connection-108, channel-71, transfer
canto_7700-1, 07-tendermint-32, connection-25, channel-17, transfer, core-1, 07-tendermint-104, connection-143, channel-80, transfer
canto_7700-1, 07-tendermint-33, connection-26, channel-18, transfer, stride-1, 07-tendermint-82, connection-66, channel-74, transfer
canto_7700-1, 07-tendermint-34, connection-27, channel-19, transfer, quicksilver-2, 07-tendermint-18, connection-12, channel-24, transfer
canto_7700-1, 07-tendermint-1, connection-3, channel-2, transfer, cosmoshub-4, 07-tendermint-873, connection-604, channel-358, transfer
canto_7700-1, 07-tendermint-35, connection-28, channel-20, transfer, noble-1, 07-tendermint-13, connection-20, channel-8, transfer
canto_7700-1, 07-tendermint-36, connection-30, channel-21, transfer, kaiyo-1, 07-tendermint-111, connection-81, channel-74, transfer
canto_7700-1, 07-tendermint-37, connection-31, channel-22, transfer, cronosmainnet_25-1, 07-tendermint-31, connection-15, channel-9, transfer
canto_7700-1, 07-tendermint-5, connection-5, channel-3, transfer, cosmoshub-4, 07-tendermint-991, connection-689, channel-443, transfer
canto_7700-1, 07-tendermint-8, connection-8, channel-4, transfer, comdex-1, 07-tendermint-122, connection-60, channel-54, transfer
canto_7700-1, 07-tendermint-9, connection-9, channel-5, transfer, osmosis-1, 07-tendermint-2481, connection-2017, channel-550, transfer
canto_7700-1, 07-tendermint-10, connection-10, channel-6, transfer, carbon-1, 07-tendermint-40, connection-23, channel-18, transfer
canto_7700-1, 07-tendermint-15, connection-12, channel-7, transfer, comdex-1, 07-tendermint-128, connection-66, channel-58, transfer
canto_7700-1, 07-tendermint-16, connection-13, channel-8, transfer, injective-1, 07-tendermint-147, connection-117, channel-99, transfer
canto_7700-1, 07-tendermint-21, connection-14, channel-9, transfer, crescent-1, 07-tendermint-52, connection-51, channel-34, transfer
