CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
cheqd-mainnet-1, 07-tendermint-0, connection-0, channel-0, transfer, osmosis-1, 07-tendermint-1615, connection-1268, channel-108, transfer
cheqd-mainnet-1, 07-tendermint-1, connection-1, channel-1, transfer, cosmoshub-4, 07-tendermint-496, connection-405, channel-239, transfer
cheqd-mainnet-1, 07-tendermint-27, connection-18, channel-11, transfer, eightball-1, 07-tendermint-22, connection-33, channel-31, transfer
cheqd-mainnet-1, 07-tendermint-29, connection-20, channel-12, transfer, agoric-3, 07-tendermint-38, connection-35, channel-27, transfer
cheqd-mainnet-1, 07-tendermint-31, connection-22, channel-13, transfer, arkh, 07-tendermint-54, connection-47, channel-27, transfer
cheqd-mainnet-1, 07-tendermint-33, connection-24, channel-14, transfer, mantle-1, 07-tendermint-80, connection-57, channel-44, transfer
cheqd-mainnet-1, 07-tendermint-34, connection-25, channel-15, transfer, axelar-dojo-1, 07-tendermint-128, connection-115, channel-83, transfer
cheqd-mainnet-1, 07-tendermint-35, connection-26, channel-16, transfer, bitcanna-1, 07-tendermint-45, connection-42, channel-26, transfer
cheqd-mainnet-1, 07-tendermint-36, connection-27, channel-17, transfer, bitsong-2b, 07-tendermint-57, connection-38, channel-19, transfer
cheqd-mainnet-1, 07-tendermint-45, connection-30, channel-18, transfer, irishub-1, 07-tendermint-104, connection-82, channel-48, transfer
cheqd-mainnet-1, 07-tendermint-47, connection-31, channel-19, transfer, jackal-1, 07-tendermint-16, connection-12, channel-11, transfer
cheqd-mainnet-1, 07-tendermint-13, connection-2, channel-2, transfer, gravity-bridge-3, 07-tendermint-64, connection-74, channel-43, transfer
cheqd-mainnet-1, 07-tendermint-48, connection-32, channel-20, transfer, juno-1, 07-tendermint-357, connection-355, channel-254, transfer
cheqd-mainnet-1, 07-tendermint-51, connection-35, channel-21, transfer, kaiyo-1, 07-tendermint-120, connection-88, channel-81, transfer
cheqd-mainnet-1, 07-tendermint-54, connection-37, channel-22, transfer, migaloo-1, 07-tendermint-60, connection-49, channel-32, transfer
cheqd-mainnet-1, 07-tendermint-58, connection-40, channel-23, transfer, quicksilver-2, 07-tendermint-37, connection-25, channel-67, transfer
cheqd-mainnet-1, 07-tendermint-62, connection-44, channel-24, transfer, stargaze-1, 07-tendermint-248, connection-181, channel-155, transfer
cheqd-mainnet-1, 07-tendermint-64, connection-46, channel-25, transfer, stride-1, 07-tendermint-93, connection-81, channel-98, transfer
cheqd-mainnet-1, 07-tendermint-65, connection-47, channel-26, transfer, teritori-1, 07-tendermint-50, connection-27, channel-22, transfer
cheqd-mainnet-1, 07-tendermint-68, connection-50, channel-27, transfer, vidulum-1, 07-tendermint-18, connection-26, channel-21, transfer
cheqd-mainnet-1, 07-tendermint-70, connection-52, channel-28, transfer, crescent-1, 07-tendermint-88, connection-77, channel-50, transfer
cheqd-mainnet-1, 07-tendermint-73, connection-53, channel-29, transfer, injective-1, 07-tendermint-181, connection-165, channel-129, transfer
cheqd-mainnet-1, 07-tendermint-15, connection-4, channel-3, transfer, gravity-bridge-3, 07-tendermint-111, connection-109, channel-67, transfer
cheqd-mainnet-1, 07-tendermint-77, connection-56, channel-30, transfer, odin-mainnet-freya, 07-tendermint-77, connection-60, channel-45, transfer
cheqd-mainnet-1, 07-tendermint-78, connection-57, channel-31, transfer, sommelier-3, 07-tendermint-37, connection-40, channel-27, transfer
cheqd-mainnet-1, 07-tendermint-16, connection-5, channel-4, transfer, gravity-bridge-3, 07-tendermint-112, connection-110, channel-68, transfer
cheqd-mainnet-1, 07-tendermint-19, connection-12, channel-5, transfer, gravity-bridge-3, 07-tendermint-117, connection-120, channel-69, transfer
cheqd-mainnet-1, 07-tendermint-20, connection-13, channel-6, transfer, gravity-bridge-3, 07-tendermint-122, connection-125, channel-72, transfer
cheqd-mainnet-1, 07-tendermint-21, connection-14, channel-7, transfer, gravity-bridge-3, 07-tendermint-125, connection-131, channel-73, transfer
cheqd-mainnet-1, 07-tendermint-22, connection-15, channel-8, transfer, gravity-bridge-3, 07-tendermint-131, connection-135, channel-76, transfer
cheqd-mainnet-1, 07-tendermint-23, connection-16, channel-9, transfer, phoenix-1, 07-tendermint-106, connection-94, channel-89, transfer
