CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
chihuahua-1, 07-tendermint-49, connection-28, channel-10, transfer, osmosis-1, 07-tendermint-1729, connection-1326, channel-141, transfer
chihuahua-1, 07-tendermint-54, connection-30, channel-11, transfer, juno-1, 07-tendermint-79, connection-46, channel-28, transfer
chihuahua-1, 07-tendermint-55, connection-31, channel-12, transfer, injective-1, 07-tendermint-99, connection-85, channel-76, transfer
chihuahua-1, 07-tendermint-56, connection-32, channel-13, transfer, flixnet-4, 07-tendermint-3, connection-3, channel-3, transfer
chihuahua-1, 07-tendermint-61, connection-34, channel-14, transfer, cosmoshub-4, 07-tendermint-613, connection-475, channel-289, transfer
chihuahua-1, 07-tendermint-67, connection-36, channel-15, transfer, gravity-bridge-3, 07-tendermint-53, connection-62, channel-34, transfer
chihuahua-1, 07-tendermint-70, connection-38, channel-16, transfer, secret-4, 07-tendermint-27, connection-13, channel-11, transfer
chihuahua-1, 07-tendermint-71, connection-39, channel-17, transfer, omniflixhub-1, 07-tendermint-14, connection-12, channel-5, transfer
chihuahua-1, 07-tendermint-72, connection-40, channel-18, transfer, cerberus-chain-1, 07-tendermint-0, connection-0, channel-0, transfer
chihuahua-1, 07-tendermint-75, connection-44, channel-19, transfer, titan-1, 07-tendermint-13, connection-9, channel-7, transfer
chihuahua-1, 07-tendermint-77, connection-46, channel-20, transfer, sifchain-1, 07-tendermint-118, connection-73, channel-58, transfer
chihuahua-1, 07-tendermint-78, connection-47, channel-21, transfer, kaiyo-1, 07-tendermint-19, connection-14, channel-17, transfer
chihuahua-1, 07-tendermint-82, connection-49, channel-22, transfer, kaiyo-1, 07-tendermint-31, connection-25, channel-28, transfer
chihuahua-1, 07-tendermint-85, connection-53, channel-23, transfer, exchain-66, 07-tendermint-5, connection-5, channel-4, transfer
chihuahua-1, 07-tendermint-85, connection-54, channel-24, transfer, exchain-66, 07-tendermint-5, connection-6, channel-5, transfer
chihuahua-1, 07-tendermint-86, connection-55, channel-25, transfer, stafihub-1, 07-tendermint-2, connection-2, channel-4, transfer
chihuahua-1, 07-tendermint-87, connection-56, channel-26, transfer, exchain-66, 07-tendermint-87, connection-31, channel-26, transfer
chihuahua-1, 07-tendermint-88, connection-57, channel-27, transfer, medasdigital-test, 07-tendermint-9, connection-5, channel-5, transfer
chihuahua-1, 07-tendermint-90, connection-59, channel-28, transfer, medasdigital-test, 07-tendermint-1, connection-1, channel-0, transfer
chihuahua-1, 07-tendermint-91, connection-60, channel-29, transfer, medasdigital-test, 07-tendermint-2, connection-2, channel-1, transfer
chihuahua-1, 07-tendermint-31, connection-22, channel-3, transfer, bitsong-2b, 07-tendermint-3, connection-4, channel-2, transfer
chihuahua-1, 07-tendermint-95, connection-63, channel-31, transfer, exchain-66, 07-tendermint-99, connection-42, channel-35, transfer
chihuahua-1, 07-tendermint-102, connection-64, channel-32, transfer, medasdigital-1, 07-tendermint-6, connection-1, channel-1, transfer
chihuahua-1, 07-tendermint-103, connection-65, channel-33, transfer, medasdigital-1, 07-tendermint-1, connection-1, channel-1, transfer
chihuahua-1, 07-tendermint-113, connection-66, channel-34, transfer, phoenix-1, 07-tendermint-80, connection-69, channel-44, transfer
chihuahua-1, 07-tendermint-119, connection-68, channel-35, transfer, cerberus-chain-1, 07-tendermint-29, connection-13, channel-13, transfer
chihuahua-1, 07-tendermint-122, connection-78, channel-36, transfer, migaloo-1, 07-tendermint-8, connection-13, channel-7, transfer
chihuahua-1, 07-tendermint-124, connection-79, channel-37, transfer, comdex-1, 07-tendermint-135, connection-69, channel-61, transfer
chihuahua-1, 07-tendermint-125, connection-80, channel-38, transfer, acre_9052-1, 07-tendermint-33, connection-30, channel-21, transfer
chihuahua-1, 07-tendermint-126, connection-81, channel-39, transfer, migaloo-1, 07-tendermint-21, connection-21, channel-10, transfer
chihuahua-1, 07-tendermint-128, connection-82, channel-40, transfer, phoenix-1, 07-tendermint-118, connection-112, channel-98, transfer
chihuahua-1, 07-tendermint-129, connection-83, channel-41, transfer, cosmoshub-4, 07-tendermint-1118, connection-796, channel-540, transfer
chihuahua-1, 07-tendermint-128, connection-82, channel-42, transfer, phoenix-1, 07-tendermint-118, connection-112, channel-114, wasm.terra1e0mrzy8077druuu42vs0hu7ugguade0cj65dgtauyaw4gsl4kv0qtdf2au
chihuahua-1, 07-tendermint-130, connection-84, channel-43, transfer, eightball-1, 07-tendermint-23, connection-34, channel-32, transfer
chihuahua-1, 07-tendermint-131, connection-85, channel-44, transfer, agoric-3, 07-tendermint-33, connection-31, channel-23, transfer
chihuahua-1, 07-tendermint-132, connection-86, channel-45, transfer, arkh, 07-tendermint-55, connection-48, channel-28, transfer
chihuahua-1, 07-tendermint-133, connection-87, channel-46, transfer, mantle-1, 07-tendermint-61, connection-40, channel-27, transfer
chihuahua-1, 07-tendermint-134, connection-88, channel-47, transfer, axelar-dojo-1, 07-tendermint-129, connection-116, channel-84, transfer
chihuahua-1, 07-tendermint-139, connection-90, channel-48, transfer, bostrom, 07-tendermint-75, connection-48, channel-40, transfer
chihuahua-1, 07-tendermint-142, connection-92, channel-49, transfer, cosmoshub-4, 07-tendermint-1128, connection-816, channel-576, transfer
chihuahua-1, 07-tendermint-32, connection-23, channel-5, transfer, bitsong-2b, 07-tendermint-4, connection-6, channel-3, transfer
chihuahua-1, 07-tendermint-147, connection-95, channel-50, transfer, injective-1, 07-tendermint-174, connection-159, channel-124, transfer
chihuahua-1, 07-tendermint-149, connection-97, channel-51, transfer, jackal-1, 07-tendermint-17, connection-13, channel-12, transfer
chihuahua-1, 07-tendermint-151, connection-99, channel-52, transfer, kaiyo-1, 07-tendermint-121, connection-89, channel-82, transfer
