CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
comdex-1, 07-tendermint-80, connection-47, channel-42, bandoracleV1, laozi-mainnet, 07-tendermint-123, connection-106, channel-95, oracle
comdex-1, 07-tendermint-81, connection-48, channel-43, bandoracleV1, laozi-mainnet, 07-tendermint-124, connection-107, channel-96, oracle
comdex-1, 07-tendermint-175, connection-82, channel-74, icahost, local-test-1, 07-tendermint-0, connection-0, channel-1, icacontroller-comdex-1.DELEGATION
comdex-1, 07-tendermint-175, connection-82, channel-75, icahost, local-test-1, 07-tendermint-0, connection-0, channel-2, icacontroller-comdex-1.FEE
comdex-1, 07-tendermint-175, connection-82, channel-76, icahost, local-test-1, 07-tendermint-0, connection-0, channel-3, icacontroller-comdex-1.WITHDRAWAL
comdex-1, 07-tendermint-175, connection-82, channel-77, icahost, local-test-1, 07-tendermint-0, connection-0, channel-4, icacontroller-comdex-1.REDEMPTION
comdex-1, 07-tendermint-83, connection-50, channel-79, icahost, stride-1, 07-tendermint-41, connection-28, channel-133, icacontroller-comdex-1.REDEMPTION
comdex-1, 07-tendermint-83, connection-50, channel-80, icahost, stride-1, 07-tendermint-41, connection-28, channel-132, icacontroller-comdex-1.WITHDRAWAL
comdex-1, 07-tendermint-83, connection-50, channel-81, icahost, stride-1, 07-tendermint-41, connection-28, channel-131, icacontroller-comdex-1.FEE
comdex-1, 07-tendermint-83, connection-50, channel-83, icahost, stride-1, 07-tendermint-41, connection-28, channel-130, icacontroller-comdex-1.DELEGATION
comdex-1, 07-tendermint-1, connection-1, channel-1, transfer, osmosis-1, 07-tendermint-1587, connection-1243, channel-87, transfer
comdex-1, 07-tendermint-9, connection-10, channel-10, transfer, core-1, 07-tendermint-46, connection-46, channel-35, transfer
comdex-1, 07-tendermint-15, connection-13, channel-11, transfer, osmosis-1, 07-tendermint-1621, connection-1271, channel-110, transfer
comdex-1, 07-tendermint-17, connection-14, channel-12, transfer, osmosis-1, 07-tendermint-1622, connection-1272, channel-111, transfer
comdex-1, 07-tendermint-22, connection-18, channel-17, transfer, sifchain-1, 07-tendermint-65, connection-40, channel-34, transfer
comdex-1, 07-tendermint-30, connection-19, channel-18, transfer, juno-1, 07-tendermint-92, connection-55, channel-36, transfer
comdex-1, 07-tendermint-31, connection-20, channel-19, transfer, juno-1, 07-tendermint-103, connection-64, channel-39, transfer
comdex-1, 07-tendermint-2, connection-2, channel-2, transfer, sentinelhub-2, 07-tendermint-94, connection-74, channel-44, transfer
comdex-1, 07-tendermint-32, connection-21, channel-20, transfer, juno-1, 07-tendermint-104, connection-65, channel-40, transfer
