CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
coreum-mainnet-1, 07-tendermint-1, connection-1, channel-0, transfer, osmosis-1, 07-tendermint-2924, connection-2422, channel-2169, transfer
coreum-mainnet-1, 07-tendermint-2, connection-2, channel-1, transfer, osmosis-1, 07-tendermint-2928, connection-2425, channel-2187, transfer
coreum-mainnet-1, 07-tendermint-3, connection-3, channel-2, transfer, osmosis-1, 07-tendermint-2929, connection-2426, channel-2188, transfer
coreum-mainnet-1, 07-tendermint-4, connection-4, channel-3, transfer, axelar-dojo-1, 07-tendermint-178, connection-156, channel-119, transfer
coreum-mainnet-1, 07-tendermint-5, connection-5, channel-4, transfer, cosmoshub-4, 07-tendermint-1159, connection-882, channel-653, transfer
coreum-mainnet-1, 07-tendermint-6, connection-6, channel-5, transfer, cosmoshub-4, 07-tendermint-1160, connection-883, channel-654, transfer
coreum-mainnet-1, 07-tendermint-7, connection-7, channel-6, transfer, axelar-dojo-1, 07-tendermint-179, connection-157, channel-120, transfer
coreum-mainnet-1, 07-tendermint-8, connection-8, channel-7, transfer, gravity-bridge-3, 07-tendermint-421, connection-399, channel-142, transfer
coreum-mainnet-1, 07-tendermint-9, connection-9, channel-8, transfer, evmos_9001-2, 07-tendermint-117, connection-71, channel-87, transfer
coreum-mainnet-1, 07-tendermint-11, connection-11, channel-9, transfer, cosmoshub-4, 07-tendermint-1162, connection-884, channel-660, transfer
