CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
cronosmainnet_25-1, 07-tendermint-1, connection-0, channel-0, transfer, crypto-org-chain-mainnet-1, 07-tendermint-1122, connection-249, channel-44, transfer
cronosmainnet_25-1, 07-tendermint-2, connection-1, channel-1, transfer, cosmoshub-4, 07-tendermint-499, connection-411, channel-241, transfer
cronosmainnet_25-1, 07-tendermint-3, connection-2, channel-2, transfer, columbus-5, 07-tendermint-35, connection-36, channel-22, transfer
cronosmainnet_25-1, 07-tendermint-5, connection-4, channel-3, transfer, juno-1, 07-tendermint-122, connection-79, channel-54, transfer
cronosmainnet_25-1, 07-tendermint-7, connection-6, channel-4, transfer, akashnet-2, 07-tendermint-95, connection-64, channel-40, transfer
cronosmainnet_25-1, 07-tendermint-27, connection-11, channel-5, transfer, umee-1, 07-tendermint-106, connection-58, channel-36, transfer
cronosmainnet_25-1, 07-tendermint-28, connection-12, channel-6, transfer, crescent-1, 07-tendermint-74, connection-64, channel-39, transfer
cronosmainnet_25-1, 07-tendermint-29, connection-13, channel-7, transfer, osmosis-1, 07-tendermint-2737, connection-2260, channel-761, transfer
cronosmainnet_25-1, 07-tendermint-30, connection-14, channel-8, transfer, irishub-1, 07-tendermint-148, connection-112, channel-66, transfer
cronosmainnet_25-1, 07-tendermint-31, connection-15, channel-9, transfer, canto_7700-1, 07-tendermint-37, connection-31, channel-22, transfer
