CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
crypto-org-chain-mainnet-1, 07-tendermint-3, connection-1, channel-0, transfer, cosmoshub-4, 07-tendermint-143, connection-189, channel-93, transfer
crypto-org-chain-mainnet-1, 07-tendermint-33, connection-12, channel-10, transfer, osmosis-1, 07-tendermint-4, connection-5, channel-5, transfer
crypto-org-chain-mainnet-1, 07-tendermint-52, connection-29, channel-13, transfer, osmosis-1, 07-tendermint-68, connection-39, channel-13, transfer
crypto-org-chain-mainnet-1, 07-tendermint-59, connection-32, channel-15, transfer, cosmoshub-4, 07-tendermint-353, connection-311, channel-166, transfer
crypto-org-chain-mainnet-1, 07-tendermint-60, connection-33, channel-16, transfer, irishub-1, 07-tendermint-24, connection-18, channel-10, transfer
crypto-org-chain-mainnet-1, 07-tendermint-61, connection-34, channel-17, transfer, core-1, 07-tendermint-24, connection-17, channel-11, transfer
crypto-org-chain-mainnet-1, 07-tendermint-62, connection-35, channel-18, transfer, core-1, 07-tendermint-25, connection-18, channel-12, transfer
crypto-org-chain-mainnet-1, 07-tendermint-63, connection-36, channel-19, transfer, sentinelhub-2, 07-tendermint-43, connection-28, channel-7, transfer
crypto-org-chain-mainnet-1, 07-tendermint-64, connection-37, channel-20, transfer, regen-1, 07-tendermint-21, connection-10, channel-8, transfer
crypto-org-chain-mainnet-1, 07-tendermint-65, connection-38, channel-21, transfer, akashnet-2, 07-tendermint-48, connection-23, channel-14, transfer
crypto-org-chain-mainnet-1, 07-tendermint-66, connection-39, channel-22, transfer, iov-mainnet-ibc, 07-tendermint-16, connection-11, channel-3, transfer
crypto-org-chain-mainnet-1, 07-tendermint-650, connection-197, channel-23, transfer, irishub-1, 07-tendermint-32, connection-23, channel-13, transfer
crypto-org-chain-mainnet-1, 07-tendermint-731, connection-217, channel-24, transfer, akashnet-2, 07-tendermint-54, connection-30, channel-18, transfer
crypto-org-chain-mainnet-1, 07-tendermint-732, connection-218, channel-25, transfer, regen-1, 07-tendermint-28, connection-26, channel-12, transfer
crypto-org-chain-mainnet-1, 07-tendermint-734, connection-219, channel-26, transfer, sentinelhub-2, 07-tendermint-59, connection-34, channel-13, transfer
crypto-org-chain-mainnet-1, 07-tendermint-735, connection-220, channel-27, transfer, cosmoshub-4, 07-tendermint-389, connection-342, channel-187, transfer
crypto-org-chain-mainnet-1, 07-tendermint-736, connection-221, channel-28, transfer, osmosis-1, 07-tendermint-647, connection-609, channel-22, transfer
crypto-org-chain-mainnet-1, 07-tendermint-737, connection-222, channel-29, transfer, core-1, 07-tendermint-35, connection-29, channel-23, transfer
crypto-org-chain-mainnet-1, 07-tendermint-5, connection-3, channel-3, transfer, testnet-croeseid-2, 07-tendermint-91, connection-50, channel-31, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1096, connection-231, channel-30, transfer, iov-mainnet-ibc, 07-tendermint-28, connection-17, channel-4, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1097, connection-232, channel-31, transfer, sifchain-devnet-1, 07-tendermint-199, connection-129, channel-118, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1102, connection-236, channel-32, transfer, sifchain-testnet-1, 07-tendermint-21, connection-18, channel-16, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1103, connection-239, channel-33, transfer, sifchain-1, 07-tendermint-20, connection-10, channel-9, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1106, connection-241, channel-39, transfer, iov-mainnet-ibc, 07-tendermint-39, connection-24, channel-9, transfer
crypto-org-chain-mainnet-1, 07-tendermint-7, connection-4, channel-4, transfer, testnet-croeseid-2, 07-tendermint-97, connection-53, channel-34, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1107, connection-242, channel-40, transfer, microtick-1, 07-tendermint-85, connection-84, channel-7, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1108, connection-243, channel-41, transfer, impacthub-3, 07-tendermint-10, connection-10, channel-2, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1109, connection-244, channel-42, transfer, emoney-3, 07-tendermint-16, connection-10, channel-5, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1120, connection-248, channel-43, transfer, cronosmainnet_28-1, 07-tendermint-3, connection-2, channel-0, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1122, connection-249, channel-44, transfer, cronosmainnet_25-1, 07-tendermint-1, connection-0, channel-0, transfer
crypto-org-chain-mainnet-1, 06-solomachine-1124, connection-251, channel-46, transfer, null, 07-tendermint-M9qx, connection-20XZ, channel-JEnb, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1125, connection-252, channel-47, transfer, sifchain-testnet-1, 07-tendermint-31, connection-18, channel-13, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1126, connection-253, channel-48, transfer, sifchain-testnet-1, 07-tendermint-12, connection-8, channel-7, transfer
crypto-org-chain-mainnet-1, 07-tendermint-18, connection-5, channel-5, transfer, devnet-1, 07-tendermint-0, connection-0, channel-0, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1127, connection-254, channel-54, transfer, omniflixhub-1, 07-tendermint-20, connection-18, channel-11, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1130, connection-257, channel-55, transfer, omniflixhub-1, 07-tendermint-34, connection-26, channel-19, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1132, connection-258, channel-56, transfer, kaiyo-1, 07-tendermint-8, connection-4, channel-6, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1136, connection-260, channel-57, transfer, evmos_9001-2, 07-tendermint-85, connection-43, channel-31, transfer
crypto-org-chain-mainnet-1, 07-tendermint-19, connection-6, channel-6, transfer, devnet-1, 07-tendermint-0, connection-0, channel-0, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1152, connection-276, channel-60, transfer, umee-1, 07-tendermint-158, connection-105, channel-44, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1153, connection-277, channel-61, transfer, crescent-1, 07-tendermint-77, connection-65, channel-40, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1154, connection-279, channel-62, transfer, phoenix-1, 07-tendermint-156, connection-128, channel-109, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1155, connection-281, channel-63, transfer, phoenix-1, 07-tendermint-208, connection-164, channel-143, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1156, connection-283, channel-64, transfer, eightball-1, 07-tendermint-27, connection-38, channel-36, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1157, connection-284, channel-65, transfer, agoric-3, 07-tendermint-35, connection-33, channel-25, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1158, connection-285, channel-66, transfer, arkh, 07-tendermint-58, connection-51, channel-31, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1159, connection-286, channel-67, transfer, mantle-1, 07-tendermint-64, connection-43, channel-30, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1160, connection-289, channel-68, transfer, axelar-dojo-1, 07-tendermint-130, connection-117, channel-85, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1165, connection-294, channel-69, transfer, bostrom, 07-tendermint-76, connection-49, channel-41, transfer
crypto-org-chain-mainnet-1, 07-tendermint-21, connection-8, channel-7, transfer, ibc-0766, 07-tendermint-2, connection-2, channel-2, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1169, connection-297, channel-70, transfer, injective-1, 07-tendermint-175, connection-160, channel-125, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1172, connection-299, channel-71, transfer, juno-1, 07-tendermint-358, connection-356, channel-255, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1174, connection-301, channel-72, transfer, mars-1, 07-tendermint-26, connection-21, channel-16, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1176, connection-303, channel-74, transfer, odin-mainnet-freya, 07-tendermint-68, connection-53, channel-39, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1179, connection-305, channel-76, transfer, secret-4, 07-tendermint-145, connection-105, channel-71, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1181, connection-307, channel-77, transfer, sommelier-3, 07-tendermint-26, connection-27, channel-17, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1183, connection-309, channel-79, transfer, iov-mainnet-ibc, 07-tendermint-71, connection-55, channel-36, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1185, connection-311, channel-81, transfer, teritori-1, 07-tendermint-54, connection-31, channel-26, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1191, connection-319, channel-84, transfer, core-1, 07-tendermint-126, connection-165, channel-99, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1194, connection-323, channel-86, transfer, stride-1, 07-tendermint-108, connection-96, channel-112, transfer
crypto-org-chain-mainnet-1, 07-tendermint-1198, connection-330, channel-89, transfer, umee-1, 07-tendermint-232, connection-193, channel-100, transfer
crypto-org-chain-mainnet-1, 07-tendermint-32, connection-11, channel-9, transfer, cosmoshub-4, 07-tendermint-172, connection-212, channel-109, transfer
