CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
desmos-mainnet, 07-tendermint-2, connection-2, channel-0, ibc-profiles, laozi-mainnet, 07-tendermint-20, connection-17, channel-11, oracle
desmos-mainnet, 07-tendermint-3, connection-3, channel-1, ibc-profiles, laozi-mainnet, 07-tendermint-21, connection-20, channel-12, oracle
desmos-mainnet, 07-tendermint-74, connection-42, channel-32, ibc-profiles, laozi-mainnet, 07-tendermint-160, connection-139, channel-157, oracle
desmos-mainnet, 07-tendermint-19, connection-14, channel-7, ibc-profiles, laozi-mainnet, 07-tendermint-140, connection-119, channel-135, oracle
desmos-mainnet, 07-tendermint-21, connection-15, channel-8, ibc-profiles, laozi-mainnet, 07-tendermint-141, connection-120, channel-136, oracle
desmos-mainnet, 07-tendermint-23, connection-16, channel-9, ibc-profiles, laozi-mainnet, 07-tendermint-149, connection-126, channel-142, oracle
desmos-mainnet, 07-tendermint-24, connection-17, channel-10, transfer, phoenix-1, 07-tendermint-157, connection-129, channel-110, transfer
desmos-mainnet, 07-tendermint-25, connection-18, channel-11, transfer, phoenix-1, 07-tendermint-209, connection-165, channel-144, transfer
desmos-mainnet, 07-tendermint-27, connection-20, channel-12, transfer, eightball-1, 07-tendermint-30, connection-40, channel-37, transfer
desmos-mainnet, 07-tendermint-28, connection-21, channel-13, transfer, agoric-3, 07-tendermint-36, connection-34, channel-26, transfer
desmos-mainnet, 07-tendermint-29, connection-22, channel-14, transfer, arkh, 07-tendermint-59, connection-52, channel-32, transfer
desmos-mainnet, 07-tendermint-30, connection-23, channel-15, transfer, mantle-1, 07-tendermint-65, connection-44, channel-31, transfer
desmos-mainnet, 07-tendermint-31, connection-24, channel-16, transfer, axelar-dojo-1, 07-tendermint-131, connection-118, channel-86, transfer
desmos-mainnet, 07-tendermint-32, connection-25, channel-17, transfer, crescent-1, 07-tendermint-90, connection-79, channel-51, transfer
desmos-mainnet, 07-tendermint-41, connection-26, channel-18, transfer, cosmoshub-4, 07-tendermint-1137, connection-824, channel-581, transfer
desmos-mainnet, 07-tendermint-45, connection-27, channel-19, transfer, injective-1, 07-tendermint-176, connection-162, channel-126, transfer
desmos-mainnet, 07-tendermint-6, connection-4, channel-2, transfer, osmosis-1, 07-tendermint-1726, connection-1315, channel-135, transfer
desmos-mainnet, 07-tendermint-47, connection-28, channel-20, transfer, jackal-1, 07-tendermint-19, connection-15, channel-14, transfer
desmos-mainnet, 07-tendermint-56, connection-30, channel-21, transfer, core-1, 07-tendermint-119, connection-158, channel-94, transfer
desmos-mainnet, 07-tendermint-59, connection-31, channel-22, transfer, regen-1, 07-tendermint-133, connection-114, channel-117, transfer
desmos-mainnet, 07-tendermint-63, connection-33, channel-23, transfer, iov-mainnet-ibc, 07-tendermint-72, connection-56, channel-37, transfer
desmos-mainnet, 07-tendermint-64, connection-34, channel-24, transfer, teritori-1, 07-tendermint-55, connection-33, channel-27, transfer
desmos-mainnet, 07-tendermint-69, connection-37, channel-25, transfer, irishub-1, 07-tendermint-116, connection-88, channel-51, transfer
desmos-mainnet, 07-tendermint-70, connection-38, channel-26, transfer, juno-1, 07-tendermint-362, connection-361, channel-259, transfer
desmos-mainnet, 07-tendermint-71, connection-39, channel-27, transfer, mars-1, 07-tendermint-36, connection-28, channel-20, transfer
desmos-mainnet, 07-tendermint-72, connection-40, channel-28, transfer, stride-1, 07-tendermint-109, connection-97, channel-113, transfer
desmos-mainnet, 07-tendermint-73, connection-41, channel-29, transfer, phoenix-1, 07-tendermint-315, connection-228, channel-193, transfer
desmos-mainnet, 07-tendermint-14, connection-8, channel-3, transfer, stargaze-1, 07-tendermint-87, connection-58, channel-21, transfer
desmos-mainnet, 07-tendermint-15, connection-10, channel-4, transfer, osmosis-1, 07-tendermint-1802, connection-1407, channel-183, transfer
desmos-mainnet, 07-tendermint-16, connection-12, channel-5, transfer, umee-1, 07-tendermint-49, connection-23, channel-21, transfer
desmos-mainnet, 07-tendermint-17, connection-13, channel-6, transfer, bostrom, 07-tendermint-34, connection-16, channel-13, transfer
