CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
echelon_3000-3, 07-tendermint-4, connection-2, channel-0, transfer, cosmoshub-4, 07-tendermint-729, connection-540, channel-327, transfer
echelon_3000-3, 07-tendermint-27, connection-7, channel-1, transfer, stargaze-1, 07-tendermint-171, connection-102, channel-44, transfer
echelon_3000-3, 07-tendermint-106, connection-28, channel-10, transfer, osmosis-1, 07-tendermint-2267, connection-1759, channel-402, transfer
echelon_3000-3, 07-tendermint-107, connection-29, channel-11, transfer, osmosis-1, 07-tendermint-2268, connection-1760, channel-403, transfer
echelon_3000-3, 07-tendermint-110, connection-30, channel-12, transfer, osmosis-1, 07-tendermint-2276, connection-1780, channel-429, transfer
echelon_3000-3, 07-tendermint-111, connection-31, channel-13, transfer, thanos-1, 07-tendermint-0, connection-0, channel-0, transfer
echelon_3000-3, 07-tendermint-29, connection-8, channel-2, transfer, osmosis-1, 07-tendermint-1959, connection-1523, channel-246, transfer
echelon_3000-3, 07-tendermint-36, connection-12, channel-3, transfer, osmosis-1, 07-tendermint-1965, connection-1526, channel-247, transfer
echelon_3000-3, 07-tendermint-41, connection-14, channel-4, transfer, osmosis-1, 07-tendermint-1967, connection-1528, channel-248, transfer
echelon_3000-3, 07-tendermint-45, connection-18, channel-5, transfer, osmosis-1, 07-tendermint-1971, connection-1532, channel-249, transfer
echelon_3000-3, 07-tendermint-76, connection-20, channel-6, transfer, osmosis-1, 07-tendermint-1976, connection-1534, channel-250, transfer
echelon_3000-3, 07-tendermint-91, connection-21, channel-7, transfer, cosmoshub-4, 07-tendermint-761, connection-552, channel-340, transfer
echelon_3000-3, 07-tendermint-98, connection-22, channel-8, transfer, osmosis-1, 07-tendermint-2023, connection-1563, channel-262, transfer
echelon_3000-3, 07-tendermint-103, connection-25, channel-9, transfer, cosmoshub-4, 07-tendermint-918, connection-639, channel-399, transfer
