CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
evmos_9001-2, 07-tendermint-99, connection-57, channel-44, icahost, local-flowtest-2, 07-tendermint-0, connection-0, channel-2, icacontroller-evmos_9001-2.FEE
evmos_9001-2, 07-tendermint-99, connection-57, channel-45, icahost, local-flowtest-2, 07-tendermint-0, connection-0, channel-1, icacontroller-evmos_9001-2.DELEGATION
evmos_9001-2, 07-tendermint-99, connection-57, channel-46, icahost, local-flowtest-2, 07-tendermint-0, connection-0, channel-3, icacontroller-evmos_9001-2.WITHDRAWAL
evmos_9001-2, 07-tendermint-99, connection-57, channel-47, icahost, local-flowtest-2, 07-tendermint-0, connection-0, channel-4, icacontroller-evmos_9001-2.REDEMPTION
evmos_9001-2, 07-tendermint-77, connection-33, channel-52, icahost, stride-1, 07-tendermint-8, connection-7, channel-65, icacontroller-evmos_9001-2.REDEMPTION
evmos_9001-2, 07-tendermint-77, connection-33, channel-53, icahost, stride-1, 07-tendermint-8, connection-7, channel-63, icacontroller-evmos_9001-2.FEE
evmos_9001-2, 07-tendermint-14, connection-8, channel-66, icahost, juno-1, 07-tendermint-148, connection-96, channel-229, wasm.juno1qh9z3tclvaemrskpucxa63gu85qywtpfzg0z4hyczmkcgf87gcjslp4008
evmos_9001-2, 07-tendermint-77, connection-33, channel-74, icahost, stride-1, 07-tendermint-8, connection-7, channel-84, icacontroller-evmos_9001-2.WITHDRAWAL
evmos_9001-2, 07-tendermint-77, connection-33, channel-76, icahost, stride-1, 07-tendermint-8, connection-7, channel-88, icacontroller-evmos_9001-2.DELEGATION
evmos_9001-2, 07-tendermint-109, connection-64, channel-78, icahost, stayking-hub, 07-tendermint-4, connection-1, channel-8, icacontroller-evmos_9001-2.FEE
evmos_9001-2, 07-tendermint-109, connection-64, channel-89, icahost, stayking-hub, 07-tendermint-4, connection-1, channel-14, icacontroller-evmos_9001-2.WITHDRAWAL
evmos_9001-2, 07-tendermint-14, connection-8, channel-90, icahost, juno-1, 07-tendermint-148, connection-96, channel-298, wasm.juno1xscn857dny0n9yxnf6macnnkgkfslahnue7jw84dgra4xf73efdq6nppnq
