CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
fetchhub-4, 07-tendermint-0, connection-0, channel-0, transfer, osmosis-1, 07-tendermint-1780, connection-1388, channel-175, transfer
fetchhub-4, 07-tendermint-1, connection-1, channel-1, transfer, osmosis-1, 07-tendermint-1781, connection-1389, channel-176, transfer
fetchhub-4, 07-tendermint-10, connection-10, channel-10, transfer, osmosis-1, 07-tendermint-1913, connection-1490, channel-229, transfer
fetchhub-4, 07-tendermint-11, connection-11, channel-11, transfer, cosmoshub-4, 07-tendermint-718, connection-536, channel-324, transfer
fetchhub-4, 07-tendermint-12, connection-12, channel-12, transfer, juno-1, 07-tendermint-156, connection-103, channel-77, transfer
fetchhub-4, 07-tendermint-13, connection-13, channel-13, transfer, gravity-bridge-3, 07-tendermint-98, connection-101, channel-61, transfer
fetchhub-4, 07-tendermint-14, connection-14, channel-14, transfer, axelar-dojo-1, 07-tendermint-49, connection-30, channel-21, transfer
fetchhub-4, 07-tendermint-27, connection-16, channel-15, transfer, planq_7070-2, 07-tendermint-387, connection-351, channel-48, transfer
fetchhub-4, 07-tendermint-34, connection-23, channel-16, transfer, cosmoshub-4, 07-tendermint-1096, connection-771, channel-526, transfer
fetchhub-4, 07-tendermint-36, connection-24, channel-17, transfer, kaiyo-1, 07-tendermint-81, connection-58, channel-57, transfer
fetchhub-4, 07-tendermint-56, connection-25, channel-18, transfer, kaiyo-1, 07-tendermint-93, connection-63, channel-60, transfer
fetchhub-4, 07-tendermint-57, connection-26, channel-19, transfer, phoenix-1, 07-tendermint-158, connection-130, channel-111, transfer
fetchhub-4, 07-tendermint-2, connection-2, channel-2, transfer, cosmoshub-4, 07-tendermint-603, connection-466, channel-282, transfer
fetchhub-4, 07-tendermint-58, connection-28, channel-20, transfer, phoenix-1, 07-tendermint-210, connection-166, channel-145, transfer
fetchhub-4, 07-tendermint-61, connection-30, channel-21, transfer, eightball-1, 07-tendermint-32, connection-41, channel-38, transfer
fetchhub-4, 07-tendermint-62, connection-31, channel-22, transfer, agoric-3, 07-tendermint-39, connection-36, channel-28, transfer
fetchhub-4, 07-tendermint-63, connection-32, channel-23, transfer, akashnet-2, 07-tendermint-143, connection-122, channel-84, transfer
fetchhub-4, 07-tendermint-64, connection-33, channel-24, transfer, arkh, 07-tendermint-60, connection-53, channel-33, transfer
fetchhub-4, 07-tendermint-65, connection-34, channel-25, transfer, mantle-1, 07-tendermint-66, connection-45, channel-32, transfer
fetchhub-4, 07-tendermint-3, connection-3, channel-3, transfer, juno-1, 07-tendermint-123, connection-80, channel-55, transfer
fetchhub-4, 07-tendermint-78, connection-50, channel-30, transfer, phoenix-1, 07-tendermint-291, connection-206, channel-179, transfer
fetchhub-4, 07-tendermint-79, connection-53, channel-31, transfer, phoenix-1, 07-tendermint-291, connection-257, channel-225, transfer
fetchhub-4, 07-tendermint-4, connection-4, channel-4, transfer, umee-1, 07-tendermint-16, connection-7, channel-7, transfer
fetchhub-4, 07-tendermint-5, connection-5, channel-5, transfer, sifchain-1, 07-tendermint-82, connection-50, channel-43, transfer
fetchhub-4, 07-tendermint-6, connection-6, channel-6, transfer, gravity-bridge-3, 07-tendermint-45, connection-55, channel-29, transfer
fetchhub-4, 07-tendermint-7, connection-7, channel-7, transfer, gravity-bridge-3, 07-tendermint-46, connection-56, channel-30, transfer
fetchhub-4, 07-tendermint-8, connection-8, channel-8, transfer, umee-1, 07-tendermint-30, connection-10, channel-10, transfer
fetchhub-4, 07-tendermint-9, connection-9, channel-9, transfer, umee-1, 07-tendermint-31, connection-11, channel-11, transfer
