CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
fxcore, 07-tendermint-0, connection-0, channel-0, transfer, PUNDIX, 07-tendermint-0, connection-0, channel-0, transfer
fxcore, 07-tendermint-4, connection-2, channel-1, transfer, MarginX-APE, 07-tendermint-3, connection-2, channel-0, transfer
fxcore, 07-tendermint-13, connection-13, channel-10, transfer, cosmoshub-4, 07-tendermint-1141, connection-829, channel-585, transfer
fxcore, 07-tendermint-14, connection-14, channel-11, transfer, osmosis-1, 07-tendermint-2792, connection-2290, channel-784, transfer
fxcore, 07-tendermint-15, connection-15, channel-12, transfer, MarginX-ORDIUSDT, 07-tendermint-0, connection-0, channel-0, transfer
fxcore, 07-tendermint-16, connection-16, channel-13, transfer, MarginX-FERCUSDT, 07-tendermint-0, connection-0, channel-0, transfer
fxcore, 07-tendermint-17, connection-17, channel-14, transfer, MarginX-10000000CHEEMSUSDT, 07-tendermint-0, connection-0, channel-0, transfer
fxcore, 07-tendermint-18, connection-18, channel-15, transfer, MarginX-ATOMUSDT, 07-tendermint-0, connection-0, channel-0, transfer
fxcore, 07-tendermint-19, connection-19, channel-16, transfer, MarginX-OSMOUSDT, 07-tendermint-0, connection-0, channel-0, transfer
fxcore, 07-tendermint-20, connection-20, channel-17, transfer, MarginX-STRDUSDT, 07-tendermint-0, connection-0, channel-0, transfer
fxcore, 07-tendermint-5, connection-3, channel-2, transfer, MarginX-BTC, 07-tendermint-0, connection-0, channel-0, transfer
fxcore, 07-tendermint-6, connection-4, channel-3, transfer, MarginX-APE, 07-tendermint-0, connection-0, channel-0, transfer
fxcore, 07-tendermint-7, connection-5, channel-4, transfer, MarginX-BTC, 07-tendermint-0, connection-0, channel-0, transfer
fxcore, 07-tendermint-8, connection-6, channel-5, transfer, MarginX-ETH, 07-tendermint-0, connection-0, channel-0, transfer
fxcore, 07-tendermint-9, connection-7, channel-6, transfer, MarginX-FX, 07-tendermint-0, connection-0, channel-0, transfer
fxcore, 07-tendermint-10, connection-8, channel-7, transfer, MarginX-MONGUSDT, 07-tendermint-0, connection-0, channel-0, transfer
fxcore, 07-tendermint-11, connection-9, channel-8, transfer, MarginX-PIZAUSDT, 07-tendermint-0, connection-0, channel-0, transfer
fxcore, 07-tendermint-12, connection-10, channel-9, transfer, MarginX-1000000TLIPUSDT, 07-tendermint-0, connection-0, channel-0, transfer
