CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
null, 07-tendermint-0, connection-0, channel-0, transfer, bitcanna-1, 07-tendermint-10, connection-9, channel-8, transfer
null, 07-tendermint-1, connection-1, channel-1, transfer, nym-sandbox, 07-tendermint-5, connection-1, channel-1, transfer
null, 07-tendermint-13, connection-13, channel-10, transfer, osmosis-1, 07-tendermint-1737, connection-1340, channel-144, transfer
null, 07-tendermint-192, connection-163, channel-100, transfer, haqq_11235-1, 07-tendermint-0, connection-0, channel-0, transfer
null, 07-tendermint-193, connection-164, channel-101, transfer, columbus-5, 07-tendermint-154, connection-93, channel-64, transfer
null, 07-tendermint-195, connection-165, channel-102, transfer, planq_7070-2, 07-tendermint-1, connection-0, channel-0, transfer
null, 07-tendermint-196, connection-167, channel-103, transfer, bostrom, 07-tendermint-33, connection-15, channel-12, transfer
null, 07-tendermint-197, connection-169, channel-104, transfer, phoenix-1, 07-tendermint-0, connection-1, channel-0, transfer
null, 07-tendermint-199, connection-171, channel-105, transfer, osmosis-1, 07-tendermint-0, connection-0, channel-0, transfer
null, 07-tendermint-201, connection-175, channel-106, transfer, acre_9052-1, 07-tendermint-7, connection-7, channel-6, transfer
null, 07-tendermint-225, connection-189, channel-107, transfer, kaiyo-1, 07-tendermint-69, connection-45, channel-50, transfer
null, 07-tendermint-264, connection-222, channel-108, transfer, planq_7070-2, 07-tendermint-88, connection-73, channel-12, transfer
null, 07-tendermint-270, connection-228, channel-109, transfer, planq_7070-2, 07-tendermint-109, connection-93, channel-18, transfer
null, 07-tendermint-14, connection-14, channel-11, transfer, stargaze-1, 07-tendermint-24, connection-17, channel-11, transfer
null, 07-tendermint-271, connection-229, channel-110, transfer, planq_7070-2, 07-tendermint-110, connection-94, channel-19, transfer
null, 07-tendermint-309, connection-277, channel-111, transfer, ixo-4, 07-tendermint-48, connection-39, channel-22, transfer
null, 07-tendermint-351, connection-323, channel-112, transfer, comdex-1, 07-tendermint-126, connection-64, channel-56, transfer
null, 07-tendermint-362, connection-335, channel-113, transfer, injective-1, 07-tendermint-152, connection-121, channel-100, transfer
null, 07-tendermint-364, connection-336, channel-114, transfer, core-1, 07-tendermint-97, connection-78, channel-74, transfer
null, 07-tendermint-39, connection-348, channel-115, transfer, core-1, 07-tendermint-51, connection-122, channel-75, transfer
null, 07-tendermint-367, connection-352, channel-116, transfer, nyx, 07-tendermint-0, connection-0, channel-0, transfer
null, 07-tendermint-368, connection-353, channel-117, transfer, nyx, 07-tendermint-0, connection-0, channel-0, transfer
null, 07-tendermint-369, connection-354, channel-118, transfer, nyx, 07-tendermint-0, connection-0, channel-0, transfer
null, 07-tendermint-370, connection-355, channel-119, transfer, nyx, 07-tendermint-0, connection-0, channel-0, transfer
null, 07-tendermint-15, connection-15, channel-12, transfer, shentu-2.2, 07-tendermint-7, connection-6, channel-6, transfer
null, 07-tendermint-371, connection-356, channel-120, transfer, nyx, 07-tendermint-0, connection-0, channel-0, transfer
null, 07-tendermint-372, connection-357, channel-121, transfer, nyx, 07-tendermint-0, connection-0, channel-0, transfer
null, 07-tendermint-373, connection-358, channel-122, transfer, nyx, 07-tendermint-0, connection-0, channel-0, transfer
null, 07-tendermint-374, connection-359, channel-123, transfer, nyx, 07-tendermint-1, connection-1, channel-1, transfer
null, 07-tendermint-375, connection-360, channel-124, transfer, eightball-1, 07-tendermint-33, connection-42, channel-39, transfer
null, 07-tendermint-376, connection-361, channel-125, transfer, arkh, 07-tendermint-61, connection-54, channel-34, transfer
null, 07-tendermint-377, connection-363, channel-126, transfer, axelar-dojo-1, 07-tendermint-132, connection-119, channel-87, transfer
null, 07-tendermint-382, connection-364, channel-127, transfer, jackal-1, 07-tendermint-20, connection-16, channel-15, transfer
null, 07-tendermint-387, connection-367, channel-128, transfer, regen-1, 07-tendermint-134, connection-115, channel-118, transfer
null, 07-tendermint-389, connection-369, channel-129, transfer, sommelier-3, 07-tendermint-27, connection-29, channel-18, transfer
null, 07-tendermint-16, connection-16, channel-13, transfer, nym, 07-tendermint-1, connection-1, channel-1, transfer
null, 07-tendermint-392, connection-370, channel-130, transfer, phoenix-1, 07-tendermint-221, connection-174, channel-152, transfer
null, 07-tendermint-395, connection-373, channel-132, transfer, mars-1, 07-tendermint-38, connection-29, channel-21, transfer
null, 07-tendermint-397, connection-376, channel-134, transfer, odin-mainnet-freya, 07-tendermint-80, connection-63, channel-47, transfer
null, 07-tendermint-399, connection-378, channel-136, transfer, teritori-1, 07-tendermint-77, connection-55, channel-42, transfer
null, 07-tendermint-400, connection-380, channel-137, transfer, columbus-5, 07-tendermint-207, connection-130, channel-80, transfer
null, 07-tendermint-401, connection-381, channel-138, transfer, stride-1, 07-tendermint-124, connection-108, channel-121, transfer
null, 07-tendermint-410, connection-389, channel-139, transfer, regen-1, 07-tendermint-170, connection-142, channel-142, transfer
null, 07-tendermint-17, connection-17, channel-14, transfer, juno-1, 07-tendermint-105, connection-66, channel-41, transfer
null, 07-tendermint-19, connection-18, channel-15, transfer, nym-sandbox, 07-tendermint-6, connection-2, channel-2, transfer
null, 07-tendermint-20, connection-19, channel-16, transfer, shentu-2.2, 07-tendermint-10, connection-9, channel-9, transfer
null, 07-tendermint-21, connection-20, channel-17, transfer, cosmoshub-4, 07-tendermint-582, connection-464, channel-281, transfer
null, 07-tendermint-33, connection-44, channel-18, transfer, nyx, 07-tendermint-1, connection-0, channel-0, transfer
null, 07-tendermint-34, connection-45, channel-19, transfer, colosseum-1, 07-tendermint-0, connection-0, channel-0, transfer
null, 07-tendermint-4, connection-6, channel-2, transfer, osmosis-1, 07-tendermint-1718, connection-1308, channel-129, transfer
null, 07-tendermint-35, connection-46, channel-20, transfer, osmosis-1, 07-tendermint-1779, connection-1385, channel-172, transfer
null, 07-tendermint-36, connection-47, channel-21, transfer, comdex-1, 07-tendermint-34, connection-23, channel-23, transfer
null, 07-tendermint-37, connection-48, channel-22, transfer, umee-1, 07-tendermint-13, connection-4, channel-4, transfer
null, 07-tendermint-38, connection-49, channel-23, transfer, flixnet-4, 07-tendermint-2, connection-2, channel-2, transfer
null, 07-tendermint-39, connection-50, channel-24, transfer, core-1, 07-tendermint-51, connection-49, channel-38, transfer
null, 07-tendermint-40, connection-51, channel-25, transfer, umee-1, 07-tendermint-29, connection-8, channel-8, transfer
null, 07-tendermint-41, connection-52, channel-26, transfer, impacthub-3, 07-tendermint-34, connection-33, channel-16, transfer
null, 07-tendermint-42, connection-53, channel-27, transfer, impacthub-3, 07-tendermint-35, connection-34, channel-17, transfer
null, 07-tendermint-43, connection-54, channel-28, transfer, umee-1, 07-tendermint-29, connection-9, channel-9, transfer
null, 07-tendermint-45, connection-55, channel-29, transfer, fetchhub-3, 07-tendermint-6, connection-6, channel-6, transfer
null, 07-tendermint-4, connection-6, channel-3, transfer, osmosis-1, 07-tendermint-1718, connection-1308, channel-132, transfer
null, 07-tendermint-46, connection-56, channel-30, transfer, fetchhub-3, 07-tendermint-7, connection-7, channel-7, transfer
null, 07-tendermint-48, connection-57, channel-31, transfer, umee-1, 07-tendermint-32, connection-12, channel-12, transfer
null, 07-tendermint-49, connection-58, channel-32, transfer, umee-1, 07-tendermint-33, connection-13, channel-13, transfer
null, 07-tendermint-51, connection-60, channel-33, transfer, bostrom, 07-tendermint-12, connection-7, channel-6, transfer
null, 07-tendermint-53, connection-62, channel-34, transfer, chihuahua-1, 07-tendermint-67, connection-36, channel-15, transfer
null, 07-tendermint-54, connection-63, channel-35, transfer, omniflixhub-1, 07-tendermint-10, connection-10, channel-3, transfer
null, 07-tendermint-55, connection-64, channel-36, transfer, umee-1, 07-tendermint-44, connection-20, channel-19, transfer
null, 07-tendermint-57, connection-65, channel-37, transfer, kichain-2, 07-tendermint-18, connection-12, channel-11, transfer
null, 07-tendermint-7, connection-7, channel-4, transfer, pylons-testnet-2, 07-tendermint-31, connection-14, channel-12, transfer
null, 07-tendermint-63, connection-73, channel-41, transfer, comdex-1, 07-tendermint-35, connection-24, channel-24, transfer
null, 07-tendermint-64, connection-74, channel-43, transfer, cheqd-mainnet-1, 07-tendermint-13, connection-2, channel-2, transfer
null, 07-tendermint-72, connection-77, channel-45, transfer, comdex-1, 07-tendermint-44, connection-29, channel-26, transfer
null, 07-tendermint-73, connection-79, channel-46, transfer, evmos_9001-1, 07-tendermint-6, connection-6, channel-4, transfer
null, 07-tendermint-76, connection-80, channel-47, transfer, irishub-1, 07-tendermint-58, connection-40, channel-29, transfer
null, 07-tendermint-79, connection-84, channel-48, transfer, columbus-5, 07-tendermint-67, connection-55, channel-38, transfer
null, 07-tendermint-80, connection-85, channel-49, transfer, irishub-1, 07-tendermint-59, connection-41, channel-30, transfer
null, 07-tendermint-8, connection-8, channel-5, transfer, uni-1, 07-tendermint-4, connection-3, channel-3, transfer
null, 07-tendermint-81, connection-86, channel-50, transfer, irishub-1, 07-tendermint-60, connection-42, channel-31, transfer
null, 07-tendermint-82, connection-87, channel-51, transfer, omniflixhub-1, 07-tendermint-25, connection-21, channel-14, transfer
null, 07-tendermint-83, connection-88, channel-53, transfer, titan-1, 07-tendermint-6, connection-4, channel-4, transfer
null, 07-tendermint-88, connection-93, channel-54, transfer, sifchain-1, 07-tendermint-98, connection-66, channel-52, transfer
null, 07-tendermint-89, connection-94, channel-55, transfer, lum-network-1, 07-tendermint-10, connection-14, channel-6, transfer
null, 07-tendermint-91, connection-95, channel-56, transfer, nym-sandbox, 07-tendermint-10, connection-5, channel-5, transfer
null, 07-tendermint-92, connection-96, channel-57, transfer, darchub, 07-tendermint-5, connection-3, channel-2, transfer
null, 07-tendermint-95, connection-98, channel-58, transfer, mainnet-3, 07-tendermint-11, connection-3, channel-2, transfer
null, 07-tendermint-96, connection-99, channel-59, transfer, mainnet-3, 07-tendermint-12, connection-4, channel-3, transfer
null, 07-tendermint-9, connection-9, channel-6, transfer, nym, 07-tendermint-0, connection-0, channel-0, transfer
null, 07-tendermint-97, connection-100, channel-60, transfer, nyx, 07-tendermint-5, connection-2, channel-2, transfer
null, 07-tendermint-98, connection-101, channel-61, transfer, fetchhub-4, 07-tendermint-13, connection-13, channel-13, transfer
null, 07-tendermint-100, connection-102, channel-62, transfer, crescent-1, 07-tendermint-4, connection-2, channel-2, transfer
null, 07-tendermint-104, connection-103, channel-63, transfer, omniflixhub-1, 07-tendermint-10, connection-30, channel-21, transfer
null, 07-tendermint-103, connection-104, channel-64, transfer, omniflixhub-1, 07-tendermint-10, connection-31, channel-22, transfer
null, 07-tendermint-108, connection-106, channel-65, transfer, evmos_9001-2, 07-tendermint-17, connection-11, channel-8, transfer
null, 07-tendermint-109, connection-107, channel-66, transfer, sifchain-1, 07-tendermint-122, connection-75, channel-60, transfer
null, 07-tendermint-111, connection-109, channel-67, transfer, cheqd-mainnet-1, 07-tendermint-15, connection-4, channel-3, transfer
null, 07-tendermint-112, connection-110, channel-68, transfer, cheqd-mainnet-1, 07-tendermint-16, connection-5, channel-4, transfer
null, 07-tendermint-117, connection-120, channel-69, transfer, cheqd-mainnet-1, 07-tendermint-19, connection-12, channel-5, transfer
null, 07-tendermint-10, connection-10, channel-7, transfer, stargaze-1, 07-tendermint-16, connection-12, channel-6, transfer
null, 07-tendermint-118, connection-122, channel-70, transfer, stargaze-1, 07-tendermint-153, connection-98, channel-42, transfer
null, 07-tendermint-122, connection-125, channel-72, transfer, cheqd-mainnet-1, 07-tendermint-20, connection-13, channel-6, transfer
null, 07-tendermint-125, connection-131, channel-73, transfer, cheqd-mainnet-1, 07-tendermint-21, connection-14, channel-7, transfer
null, 07-tendermint-126, connection-134, channel-74, transfer, stargaze-1, 07-tendermint-163, connection-101, channel-43, transfer
null, 07-tendermint-131, connection-135, channel-76, transfer, cheqd-mainnet-1, 07-tendermint-22, connection-15, channel-8, transfer
null, 07-tendermint-132, connection-136, channel-77, transfer, phoenix-1, 07-tendermint-5, connection-8, channel-4, transfer
null, 07-tendermint-133, connection-137, channel-78, transfer, bostrom, 07-tendermint-13, connection-8, channel-7, transfer
null, 07-tendermint-140, connection-139, channel-79, transfer, secret-4, 07-tendermint-40, connection-23, channel-17, transfer
null, 07-tendermint-11, connection-11, channel-8, transfer, juno-1, 07-tendermint-87, connection-49, channel-31, transfer
null, 07-tendermint-142, connection-141, channel-80, transfer, mantle-1, 07-tendermint-31, connection-13, channel-6, transfer
null, 07-tendermint-143, connection-142, channel-81, transfer, mantle-1, 07-tendermint-32, connection-14, channel-7, transfer
null, 07-tendermint-147, connection-144, channel-82, transfer, mantle-1, 07-tendermint-34, connection-15, channel-8, transfer
null, 07-tendermint-148, connection-145, channel-83, transfer, kaiyo-1, 07-tendermint-13, connection-8, channel-11, transfer
null, 07-tendermint-151, connection-146, channel-84, transfer, canto_7744-1, 07-tendermint-0, connection-0, channel-0, transfer
null, 07-tendermint-152, connection-147, channel-85, transfer, canto_7744-1, 07-tendermint-1, connection-1, channel-1, transfer
null, 07-tendermint-153, connection-148, channel-86, transfer, atlantic-1, 07-tendermint-177, connection-89, channel-101, transfer
null, 07-tendermint-154, connection-149, channel-87, transfer, meme-1, 07-tendermint-20, connection-12, channel-6, transfer
null, 07-tendermint-156, connection-150, channel-88, transfer, canto_7700-1, 07-tendermint-0, connection-0, channel-0, transfer
null, 07-tendermint-161, connection-152, channel-89, transfer, regen-1, 07-tendermint-97, connection-81, channel-45, transfer
null, 07-tendermint-12, connection-12, channel-9, transfer, stargaze-1, 07-tendermint-19, connection-15, channel-9, transfer
null, 07-tendermint-162, connection-153, channel-90, transfer, haqq_121799-1, 07-tendermint-4, connection-2, channel-2, transfer
null, 07-tendermint-173, connection-154, channel-91, transfer, agoric-3, 07-tendermint-4, connection-7, channel-4, transfer
null, 07-tendermint-180, connection-155, channel-93, transfer, haqq_53211-1, 07-tendermint-15, connection-4, channel-0, transfer
null, 07-tendermint-181, connection-156, channel-94, transfer, haqq_54211-3, 07-tendermint-1, connection-0, channel-0, transfer
null, 07-tendermint-187, connection-158, channel-95, transfer, irishub-1, 07-tendermint-65, connection-45, channel-34, transfer
null, 07-tendermint-190, connection-161, channel-98, transfer, FUND-MainNet-2, 07-tendermint-4, connection-4, channel-2, transfer
null, 07-tendermint-191, connection-162, channel-99, transfer, FUND-MainNet-2, 07-tendermint-5, connection-5, channel-3, transfer
