CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
ixo-5, 07-tendermint-8, connection-8, channel-0, transfer, akashnet-2, 07-tendermint-76, connection-50, channel-29, transfer
ixo-5, 07-tendermint-9, connection-9, channel-1, transfer, cosmoshub-4, 07-tendermint-434, connection-368, channel-204, transfer
ixo-5, 07-tendermint-24, connection-24, channel-10, transfer, sifchain-testnet-1, 07-tendermint-42, connection-42, channel-37, transfer
ixo-5, 07-tendermint-25, connection-25, channel-11, transfer, sifchain-1, 07-tendermint-39, connection-18, channel-15, transfer
ixo-5, 07-tendermint-26, connection-26, channel-12, transfer, sifchain-testnet-1, 07-tendermint-45, connection-44, channel-38, transfer
ixo-5, 07-tendermint-27, connection-27, channel-13, transfer, sifchain-testnet-1, 07-tendermint-13, connection-2, channel-2, transfer
ixo-5, 07-tendermint-28, connection-28, channel-14, transfer, sifchain-testnet-1, 07-tendermint-5, connection-4, channel-4, transfer
ixo-5, 07-tendermint-29, connection-29, channel-15, transfer, stargaze-1, 07-tendermint-55, connection-41, channel-16, transfer
ixo-5, 07-tendermint-34, connection-33, channel-16, transfer, gravity-bridge-3, 07-tendermint-41, connection-52, channel-26, transfer
ixo-5, 07-tendermint-35, connection-34, channel-17, transfer, gravity-bridge-3, 07-tendermint-42, connection-53, channel-27, transfer
ixo-5, 07-tendermint-44, connection-35, channel-18, transfer, cosmoshub-4, 07-tendermint-923, connection-642, channel-401, transfer
ixo-5, 07-tendermint-44, connection-36, channel-19, transfer, cosmoshub-4, 07-tendermint-923, connection-644, channel-402, transfer
ixo-5, 07-tendermint-10, connection-10, channel-2, transfer, crypto-org-chain-mainnet-1, 07-tendermint-1108, connection-243, channel-41, transfer
ixo-5, 07-tendermint-46, connection-37, channel-20, transfer, stargaze-1, 07-tendermint-223, connection-157, channel-122, transfer
ixo-5, 07-tendermint-47, connection-38, channel-21, transfer, osmosis-1, 07-tendermint-2528, connection-2062, channel-553, transfer
ixo-5, 07-tendermint-48, connection-39, channel-22, transfer, gravity-bridge-3, 07-tendermint-309, connection-277, channel-111, transfer
ixo-5, 07-tendermint-54, connection-40, channel-23, transfer, axelar-dojo-1, 07-tendermint-168, connection-150, channel-114, transfer
ixo-5, 07-tendermint-56, connection-42, channel-25, transfer, kava_2222-10, 07-tendermint-138, connection-172, channel-128, transfer
ixo-5, 07-tendermint-11, connection-11, channel-3, transfer, irishub-1, 07-tendermint-47, connection-35, channel-24, transfer
ixo-5, 07-tendermint-12, connection-12, channel-4, transfer, osmosis-1, 07-tendermint-1451, connection-1137, channel-38, transfer
ixo-5, 07-tendermint-13, connection-13, channel-5, transfer, core-1, 07-tendermint-42, connection-42, channel-30, transfer
ixo-5, 07-tendermint-14, connection-14, channel-6, transfer, regen-1, 07-tendermint-76, connection-63, channel-31, transfer
ixo-5, 07-tendermint-15, connection-15, channel-7, transfer, sentinelhub-2, 07-tendermint-90, connection-72, channel-42, transfer
ixo-5, 07-tendermint-16, connection-16, channel-8, transfer, iov-mainnet-ibc, 07-tendermint-52, connection-35, channel-17, transfer
ixo-5, 07-tendermint-23, connection-23, channel-9, transfer, microtick-1, 07-tendermint-98, connection-91, channel-15, transfer
