CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
injective-1, 07-tendermint-163, connection-138, channel-107, icahost, local-test-1, 07-tendermint-0, connection-0, channel-3, icacontroller-injective-1.WITHDRAWAL
injective-1, 07-tendermint-163, connection-138, channel-108, icahost, local-test-1, 07-tendermint-0, connection-0, channel-4, icacontroller-injective-1.REDEMPTION
injective-1, 07-tendermint-163, connection-138, channel-109, icahost, local-test-1, 07-tendermint-0, connection-0, channel-1, icacontroller-injective-1.DELEGATION
injective-1, 07-tendermint-163, connection-138, channel-110, icahost, local-test-1, 07-tendermint-0, connection-0, channel-2, icacontroller-injective-1.FEE
injective-1, 07-tendermint-131, connection-103, channel-113, icahost, stride-1, 07-tendermint-2, connection-3, channel-79, icacontroller-injective-1.REDEMPTION
injective-1, 07-tendermint-131, connection-103, channel-114, icahost, stride-1, 07-tendermint-2, connection-3, channel-77, icacontroller-injective-1.FEE
injective-1, 07-tendermint-131, connection-103, channel-115, icahost, stride-1, 07-tendermint-2, connection-3, channel-76, icacontroller-injective-1.DELEGATION
injective-1, 07-tendermint-131, connection-103, channel-116, icahost, stride-1, 07-tendermint-2, connection-3, channel-78, icacontroller-injective-1.WITHDRAWAL
injective-1, 07-tendermint-22, connection-17, channel-10, oracle, laozi-mainnet, 07-tendermint-24, connection-23, channel-14, oracle
injective-1, 07-tendermint-23, connection-18, channel-11, oracle, laozi-mainnet, 07-tendermint-25, connection-24, channel-15, oracle
injective-1, 07-tendermint-24, connection-19, channel-12, oracle, laozi-mainnet, 07-tendermint-26, connection-25, channel-16, oracle
injective-1, 07-tendermint-25, connection-20, channel-13, oracle, laozi-mainnet, 07-tendermint-27, connection-26, channel-17, oracle
injective-1, 07-tendermint-26, connection-21, channel-14, oracle, laozi-mainnet, 07-tendermint-28, connection-27, channel-18, oracle
injective-1, 07-tendermint-27, connection-22, channel-15, oracle, laozi-mainnet, 07-tendermint-29, connection-28, channel-19, oracle
injective-1, 07-tendermint-28, connection-23, channel-16, oracle, laozi-mainnet, 07-tendermint-30, connection-29, channel-20, oracle
injective-1, 07-tendermint-29, connection-24, channel-17, oracle, laozi-mainnet, 07-tendermint-31, connection-30, channel-21, oracle
injective-1, 07-tendermint-30, connection-25, channel-18, oracle, laozi-mainnet, 07-tendermint-32, connection-31, channel-22, oracle
injective-1, 07-tendermint-31, connection-26, channel-19, oracle, laozi-mainnet, 07-tendermint-33, connection-32, channel-23, oracle
injective-1, 07-tendermint-32, connection-27, channel-20, oracle, laozi-mainnet, 07-tendermint-34, connection-33, channel-24, oracle
injective-1, 07-tendermint-33, connection-28, channel-21, oracle, laozi-mainnet, 07-tendermint-35, connection-34, channel-25, oracle
