CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
juno-1, 07-tendermint-262, connection-204, channel-124, icahost, local-test-4, 07-tendermint-0, connection-0, channel-4, icacontroller-juno-1.REDEMPTION
juno-1, 07-tendermint-262, connection-204, channel-126, icahost, local-test-4, 07-tendermint-0, connection-0, channel-2, icacontroller-juno-1.FEE
juno-1, 07-tendermint-262, connection-204, channel-134, icahost, local-test-4, 07-tendermint-0, connection-0, channel-7, icacontroller-juno-1.WITHDRAWAL
juno-1, 07-tendermint-263, connection-205, channel-140, icahost, stride-1, 07-tendermint-31, connection-19, channel-28, icacontroller-juno-1.REDEMPTION
juno-1, 07-tendermint-263, connection-205, channel-142, icahost, stride-1, 07-tendermint-31, connection-19, channel-27, icacontroller-juno-1.WITHDRAWAL
juno-1, 07-tendermint-263, connection-205, channel-143, icahost, stride-1, 07-tendermint-31, connection-19, channel-26, icacontroller-juno-1.FEE
juno-1, 07-tendermint-320, connection-311, channel-220, icahost, testy-1, 07-tendermint-9, connection-1, channel-8, icacontroller-juno-1.withdrawal
juno-1, 07-tendermint-320, connection-311, channel-222, icahost, testy-1, 07-tendermint-9, connection-1, channel-7, icacontroller-juno-1.deposit
juno-1, 07-tendermint-379, connection-373, channel-274, icahost, quicksilver-2, 07-tendermint-68, connection-50, channel-91, icacontroller-juno-1.withdrawal
juno-1, 07-tendermint-379, connection-373, channel-275, icahost, quicksilver-2, 07-tendermint-68, connection-50, channel-92, icacontroller-juno-1.performance
juno-1, 07-tendermint-379, connection-373, channel-276, icahost, quicksilver-2, 07-tendermint-68, connection-50, channel-93, icacontroller-juno-1.delegate
juno-1, 07-tendermint-379, connection-373, channel-277, icahost, quicksilver-2, 07-tendermint-68, connection-50, channel-90, icacontroller-juno-1.deposit
juno-1, 07-tendermint-0, connection-0, channel-0, transfer, osmosis-1, 07-tendermint-1457, connection-1142, channel-42, transfer
juno-1, 07-tendermint-3, connection-2, channel-1, transfer, cosmoshub-4, 07-tendermint-439, connection-372, channel-207, transfer
juno-1, 07-tendermint-25, connection-17, channel-10, transfer, sifchain-testnet-1, 07-tendermint-27, connection-5, channel-6, transfer
juno-1, 07-tendermint-80, connection-156, channel-100, transfer, akashnet-2, 07-tendermint-84, connection-72, channel-46, transfer
juno-1, 07-tendermint-80, connection-157, channel-101, transfer, akashnet-2, 07-tendermint-84, connection-73, channel-47, transfer
juno-1, 07-tendermint-80, connection-158, channel-103, transfer, akashnet-2, 07-tendermint-84, connection-74, channel-48, transfer
juno-1, 07-tendermint-80, connection-159, channel-104, transfer, akashnet-2, 07-tendermint-84, connection-75, channel-49, transfer
