CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
kichain-2, 07-tendermint-4, connection-0, channel-0, transfer, osmosis-1, 07-tendermint-1564, connection-1225, channel-77, transfer
kichain-2, 07-tendermint-6, connection-1, channel-1, transfer, cosmoshub-4, 07-tendermint-475, connection-392, channel-223, transfer
kichain-2, 07-tendermint-17, connection-11, channel-10, transfer, omniflixhub-1, 07-tendermint-18, connection-16, channel-9, transfer
kichain-2, 07-tendermint-18, connection-12, channel-11, transfer, gravity-bridge-3, 07-tendermint-57, connection-65, channel-37, transfer
kichain-2, 07-tendermint-21, connection-14, channel-12, transfer, osmosis-1, 07-tendermint-1892, connection-1469, channel-219, transfer
kichain-2, 07-tendermint-22, connection-15, channel-13, transfer, omniflixhub-1, 07-tendermint-31, connection-24, channel-17, transfer
kichain-2, 07-tendermint-23, connection-16, channel-15, transfer, titan-1, 07-tendermint-10, connection-6, channel-6, transfer
kichain-2, 07-tendermint-28, connection-23, channel-17, transfer, sifchain-1, 07-tendermint-113, connection-70, channel-56, transfer
kichain-2, 07-tendermint-30, connection-25, channel-19, transfer, axelar-dojo-1, 07-tendermint-45, connection-26, channel-17, transfer
kichain-2, 07-tendermint-7, connection-2, channel-2, transfer, evmos_9000-2, 07-tendermint-111, connection-54, channel-47, transfer
kichain-2, 07-tendermint-31, connection-26, channel-20, transfer, stride-1, 07-tendermint-21, connection-13, channel-15, transfer
kichain-2, 07-tendermint-32, connection-27, channel-21, transfer, evmos_9001-2, 07-tendermint-82, connection-39, channel-29, transfer
kichain-2, 07-tendermint-34, connection-28, channel-22, transfer, phoenix-1, 07-tendermint-199, connection-158, channel-137, transfer
kichain-2, 07-tendermint-35, connection-29, channel-23, transfer, eightball-1, 07-tendermint-57, connection-50, channel-46, transfer
kichain-2, 07-tendermint-36, connection-30, channel-24, transfer, agoric-3, 07-tendermint-45, connection-42, channel-34, transfer
kichain-2, 07-tendermint-37, connection-31, channel-25, transfer, akashnet-2, 07-tendermint-145, connection-124, channel-85, transfer
kichain-2, 07-tendermint-38, connection-32, channel-26, transfer, arkh, 07-tendermint-67, connection-59, channel-39, transfer
kichain-2, 07-tendermint-39, connection-33, channel-27, transfer, mantle-1, 07-tendermint-72, connection-50, channel-37, transfer
kichain-2, 07-tendermint-42, connection-36, channel-28, transfer, bostrom, 07-tendermint-55, connection-29, channel-25, transfer
kichain-2, 07-tendermint-47, connection-41, channel-29, transfer, kava_2222-10, 07-tendermint-95, connection-134, channel-100, transfer
kichain-2, 07-tendermint-8, connection-3, channel-3, transfer, evmos_9000-2, 07-tendermint-112, connection-55, channel-48, transfer
kichain-2, 07-tendermint-63, connection-46, channel-30, transfer, secret-4, 07-tendermint-147, connection-107, channel-73, transfer
kichain-2, 07-tendermint-73, connection-52, channel-31, transfer, sentinelhub-2, 07-tendermint-164, connection-133, channel-81, transfer
kichain-2, 07-tendermint-80, connection-59, channel-32, transfer, vidulum-1, 07-tendermint-40, connection-42, channel-22, transfer
kichain-2, 07-tendermint-81, connection-60, channel-33, transfer, phoenix-1, 07-tendermint-293, connection-208, channel-181, transfer
kichain-2, 07-tendermint-9, connection-4, channel-4, transfer, pylons-testnet, 07-tendermint-30, connection-7, channel-6, transfer
kichain-2, 07-tendermint-10, connection-5, channel-5, transfer, pylons-testnet, 07-tendermint-30, connection-8, channel-7, transfer
kichain-2, 07-tendermint-12, connection-6, channel-6, transfer, pylons-testnet, 07-tendermint-40, connection-11, channel-9, transfer
kichain-2, 07-tendermint-14, connection-8, channel-7, transfer, sifchain-1, 07-tendermint-77, connection-47, channel-40, transfer
kichain-2, 07-tendermint-15, connection-9, channel-8, transfer, juno-1, 07-tendermint-126, connection-82, channel-58, transfer
kichain-2, 07-tendermint-16, connection-10, channel-9, transfer, flixnet-4, 07-tendermint-7, connection-7, channel-9, transfer
kichain-2, 07-tendermint-29, connection-24, channel-18, wasm.ki1hzz0s0ucrhdp6tue2lxk3c03nj6f60qy463we7lgx0wudd72ctmsd9kgha, osmosis-1, 07-tendermint-2020, connection-1562, channel-261, transfer
