CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
likecoin-mainnet-2, 07-tendermint-15, connection-8, channel-0, transfer, osmosis-1, 07-tendermint-1502, connection-1169, channel-59, transfer
likecoin-mainnet-2, 07-tendermint-15, connection-8, channel-1, transfer, osmosis-1, 07-tendermint-1502, connection-1169, channel-57, transfer
likecoin-mainnet-2, 07-tendermint-29, connection-19, channel-10, transfer, sifchain-testnet-1, 07-tendermint-5, connection-3, channel-3, transfer
likecoin-mainnet-2, 07-tendermint-32, connection-20, channel-11, transfer, juno-1, 07-tendermint-139, connection-93, channel-69, transfer
likecoin-mainnet-2, 07-tendermint-33, connection-21, channel-12, transfer, sifchain-1, 07-tendermint-121, connection-74, channel-59, transfer
likecoin-mainnet-2, 07-tendermint-36, connection-22, channel-13, transfer, phoenix-1, 07-tendermint-176, connection-139, channel-120, transfer
likecoin-mainnet-2, 07-tendermint-37, connection-23, channel-14, transfer, eightball-1, 07-tendermint-59, connection-52, channel-48, transfer
likecoin-mainnet-2, 07-tendermint-38, connection-24, channel-15, transfer, agoric-3, 07-tendermint-46, connection-43, channel-35, transfer
likecoin-mainnet-2, 07-tendermint-39, connection-25, channel-16, transfer, arkh, 07-tendermint-69, connection-61, channel-41, transfer
likecoin-mainnet-2, 07-tendermint-40, connection-26, channel-17, transfer, mantle-1, 07-tendermint-73, connection-51, channel-38, transfer
likecoin-mainnet-2, 07-tendermint-41, connection-27, channel-18, transfer, axelar-dojo-1, 07-tendermint-137, connection-123, channel-90, transfer
likecoin-mainnet-2, 07-tendermint-15, connection-8, channel-2, transfer, osmosis-1, 07-tendermint-1502, connection-1169, channel-58, transfer
likecoin-mainnet-2, 07-tendermint-16, connection-9, channel-3, transfer, osmosis-1, 07-tendermint-1507, connection-1173, channel-53, transfer
likecoin-mainnet-2, 07-tendermint-18, connection-11, channel-4, transfer, sifchain-testnet-1, 07-tendermint-63, connection-54, channel-43, transfer
likecoin-mainnet-2, 07-tendermint-24, connection-13, channel-5, transfer, cosmoshub-4, 07-tendermint-468, connection-386, channel-217, transfer
likecoin-mainnet-2, 07-tendermint-25, connection-14, channel-6, transfer, columbus-5, 07-tendermint-18, connection-18, channel-6, transfer
likecoin-mainnet-2, 07-tendermint-26, connection-15, channel-7, transfer, sifchain-testnet-1, 07-tendermint-31, connection-8, channel-9, transfer
likecoin-mainnet-2, 07-tendermint-27, connection-16, channel-8, transfer, sifchain-testnet-1, 07-tendermint-2, connection-2, channel-2, transfer
likecoin-mainnet-2, 07-tendermint-28, connection-18, channel-9, transfer, sifchain-testnet-1, 07-tendermint-15, connection-8, channel-7, transfer
