CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
lum-network-1, 07-tendermint-21, connection-22, channel-13, icacontroller-pool.1.deposit, cosmoshub-4, 07-tendermint-1120, connection-807, channel-604, icahost
lum-network-1, 07-tendermint-21, connection-22, channel-15, icacontroller-pool.1.prizepool, cosmoshub-4, 07-tendermint-1120, connection-807, channel-606, icahost
lum-network-1, 07-tendermint-21, connection-22, channel-14, icacontroller-pool.2.deposit, cosmoshub-4, 07-tendermint-1120, connection-807, channel-605, icahost
lum-network-1, 07-tendermint-21, connection-22, channel-16, icacontroller-pool.2.prizepool, cosmoshub-4, 07-tendermint-1120, connection-807, channel-607, icahost
lum-network-1, 07-tendermint-14, connection-18, channel-10, transfer, planq_7070-2, 07-tendermint-400, connection-362, channel-50, transfer
lum-network-1, 07-tendermint-20, connection-21, channel-11, transfer, umee-1, 07-tendermint-182, connection-121, channel-52, transfer
lum-network-1, 07-tendermint-21, connection-22, channel-12, transfer, cosmoshub-4, 07-tendermint-1120, connection-807, channel-566, transfer
lum-network-1, 07-tendermint-7, connection-4, channel-2, transfer, osmosis-1, 07-tendermint-1667, connection-1279, channel-114, transfer
lum-network-1, 07-tendermint-7, connection-5, channel-3, transfer, osmosis-1, 07-tendermint-1668, connection-1280, channel-115, transfer
lum-network-1, 07-tendermint-8, connection-6, channel-4, transfer, sifchain-1, 07-tendermint-75, connection-46, channel-39, transfer
lum-network-1, 07-tendermint-9, connection-13, channel-5, transfer, titan-1, 07-tendermint-14, connection-10, channel-8, transfer
lum-network-1, 07-tendermint-10, connection-14, channel-6, transfer, gravity-bridge-3, 07-tendermint-89, connection-94, channel-55, transfer
lum-network-1, 07-tendermint-11, connection-15, channel-7, transfer, kaiyo-1, 07-tendermint-21, connection-16, channel-19, transfer
lum-network-1, 07-tendermint-12, connection-16, channel-8, transfer, lum-network-testnet-2, 07-tendermint-0, connection-0, channel-0, transfer
lum-network-1, 07-tendermint-13, connection-17, channel-9, transfer, lum-network-testnet-2, 07-tendermint-6, connection-6, channel-4, transfer
