CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
mars-1, 07-tendermint-3, connection-2, channel-0, transfer, kaiyo-1, 07-tendermint-78, connection-54, channel-55, transfer
mars-1, 07-tendermint-4, connection-3, channel-1, transfer, osmosis-1, 07-tendermint-2602, connection-2114, channel-557, transfer
mars-1, 07-tendermint-19, connection-14, channel-10, transfer, mantle-1, 07-tendermint-74, connection-52, channel-39, transfer
mars-1, 07-tendermint-20, connection-15, channel-11, transfer, axelar-dojo-1, 07-tendermint-138, connection-124, channel-91, transfer
mars-1, 07-tendermint-21, connection-17, channel-12, transfer, bitcanna-1, 07-tendermint-58, connection-53, channel-32, transfer
mars-1, 07-tendermint-22, connection-18, channel-13, transfer, bitsong-2b, 07-tendermint-70, connection-47, channel-23, transfer
mars-1, 07-tendermint-23, connection-19, channel-14, transfer, bostrom, 07-tendermint-58, connection-32, channel-27, transfer
mars-1, 07-tendermint-25, connection-20, channel-15, transfer, cosmoshub-4, 07-tendermint-1131, connection-819, channel-579, transfer
mars-1, 07-tendermint-26, connection-21, channel-16, transfer, crypto-org-chain-mainnet-1, 07-tendermint-1174, connection-301, channel-72, transfer
mars-1, 07-tendermint-28, connection-22, channel-17, transfer, injective-1, 07-tendermint-189, connection-171, channel-134, transfer
mars-1, 07-tendermint-29, connection-24, channel-18, transfer, irishub-1, 07-tendermint-131, connection-98, channel-57, transfer
mars-1, 07-tendermint-35, connection-27, channel-19, transfer, comdex-1, 07-tendermint-173, connection-80, channel-71, transfer
mars-1, 07-tendermint-10, connection-6, channel-2, transfer, phoenix-1, 07-tendermint-104, connection-91, channel-78, transfer
mars-1, 07-tendermint-36, connection-28, channel-20, transfer, desmos-mainnet, 07-tendermint-71, connection-39, channel-27, transfer
mars-1, 07-tendermint-38, connection-29, channel-21, transfer, gravity-bridge-3, 07-tendermint-395, connection-373, channel-132, transfer
mars-1, 07-tendermint-40, connection-30, channel-22, transfer, jackal-1, 07-tendermint-44, connection-34, channel-29, transfer
mars-1, 07-tendermint-41, connection-31, channel-23, transfer, kava_2222-10, 07-tendermint-115, connection-152, channel-112, transfer
mars-1, 07-tendermint-44, connection-34, channel-24, transfer, migaloo-1, 07-tendermint-66, connection-53, channel-35, transfer
mars-1, 07-tendermint-45, connection-35, channel-25, transfer, odin-mainnet-freya, 07-tendermint-72, connection-57, channel-42, transfer
mars-1, 07-tendermint-46, connection-36, channel-26, transfer, core-1, 07-tendermint-124, connection-163, channel-97, transfer
mars-1, 07-tendermint-48, connection-37, channel-27, transfer, quicksilver-2, 07-tendermint-44, connection-34, channel-74, transfer
mars-1, 07-tendermint-49, connection-38, channel-28, transfer, regen-1, 07-tendermint-137, connection-118, channel-122, transfer
mars-1, 07-tendermint-50, connection-39, channel-29, transfer, secret-4, 07-tendermint-148, connection-108, channel-74, transfer
mars-1, 07-tendermint-11, connection-7, channel-3, transfer, juno-1, 07-tendermint-300, connection-270, channel-209, transfer
mars-1, 07-tendermint-52, connection-41, channel-30, transfer, sommelier-3, 07-tendermint-32, connection-36, channel-23, transfer
mars-1, 07-tendermint-53, connection-42, channel-31, transfer, stargaze-1, 07-tendermint-254, connection-187, channel-160, transfer
mars-1, 07-tendermint-54, connection-43, channel-32, transfer, iov-mainnet-ibc, 07-tendermint-75, connection-59, channel-38, transfer
mars-1, 07-tendermint-55, connection-44, channel-33, transfer, stride-1, 07-tendermint-98, connection-86, channel-103, transfer
mars-1, 07-tendermint-56, connection-45, channel-34, transfer, teritori-1, 07-tendermint-63, connection-40, channel-31, transfer
mars-1, 07-tendermint-58, connection-47, channel-35, transfer, umee-1, 07-tendermint-198, connection-137, channel-78, transfer
mars-1, 07-tendermint-60, connection-49, channel-36, transfer, migaloo-1, 07-tendermint-73, connection-57, channel-38, transfer
mars-1, 07-tendermint-64, connection-50, channel-37, transfer, neutron-1, 07-tendermint-21, connection-21, channel-16, transfer
mars-1, 07-tendermint-65, connection-51, channel-38, transfer, umee-1, 07-tendermint-226, connection-187, channel-95, transfer
mars-1, 07-tendermint-13, connection-8, channel-4, transfer, planq_7070-2, 07-tendermint-502, connection-447, channel-56, transfer
mars-1, 07-tendermint-14, connection-9, channel-5, transfer, crescent-1, 07-tendermint-53, connection-52, channel-35, transfer
mars-1, 07-tendermint-15, connection-10, channel-6, transfer, eightball-1, 07-tendermint-36, connection-44, channel-41, transfer
mars-1, 07-tendermint-16, connection-11, channel-7, transfer, agoric-3, 07-tendermint-47, connection-44, channel-36, transfer
mars-1, 07-tendermint-17, connection-12, channel-8, transfer, akashnet-2, 07-tendermint-146, connection-126, channel-88, transfer
mars-1, 07-tendermint-18, connection-13, channel-9, transfer, arkh, 07-tendermint-70, connection-62, channel-42, transfer
