CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
noble-1, 07-tendermint-1, connection-1, channel-0, transfer, crescent-1, 07-tendermint-68, connection-63, channel-38, transfer
noble-1, 07-tendermint-0, connection-2, channel-1, transfer, osmosis-1, 07-tendermint-2704, connection-2241, channel-750, transfer
noble-1, 07-tendermint-15, connection-24, channel-10, transfer, injective-1, 07-tendermint-210, connection-193, channel-146, transfer
noble-1, 07-tendermint-16, connection-25, channel-11, transfer, stargaze-1, 07-tendermint-287, connection-214, channel-204, transfer
noble-1, 07-tendermint-17, connection-26, channel-12, transfer, archway-1, 07-tendermint-28, connection-31, channel-29, transfer
noble-1, 07-tendermint-18, connection-27, channel-13, transfer, centauri-1, 07-tendermint-129, connection-51, channel-35, transfer
noble-1, 07-tendermint-19, connection-28, channel-14, transfer, migaloo-1, 07-tendermint-113, connection-89, channel-60, transfer
noble-1, 07-tendermint-20, connection-29, channel-15, transfer, ixo-5, 07-tendermint-59, connection-43, channel-26, transfer
noble-1, 07-tendermint-23, connection-32, channel-16, transfer, carbon-1, 07-tendermint-54, connection-34, channel-29, transfer
noble-1, 07-tendermint-2, connection-4, channel-2, transfer, kaiyo-1, 07-tendermint-95, connection-65, channel-62, transfer
noble-1, 07-tendermint-3, connection-8, channel-3, transfer, juno-1, 07-tendermint-334, connection-322, channel-224, transfer
noble-1, 07-tendermint-4, connection-12, channel-4, transfer, cosmoshub-4, 07-tendermint-1116, connection-790, channel-536, transfer
noble-1, 07-tendermint-5, connection-15, channel-5, transfer, grand-1, 07-tendermint-1, connection-1, channel-1, transfer
noble-1, 07-tendermint-11, connection-18, channel-6, transfer, evmos_9001-2, 07-tendermint-105, connection-62, channel-63, transfer
noble-1, 07-tendermint-12, connection-19, channel-7, transfer, evmos_9001-2, 07-tendermint-106, connection-63, channel-64, transfer
noble-1, 07-tendermint-13, connection-20, channel-8, transfer, canto_7700-1, 07-tendermint-35, connection-28, channel-20, transfer
noble-1, 07-tendermint-14, connection-23, channel-9, transfer, phoenix-1, 07-tendermint-216, connection-170, channel-151, transfer
