CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
pirin-1, 07-tendermint-0, connection-0, channel-305, icacontroller-nolus1048a65x0pmq2klfczlg8nqhq6gjj920dmqyueq4p4naksak2t77qqt2wr5.0, osmosis-1, 07-tendermint-2791, connection-2289, channel-2038, icahost
pirin-1, 07-tendermint-0, connection-0, channel-286, icacontroller-nolus10553u9q4ynjqgjqvlmfl3vcph6g0gfwdq5sr7a6grw4msfl7k5pssvmfgj.0, osmosis-1, 07-tendermint-2791, connection-2289, channel-1997, icahost
pirin-1, 07-tendermint-0, connection-0, channel-164, icacontroller-nolus10mamc5q334hx4mmwgvczwjzh43wlr7ypf2xlxzj4hzprt4ejzgxses82fv.0, osmosis-1, 07-tendermint-2791, connection-2289, channel-1548, icahost
pirin-1, 07-tendermint-0, connection-0, channel-251, icacontroller-nolus10qusztc7dvck2vty9yd4w8xdgutcxld808k4nwqqvyrp9dd0lusq468v7h.0, osmosis-1, 07-tendermint-2791, connection-2289, channel-1896, icahost
pirin-1, 07-tendermint-0, connection-0, channel-370, icacontroller-nolus10r6qwux5047j7pjhy3gj7duj7hn04wdtjmcm0zew47k0xy5njh8q9vr66x.0, osmosis-1, 07-tendermint-2791, connection-2289, channel-2232, icahost
pirin-1, 07-tendermint-0, connection-0, channel-7, icacontroller-nolus10u2skqwln29qrw2ggg5xhkw8t0xct6jz4674urcdx5qj0uyl08eqrknq5c.0, osmosis-1, 07-tendermint-2791, connection-2289, channel-902, icahost
pirin-1, 07-tendermint-0, connection-0, channel-71, icacontroller-nolus10vuejnk4kchkle2fyvdcsfrkmjau8zu8l6wlahjfrzfse6wd85tsyjnn60.0, osmosis-1, 07-tendermint-2791, connection-2289, channel-1157, icahost
pirin-1, 07-tendermint-0, connection-0, channel-189, icacontroller-nolus10wrmqup88j9pp489a4ftldgutm52zz02xspfv25rcny8w8wk7pmq8af5hv.0, osmosis-1, 07-tendermint-2791, connection-2289, channel-1669, icahost
pirin-1, 07-tendermint-0, connection-0, channel-275, icacontroller-nolus10wxxqwm6cmz4cqp6tufplmdga25p8arqzhz80ksjm6kh853hhyxsdgjtxe.0, osmosis-1, 07-tendermint-2791, connection-2289, channel-1966, icahost
pirin-1, 07-tendermint-0, connection-0, channel-128, icacontroller-nolus1236ffjh9l44d6wh3jptudx2zrcqp2epftnj6m8stzqhpdssf8vtqws6dpw.0, osmosis-1, 07-tendermint-2791, connection-2289, channel-1404, icahost
pirin-1, 07-tendermint-0, connection-0, channel-155, icacontroller-nolus123l6fqumqyefgtpufyvzww36c98n8rgttx6gtzqcl9jd93naknasent5p2.0, osmosis-1, 07-tendermint-2791, connection-2289, channel-1513, icahost
pirin-1, 07-tendermint-0, connection-0, channel-204, icacontroller-nolus12c43fl4arseuc9q8ywp95c6xl5j0a3fj6zsag5u495lk9je7kuqs836tgf.0, osmosis-1, 07-tendermint-2791, connection-2289, channel-1729, icahost
pirin-1, 07-tendermint-0, connection-0, channel-301, icacontroller-nolus12jk74qk9t73m2tf86qmnmca7hz6yen3gc2whyga004003gn445pslj79ee.0, osmosis-1, 07-tendermint-2791, connection-2289, channel-2030, icahost
pirin-1, 07-tendermint-0, connection-0, channel-364, icacontroller-nolus12kjr7ekyy6gwvyxevx9g4szkqaz0l706nu7658rlqgsqqxdjwutscm6aeg.0, osmosis-1, 07-tendermint-2791, connection-2289, channel-2214, icahost
pirin-1, 07-tendermint-0, connection-0, channel-292, icacontroller-nolus12l3x3ur0eqllyk3ynfyl88frlfgftk3zvg7xx73pze2et0lnpz8q8ul4vl.0, osmosis-1, 07-tendermint-2791, connection-2289, channel-2014, icahost
pirin-1, 07-tendermint-0, connection-0, channel-366, icacontroller-nolus12njd4lv2m8qqmz7ag2ypmj8anezxwy8mf7dj6z5hjpmfmtv5duhsxa308w.0, osmosis-1, 07-tendermint-2791, connection-2289, channel-2220, icahost
pirin-1, 07-tendermint-0, connection-0, channel-333, icacontroller-nolus12nm2rjjqx6ee663au6ege9wj9cc5y00le7pl06gx0j2c07qr6tyqv0ln09.0, osmosis-1, 07-tendermint-2791, connection-2289, channel-2120, icahost
