CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
odin-mainnet-freya, 07-tendermint-7, connection-7, channel-1, transfer, osmosis-1, 07-tendermint-1734, connection-1327, channel-142, transfer
odin-mainnet-freya, 07-tendermint-11, connection-22, channel-12, transfer, juno-1, 07-tendermint-215, connection-170, channel-114, transfer
odin-mainnet-freya, 07-tendermint-11, connection-23, channel-13, transfer, juno-1, 07-tendermint-215, connection-173, channel-115, transfer
odin-mainnet-freya, 07-tendermint-11, connection-27, channel-15, transfer, juno-1, 07-tendermint-215, connection-177, channel-116, transfer
odin-mainnet-freya, 07-tendermint-42, connection-31, channel-17, transfer, juno-1, 07-tendermint-243, connection-181, channel-117, transfer
odin-mainnet-freya, 07-tendermint-47, connection-32, channel-18, transfer, exchain-65, 07-tendermint-75, connection-50, channel-52, transfer
odin-mainnet-freya, 07-tendermint-48, connection-33, channel-19, transfer, exchain-65, 07-tendermint-81, connection-52, channel-54, transfer
odin-mainnet-freya, 07-tendermint-9, connection-8, channel-2, transfer, osmosis-1, 07-tendermint-1984, connection-1540, channel-254, transfer
odin-mainnet-freya, 07-tendermint-49, connection-34, channel-20, transfer, exchain-66, 07-tendermint-96, connection-41, channel-34, transfer
odin-mainnet-freya, 07-tendermint-50, connection-35, channel-21, transfer, axelar-dojo-1, 07-tendermint-81, connection-67, channel-53, transfer
odin-mainnet-freya, 07-tendermint-50, connection-36, channel-22, transfer, axelar-dojo-1, 07-tendermint-81, connection-68, channel-54, transfer
odin-mainnet-freya, 07-tendermint-50, connection-37, channel-23, transfer, axelar-dojo-1, 07-tendermint-81, connection-69, channel-55, transfer
odin-mainnet-freya, 07-tendermint-50, connection-38, channel-24, transfer, axelar-dojo-1, 07-tendermint-81, connection-70, channel-56, transfer
odin-mainnet-freya, 07-tendermint-51, connection-39, channel-25, transfer, axelar-dojo-1, 07-tendermint-85, connection-73, channel-59, transfer
odin-mainnet-freya, 07-tendermint-52, connection-40, channel-26, transfer, axelar-dojo-1, 07-tendermint-86, connection-74, channel-60, transfer
odin-mainnet-freya, 07-tendermint-53, connection-41, channel-27, transfer, phoenix-1, 07-tendermint-184, connection-146, channel-126, transfer
odin-mainnet-freya, 07-tendermint-54, connection-42, channel-28, transfer, eightball-1, 07-tendermint-60, connection-53, channel-49, transfer
odin-mainnet-freya, 07-tendermint-55, connection-43, channel-29, transfer, agoric-3, 07-tendermint-49, connection-46, channel-38, transfer
odin-mainnet-freya, 07-tendermint-10, connection-9, channel-3, transfer, osmosis-1, 07-tendermint-2007, connection-1551, channel-258, transfer
odin-mainnet-freya, 07-tendermint-56, connection-44, channel-30, transfer, arkh, 07-tendermint-72, connection-64, channel-44, transfer
odin-mainnet-freya, 07-tendermint-57, connection-45, channel-31, transfer, mantle-1, 07-tendermint-76, connection-54, channel-41, transfer
odin-mainnet-freya, 07-tendermint-58, connection-46, channel-32, transfer, axelar-dojo-1, 07-tendermint-140, connection-126, channel-93, transfer
odin-mainnet-freya, 07-tendermint-59, connection-47, channel-33, transfer, bitcanna-1, 07-tendermint-60, connection-55, channel-34, transfer
odin-mainnet-freya, 07-tendermint-61, connection-48, channel-34, transfer, bostrom, 07-tendermint-60, connection-34, channel-29, transfer
odin-mainnet-freya, 07-tendermint-64, connection-49, channel-35, transfer, osmosis-1, 07-tendermint-2786, connection-2286, channel-780, transfer
odin-mainnet-freya, 07-tendermint-65, connection-50, channel-36, transfer, chihuahua-1, 07-tendermint-154, connection-102, channel-53, transfer
