CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
omniflixhub-1, 07-tendermint-2, connection-2, channel-0, transfer, cosmoshub-4, 07-tendermint-617, connection-478, channel-290, transfer
omniflixhub-1, 07-tendermint-8, connection-8, channel-1, transfer, osmosis-1, 07-tendermint-1829, connection-1431, channel-199, transfer
omniflixhub-1, 07-tendermint-19, connection-17, channel-10, transfer, sentinelhub-2, 07-tendermint-101, connection-79, channel-53, transfer
omniflixhub-1, 07-tendermint-20, connection-18, channel-11, transfer, crypto-org-chain-mainnet-1, 07-tendermint-1127, connection-254, channel-54, transfer
omniflixhub-1, 07-tendermint-23, connection-19, channel-12, transfer, cosmoshub-4, 07-tendermint-656, connection-501, channel-306, transfer
omniflixhub-1, 07-tendermint-24, connection-20, channel-13, transfer, juno-1, 07-tendermint-154, connection-101, channel-74, transfer
omniflixhub-1, 07-tendermint-25, connection-21, channel-14, transfer, gravity-bridge-3, 07-tendermint-82, connection-87, channel-51, transfer
omniflixhub-1, 07-tendermint-26, connection-22, channel-15, transfer, sifchain-1, 07-tendermint-92, connection-56, channel-49, transfer
omniflixhub-1, 07-tendermint-29, connection-23, channel-16, transfer, akashnet-2, 07-tendermint-97, connection-66, channel-42, transfer
omniflixhub-1, 07-tendermint-31, connection-24, channel-17, transfer, kichain-2, 07-tendermint-22, connection-15, channel-13, transfer
omniflixhub-1, 07-tendermint-33, connection-25, channel-18, transfer, sentinelhub-2, 07-tendermint-102, connection-80, channel-54, transfer
omniflixhub-1, 07-tendermint-34, connection-26, channel-19, transfer, crypto-org-chain-mainnet-1, 07-tendermint-1130, connection-257, channel-55, transfer
omniflixhub-1, 07-tendermint-9, connection-9, channel-2, transfer, juno-1, 07-tendermint-132, connection-88, channel-63, transfer
omniflixhub-1, 07-tendermint-35, connection-27, channel-20, transfer, juno-1, 07-tendermint-157, connection-104, channel-78, transfer
omniflixhub-1, 07-tendermint-10, connection-30, channel-21, transfer, gravity-bridge-3, 07-tendermint-104, connection-103, channel-63, transfer
omniflixhub-1, 07-tendermint-10, connection-31, channel-22, transfer, gravity-bridge-3, 07-tendermint-103, connection-104, channel-64, transfer
omniflixhub-1, 07-tendermint-38, connection-32, channel-23, transfer, bitcanna-1, 07-tendermint-14, connection-12, channel-11, transfer
omniflixhub-1, 07-tendermint-41, connection-34, channel-24, transfer, carbon-1, 07-tendermint-43, connection-24, channel-19, transfer
omniflixhub-1, 07-tendermint-42, connection-35, channel-25, transfer, akashnet-2, 07-tendermint-119, connection-93, channel-61, transfer
omniflixhub-1, 07-tendermint-43, connection-36, channel-26, transfer, kaiyo-1, 07-tendermint-108, connection-78, channel-70, transfer
omniflixhub-1, 07-tendermint-44, connection-37, channel-27, transfer, axelar-dojo-1, 07-tendermint-122, connection-109, channel-77, transfer
omniflixhub-1, 07-tendermint-45, connection-38, channel-28, transfer, agoric-3, 07-tendermint-68, connection-62, channel-53, transfer
omniflixhub-1, 07-tendermint-46, connection-39, channel-29, transfer, agoric-3, 07-tendermint-69, connection-63, channel-54, transfer
omniflixhub-1, 07-tendermint-10, connection-10, channel-3, transfer, gravity-bridge-3, 07-tendermint-54, connection-63, channel-35, transfer
omniflixhub-1, 07-tendermint-47, connection-40, channel-30, transfer, agoric-3, 07-tendermint-73, connection-67, channel-58, transfer
omniflixhub-1, 07-tendermint-48, connection-41, channel-31, transfer, phoenix-1, 07-tendermint-325, connection-240, channel-211, transfer
omniflixhub-1, 07-tendermint-49, connection-43, channel-32, transfer, archway-1, 07-tendermint-39, connection-42, channel-37, transfer
omniflixhub-1, 07-tendermint-13, connection-11, channel-4, transfer, columbus-5, 07-tendermint-46, connection-41, channel-27, transfer
omniflixhub-1, 07-tendermint-14, connection-12, channel-5, transfer, chihuahua-1, 07-tendermint-71, connection-39, channel-17, transfer
omniflixhub-1, 07-tendermint-15, connection-13, channel-6, transfer, sifchain-1, 07-tendermint-83, connection-51, channel-44, transfer
omniflixhub-1, 07-tendermint-16, connection-14, channel-7, transfer, akashnet-2, 07-tendermint-93, connection-62, channel-39, transfer
omniflixhub-1, 07-tendermint-17, connection-15, channel-8, transfer, stargaze-1, 07-tendermint-141, connection-90, channel-36, transfer
omniflixhub-1, 07-tendermint-18, connection-16, channel-9, transfer, kichain-2, 07-tendermint-17, connection-11, channel-10, transfer
