CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
Oraichain, 07-tendermint-90, connection-55, channel-57, icacontroller-orai10lv5lcj22zfnfqrqyqq73w5nvkjvmqa9a277lhc0vyu2hpm9ngssenvaaq, Oraichain-testnet, 07-tendermint-103, connection-105, channel-100, icahost
Oraichain, 07-tendermint-49, connection-21, channel-140, icacontroller-orai13rt272vzz9svfr80550ue54n9p92alm449s0sfccyu0e4l9t4jfsf5jq09, osmosis-1, 07-tendermint-1882, connection-1464, channel-2728, icahost
Oraichain, 07-tendermint-49, connection-21, channel-141, icacontroller-orai19qslhhj6kj7vtewyt3djgjwxt08y2rllqhzwdelwr7szuu5hlj8sgrmmd5, osmosis-1, 07-tendermint-1882, connection-1464, channel-2729, icahost
Oraichain, 07-tendermint-90, connection-55, channel-62, icacontroller-orai1cefapqplvdhtzrrpw3l8wfar7v8zz8kz7wtqcfgu69tc3r4lmd8qcxe399, Oraichain-testnet, 07-tendermint-103, connection-105, channel-104, icahost
Oraichain, 07-tendermint-49, connection-21, channel-136, icacontroller-orai1kwu560q8cswhwysm96us4la460x7gxkqsyda8v, osmosis-1, 07-tendermint-1882, connection-1464, channel-2671, icahost
Oraichain, 07-tendermint-47, connection-74, channel-133, icacontroller-orai1lf9q8r3e29hmgjeajd2vhr2n2yj7tkwqt4mx7pj4pl4kpz6adw3qmy4q0x, cosmoshub-4, 07-tendermint-651, connection-806, channel-668, icahost
Oraichain, 07-tendermint-98, connection-64, channel-86, icacontroller-orai1lf9q8r3e29hmgjeajd2vhr2n2yj7tkwqt4mx7pj4pl4kpz6adw3qmy4q0x, Oraichain-testnet, 07-tendermint-112, connection-115, channel-121, icahost
Oraichain, 07-tendermint-101, connection-77, channel-92, icacontroller-orai1lf9q8r3e29hmgjeajd2vhr2n2yj7tkwqt4mx7pj4pl4kpz6adw3qmy4q0x, Oraichain-testnet, 07-tendermint-115, connection-117, channel-126, icahost
Oraichain, 07-tendermint-102, connection-78, channel-98, icacontroller-orai1lf9q8r3e29hmgjeajd2vhr2n2yj7tkwqt4mx7pj4pl4kpz6adw3qmy4q0x, Oraichain-testnet, 07-tendermint-116, connection-118, channel-129, icahost
Oraichain, 07-tendermint-47, connection-74, channel-132, icacontroller-orai1pdxhr0uyxy43l3hmta20guuw5ysm76d0yrv7vus6v9kuwcwvt7pqmh5ya9, cosmoshub-4, 07-tendermint-651, connection-806, channel-665, icahost
Oraichain, 07-tendermint-98, connection-64, channel-87, icacontroller-orai1pdxhr0uyxy43l3hmta20guuw5ysm76d0yrv7vus6v9kuwcwvt7pqmh5ya9, Oraichain-testnet, 07-tendermint-112, connection-115, channel-122, icahost
Oraichain, 07-tendermint-101, connection-77, channel-94, icacontroller-orai1pdxhr0uyxy43l3hmta20guuw5ysm76d0yrv7vus6v9kuwcwvt7pqmh5ya9, Oraichain-testnet, 07-tendermint-115, connection-117, channel-127, icahost
Oraichain, 07-tendermint-102, connection-78, channel-99, icacontroller-orai1pdxhr0uyxy43l3hmta20guuw5ysm76d0yrv7vus6v9kuwcwvt7pqmh5ya9, Oraichain-testnet, 07-tendermint-116, connection-118, channel-130, icahost
Oraichain, 07-tendermint-91, connection-56, channel-51, icacontroller-orai1yhn8ms2kmv6vfsghmcj45ldex4lwweujqj7v4dgzh2kevq9rvuns5hpv4e, Oraichain-testnet, 07-tendermint-106, connection-108, channel-96, icahost
Oraichain, 07-tendermint-93, connection-58, channel-52, icacontroller-orai1yhn8ms2kmv6vfsghmcj45ldex4lwweujqj7v4dgzh2kevq9rvuns5hpv4e, Oraichain-testnet, 07-tendermint-108, connection-110, channel-97, icahost
Oraichain, 07-tendermint-94, connection-59, channel-53, icacontroller-orai1yhn8ms2kmv6vfsghmcj45ldex4lwweujqj7v4dgzh2kevq9rvuns5hpv4e, Oraichain-testnet, 07-tendermint-109, connection-111, channel-98, icahost
Oraichain, 07-tendermint-90, connection-60, channel-54, icacontroller-orai1yhn8ms2kmv6vfsghmcj45ldex4lwweujqj7v4dgzh2kevq9rvuns5hpv4e, Oraichain-testnet, 07-tendermint-103, connection-112, channel-99, icahost
