CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
core-1, 07-tendermint-36, connection-30, channel-127, icacontroller-lscosmos_pstake_delegation_account, cosmoshub-4, 07-tendermint-391, connection-344, channel-688, icahost
core-1, 07-tendermint-36, connection-30, channel-53, icacontroller-lscosmos_pstake_reward_account, cosmoshub-4, 07-tendermint-391, connection-344, channel-428, icahost
core-1, 07-tendermint-0, connection-0, channel-0, transfer, cosmoshub-4, 07-tendermint-150, connection-196, channel-99, transfer
core-1, 07-tendermint-1, connection-1, channel-1, transfer, cosmoshub-4, 07-tendermint-174, connection-213, channel-110, transfer
core-1, 07-tendermint-23, connection-16, channel-10, transfer, regen-1, 07-tendermint-18, connection-6, channel-5, transfer
core-1, 07-tendermint-129, connection-166, channel-100, transfer, jackal-1, 07-tendermint-46, connection-36, channel-31, transfer
core-1, 07-tendermint-133, connection-170, channel-102, transfer, migaloo-1, 07-tendermint-86, connection-67, channel-44, transfer
core-1, 07-tendermint-134, connection-171, channel-103, transfer, odin-mainnet-freya, 07-tendermint-101, connection-78, channel-58, transfer
core-1, 07-tendermint-136, connection-172, channel-104, transfer, regen-1, 07-tendermint-139, connection-120, channel-124, transfer
core-1, 07-tendermint-138, connection-174, channel-105, transfer, sommelier-3, 07-tendermint-34, connection-38, channel-25, transfer
core-1, 07-tendermint-139, connection-175, channel-106, transfer, stargaze-1, 07-tendermint-256, connection-189, channel-162, transfer
core-1, 07-tendermint-141, connection-177, channel-107, transfer, teritori-1, 07-tendermint-66, connection-44, channel-34, transfer
core-1, 07-tendermint-144, connection-180, channel-108, transfer, regen-1, 07-tendermint-152, connection-130, channel-130, transfer
core-1, 07-tendermint-146, connection-181, channel-109, transfer, iov-mainnet-ibc, 07-tendermint-92, connection-71, channel-45, transfer
