CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
reb_1111-1, 07-tendermint-0, connection-0, channel-0, transfer, osmosis-1, 07-tendermint-2173, connection-1692, channel-355, transfer
reb_1111-1, 07-tendermint-7, connection-2, channel-1, transfer, osmosis-1, 07-tendermint-2194, connection-1712, channel-363, transfer
reb_1111-1, 07-tendermint-7, connection-2, channel-2, transfer, osmosis-1, 07-tendermint-2194, connection-1712, channel-364, transfer
reb_1111-1, 07-tendermint-7, connection-2, channel-3, transfer, osmosis-1, 07-tendermint-2194, connection-1712, channel-365, transfer
reb_1111-1, 07-tendermint-7, connection-3, channel-4, transfer, osmosis-1, 07-tendermint-2194, connection-1720, channel-371, transfer
reb_1111-1, 07-tendermint-7, connection-4, channel-5, transfer, osmosis-1, 07-tendermint-2194, connection-1722, channel-374, transfer
reb_1111-1, 07-tendermint-7, connection-5, channel-6, transfer, osmosis-1, 07-tendermint-2194, connection-1723, channel-375, transfer
reb_1111-1, 07-tendermint-10, connection-7, channel-7, transfer, planq_7070-2, 07-tendermint-186, connection-192, channel-26, transfer
reb_1111-1, 07-tendermint-11, connection-8, channel-8, transfer, axelar-dojo-1, 07-tendermint-107, connection-94, channel-71, transfer
reb_1111-1, 07-tendermint-12, connection-9, channel-9, transfer, axelar-dojo-1, 07-tendermint-107, connection-97, channel-73, transfer
