CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
titan-1, 07-tendermint-0, connection-0, channel-0, transfer, cosmoshub-4, 07-tendermint-678, connection-511, channel-313, transfer
titan-1, 07-tendermint-3, connection-1, channel-1, transfer, osmosis-1, 07-tendermint-1898, connection-1471, channel-221, transfer
titan-1, 07-tendermint-19, connection-15, channel-10, transfer, columbus-5, 07-tendermint-121, connection-81, channel-57, transfer
titan-1, 07-tendermint-22, connection-18, channel-11, transfer, stride-1, 07-tendermint-16, connection-12, channel-14, transfer
titan-1, 07-tendermint-27, connection-19, channel-12, transfer, evmos_9001-2, 07-tendermint-81, connection-38, channel-28, transfer
titan-1, 07-tendermint-29, connection-20, channel-13, transfer, kaiyo-1, 07-tendermint-38, connection-32, channel-33, transfer
titan-1, 07-tendermint-30, connection-21, channel-14, transfer, axelar-dojo-1, 07-tendermint-66, connection-45, channel-38, transfer
titan-1, 07-tendermint-4, connection-2, channel-2, transfer, columbus-5, 07-tendermint-79, connection-64, channel-45, transfer
titan-1, 07-tendermint-5, connection-3, channel-3, transfer, juno-1, 07-tendermint-155, connection-102, channel-76, transfer
titan-1, 07-tendermint-6, connection-4, channel-4, transfer, gravity-bridge-3, 07-tendermint-83, connection-88, channel-53, transfer
titan-1, 07-tendermint-9, connection-5, channel-5, transfer, sifchain-1, 07-tendermint-93, connection-57, channel-51, transfer
titan-1, 07-tendermint-10, connection-6, channel-6, transfer, kichain-2, 07-tendermint-23, connection-16, channel-15, transfer
titan-1, 07-tendermint-13, connection-9, channel-7, transfer, chihuahua-1, 07-tendermint-75, connection-44, channel-19, transfer
titan-1, 07-tendermint-14, connection-10, channel-8, transfer, lum-network-1, 07-tendermint-9, connection-13, channel-5, transfer
titan-1, 07-tendermint-15, connection-11, channel-9, transfer, stargaze-1, 07-tendermint-148, connection-95, channel-40, transfer
