CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
pacific-1, 07-tendermint-2, connection-0, channel-0, transfer, osmosis-1, 07-tendermint-2790, connection-2288, channel-782, transfer
pacific-1, 07-tendermint-3, connection-1, channel-1, transfer, cosmoshub-4, 07-tendermint-1140, connection-827, channel-584, transfer
pacific-1, 07-tendermint-17, connection-10, channel-10, transfer, migaloo-1, 07-tendermint-100, connection-79, channel-52, transfer
pacific-1, 07-tendermint-18, connection-11, channel-11, transfer, stride-1, 07-tendermint-130, connection-119, channel-149, transfer
pacific-1, 07-tendermint-21, connection-12, channel-13, transfer, planq_7070-2, 07-tendermint-545, connection-477, channel-59, transfer
pacific-1, 07-tendermint-22, connection-13, channel-14, transfer, migaloo-1, 07-tendermint-108, connection-84, channel-57, transfer
pacific-1, 07-tendermint-27, connection-16, channel-15, transfer, neutron-1, 07-tendermint-37, connection-28, channel-19, transfer
pacific-1, 07-tendermint-34, connection-24, channel-16, transfer, kaiyo-1, 07-tendermint-149, connection-114, channel-103, transfer
pacific-1, 07-tendermint-35, connection-25, channel-17, transfer, kava_2222-10, 07-tendermint-142, connection-175, channel-130, transfer
pacific-1, 07-tendermint-38, connection-33, channel-18, transfer, kava_2222-10, 07-tendermint-146, connection-181, channel-132, transfer
pacific-1, 07-tendermint-8, connection-2, channel-2, transfer, axelar-dojo-1, 07-tendermint-151, connection-136, channel-103, transfer
pacific-1, 07-tendermint-10, connection-4, channel-3, transfer, phoenix-1, 07-tendermint-226, connection-180, channel-158, transfer
pacific-1, 07-tendermint-14, connection-8, channel-6, transfer, phoenix-1, 07-tendermint-280, connection-195, channel-169, wasm.terra1jhfjnm39y3nn9l4520mdn4k5mw23nz0674c4gsvyrcr90z9tqcvst22fce
pacific-1, 07-tendermint-10, connection-4, channel-8, transfer, phoenix-1, 07-tendermint-226, connection-180, channel-171, wasm.terra1jhfjnm39y3nn9l4520mdn4k5mw23nz0674c4gsvyrcr90z9tqcvst22fce
pacific-1, 07-tendermint-15, connection-9, channel-7, wasm.sei12fykm2xhg5ces2vmf4q2aem8c958exv3v0wmvrspa8zucrdwjeds2e2ntx, phoenix-1, 07-tendermint-281, connection-196, channel-170, wasm.terra1fkuhmq52pj08qqffp0elrvmzel8zz857x0pjjuuaar54mgcpe35s9km660
pacific-1, 07-tendermint-10, connection-4, channel-9, wasm.sei12fykm2xhg5ces2vmf4q2aem8c958exv3v0wmvrspa8zucrdwjeds2e2ntx, phoenix-1, 07-tendermint-226, connection-180, channel-172, wasm.terra1fkuhmq52pj08qqffp0elrvmzel8zz857x0pjjuuaar54mgcpe35s9km660
pacific-1, 07-tendermint-12, connection-6, channel-4, wasm.sei1gjrrme22cyha4ht2xapn3f08zzw6z3d4uxx6fyy9zd5dyr3yxgzqqncdqn, wormchain, 07-tendermint-4, connection-1, channel-0, wasm.wormhole1wkwy0xh89ksdgj9hr347dyd2dw7zesmtrue6kfzyml4vdtz6e5ws2y050r
pacific-1, 07-tendermint-13, connection-7, channel-5, wasm.sei1gjrrme22cyha4ht2xapn3f08zzw6z3d4uxx6fyy9zd5dyr3yxgzqqncdqn, wormchain, 07-tendermint-6, connection-2, channel-1, wasm.wormhole1wkwy0xh89ksdgj9hr347dyd2dw7zesmtrue6kfzyml4vdtz6e5ws2y050r
pacific-1, 07-tendermint-10, connection-4, channel-40, wasm.sei1rez0vdaxumfpsy0a2yukqs6pxglhppvcp58jk52atmhxfrhj2xlq85ahum, phoenix-1, 07-tendermint-226, connection-180, channel-244, wasm.terra1ll39uuwuwsce2gzdsf5jnyzdtr49aq93yw7y7ykd333ck7w8kzhqtvhrdq
