CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
sentinelhub-2, 07-tendermint-0, connection-0, channel-0, transfer, osmosis-1, 07-tendermint-2, connection-3, channel-2, transfer
sentinelhub-2, 07-tendermint-25, connection-22, channel-1, transfer, osmosis-1, 07-tendermint-45, connection-34, channel-12, transfer
sentinelhub-2, 07-tendermint-55, connection-31, channel-10, transfer, akashnet-2, 07-tendermint-58, connection-34, channel-22, transfer
sentinelhub-2, 07-tendermint-56, connection-32, channel-11, transfer, regen-1, 07-tendermint-31, connection-29, channel-15, transfer
sentinelhub-2, 07-tendermint-58, connection-33, channel-12, transfer, cosmoshub-4, 07-tendermint-388, connection-341, channel-186, transfer
sentinelhub-2, 07-tendermint-59, connection-34, channel-13, transfer, crypto-org-chain-mainnet-1, 07-tendermint-734, connection-219, channel-26, transfer
sentinelhub-2, 07-tendermint-60, connection-35, channel-14, transfer, osmosis-1, 07-tendermint-645, connection-607, channel-21, transfer
sentinelhub-2, 07-tendermint-61, connection-36, channel-15, transfer, core-1, 07-tendermint-34, connection-28, channel-22, transfer
sentinelhub-2, 07-tendermint-62, connection-37, channel-16, transfer, sifchain-testnet-042-ibc, 07-tendermint-4, connection-4, channel-3, transfer
sentinelhub-2, 07-tendermint-64, connection-38, channel-17, transfer, sifchain-devnet-1, 07-tendermint-66, connection-39, channel-37, transfer
sentinelhub-2, 07-tendermint-65, connection-39, channel-18, transfer, sifchain-devnet-1, 07-tendermint-120, connection-82, channel-76, transfer
sentinelhub-2, 07-tendermint-66, connection-40, channel-19, transfer, sifchain-devnet-1, 07-tendermint-124, connection-85, channel-79, transfer
sentinelhub-2, 07-tendermint-33, connection-23, channel-2, transfer, cosmoshub-4, 07-tendermint-346, connection-306, channel-162, transfer
sentinelhub-2, 07-tendermint-67, connection-41, channel-20, transfer, sifchain-devnet-1, 07-tendermint-128, connection-87, channel-81, transfer
sentinelhub-2, 07-tendermint-68, connection-42, channel-21, transfer, sifchain-devnet-1, 07-tendermint-132, connection-89, channel-83, transfer
sentinelhub-2, 07-tendermint-69, connection-43, channel-22, transfer, sifchain-devnet-1, 07-tendermint-136, connection-91, channel-85, transfer
sentinelhub-2, 07-tendermint-70, connection-44, channel-23, transfer, sifchain-devnet-1, 07-tendermint-140, connection-93, channel-87, transfer
sentinelhub-2, 07-tendermint-71, connection-45, channel-24, transfer, sifchain-devnet-1, 07-tendermint-144, connection-95, channel-89, transfer
sentinelhub-2, 07-tendermint-72, connection-46, channel-25, transfer, sifchain-devnet-1, 07-tendermint-148, connection-97, channel-91, transfer
sentinelhub-2, 07-tendermint-73, connection-47, channel-26, transfer, sifchain-devnet-1, 07-tendermint-152, connection-99, channel-93, transfer
sentinelhub-2, 07-tendermint-74, connection-48, channel-27, transfer, sifchain-devnet-1, 07-tendermint-156, connection-101, channel-95, transfer
sentinelhub-2, 07-tendermint-75, connection-49, channel-28, transfer, sifchain-devnet-1, 07-tendermint-161, connection-104, channel-98, transfer
sentinelhub-2, 07-tendermint-76, connection-50, channel-29, transfer, sifchain-devnet-1, 07-tendermint-179, connection-114, channel-104, transfer
sentinelhub-2, 07-tendermint-39, connection-24, channel-3, transfer, irishub-1, 07-tendermint-17, connection-10, channel-6, transfer
sentinelhub-2, 07-tendermint-77, connection-51, channel-30, transfer, sifchain-devnet-1, 07-tendermint-182, connection-116, channel-106, transfer
sentinelhub-2, 07-tendermint-79, connection-53, channel-31, transfer, sifchain-testnet-1, 07-tendermint-7, connection-5, channel-4, transfer
sentinelhub-2, 07-tendermint-80, connection-54, channel-32, transfer, sifchain-testnet-1, 07-tendermint-11, connection-8, channel-7, transfer
sentinelhub-2, 07-tendermint-81, connection-55, channel-33, transfer, sifchain-testnet-1, 07-tendermint-14, connection-11, channel-10, transfer
sentinelhub-2, 07-tendermint-82, connection-56, channel-34, transfer, sifchain-devnet-1, 07-tendermint-187, connection-119, channel-108, transfer
sentinelhub-2, 07-tendermint-83, connection-57, channel-35, transfer, sifchain-devnet-1, 07-tendermint-192, connection-122, channel-111, transfer
sentinelhub-2, 07-tendermint-84, connection-58, channel-36, transfer, sifchain-1, 07-tendermint-9, connection-1, channel-1, transfer
sentinelhub-2, 07-tendermint-85, connection-59, channel-37, transfer, sifchain-1, 07-tendermint-13, connection-3, channel-3, transfer
sentinelhub-2, 07-tendermint-86, connection-60, channel-38, transfer, sifchain-devnet-1, 07-tendermint-197, connection-127, channel-116, transfer
