CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
shentu-2.2, 07-tendermint-0, connection-0, channel-0, transfer, emoney-3, 07-tendermint-57, connection-23, channel-19, transfer
shentu-2.2, 07-tendermint-1, connection-1, channel-1, transfer, comdex-1, 07-tendermint-5, connection-5, channel-6, transfer
shentu-2.2, 07-tendermint-12, connection-10, channel-10, transfer, cosmoshub-4, 07-tendermint-657, connection-502, channel-308, transfer
shentu-2.2, 07-tendermint-14, connection-12, channel-11, transfer, cosmoshub-4, 07-tendermint-699, connection-525, channel-320, transfer
shentu-2.2, 07-tendermint-16, connection-14, channel-12, transfer, osmosis-1, 07-tendermint-1905, connection-1479, channel-226, transfer
shentu-2.2, 07-tendermint-17, connection-15, channel-13, transfer, osmosis-1, 07-tendermint-1906, connection-1480, channel-227, transfer
shentu-2.2, 07-tendermint-18, connection-17, channel-14, transfer, osmosis-1, 07-tendermint-1995, connection-1544, channel-255, transfer
shentu-2.2, 07-tendermint-2, connection-2, channel-2, transfer, osmosis-1, 07-tendermint-1602, connection-1260, channel-100, transfer
shentu-2.2, 07-tendermint-3, connection-3, channel-3, transfer, sifchain-1, 07-tendermint-57, connection-33, channel-29, transfer
shentu-2.2, 07-tendermint-4, connection-4, channel-4, transfer, irishub-1, 07-tendermint-55, connection-38, channel-28, transfer
shentu-2.2, 07-tendermint-5, connection-5, channel-5, transfer, core-1, 07-tendermint-45, connection-45, channel-34, transfer
shentu-2.2, 07-tendermint-7, connection-6, channel-6, transfer, gravity-bridge-3, 07-tendermint-15, connection-15, channel-12, transfer
shentu-2.2, 07-tendermint-8, connection-7, channel-7, transfer, osmosis-1, 07-tendermint-1740, connection-1341, channel-145, transfer
shentu-2.2, 07-tendermint-9, connection-8, channel-8, transfer, osmosis-1, 07-tendermint-1741, connection-1342, channel-146, transfer
shentu-2.2, 07-tendermint-10, connection-9, channel-9, transfer, gravity-bridge-3, 07-tendermint-20, connection-19, channel-16, transfer
