CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
sifchain-1, 07-tendermint-0, connection-0, channel-0, transfer, cosmoshub-4, 07-tendermint-395, connection-347, channel-192, transfer
sifchain-1, 07-tendermint-9, connection-1, channel-1, transfer, sentinelhub-2, 07-tendermint-84, connection-58, channel-36, transfer
sifchain-1, 07-tendermint-31, connection-13, channel-10, transfer, regen-1, 07-tendermint-73, connection-60, channel-28, transfer
sifchain-1, 07-tendermint-32, connection-14, channel-11, transfer, kichain-t-4, 07-tendermint-231, connection-249, channel-206, transfer
sifchain-1, 07-tendermint-36, connection-16, channel-13, transfer, kichain-t-4, 07-tendermint-378, connection-379, channel-317, transfer
sifchain-1, 07-tendermint-37, connection-17, channel-14, transfer, juno-1, 07-tendermint-9, connection-8, channel-5, transfer
sifchain-1, 07-tendermint-39, connection-18, channel-15, transfer, impacthub-3, 07-tendermint-25, connection-25, channel-11, transfer
sifchain-1, 07-tendermint-41, connection-20, channel-17, transfer, osmosis-1, 07-tendermint-1484, connection-1159, channel-47, transfer
sifchain-1, 07-tendermint-42, connection-21, channel-18, transfer, columbus-5, 07-tendermint-19, connection-19, channel-7, transfer
sifchain-1, 07-tendermint-43, connection-22, channel-19, transfer, emoney-3, 07-tendermint-50, connection-19, channel-14, transfer
sifchain-1, 07-tendermint-11, connection-2, channel-2, transfer, akashnet-2, 07-tendermint-61, connection-36, channel-24, transfer
sifchain-1, 07-tendermint-47, connection-24, channel-20, transfer, akashnet-2, 07-tendermint-83, connection-57, channel-34, transfer
sifchain-1, 07-tendermint-48, connection-25, channel-21, transfer, irishub-1, 07-tendermint-49, connection-37, channel-26, transfer
sifchain-1, 07-tendermint-49, connection-26, channel-22, transfer, core-1, 07-tendermint-44, connection-44, channel-32, transfer
sifchain-1, 07-tendermint-50, connection-27, channel-23, transfer, columbus-5, 07-tendermint-20, connection-20, channel-8, transfer
sifchain-1, 07-tendermint-51, connection-28, channel-24, transfer, columbus-5, 07-tendermint-21, connection-21, channel-9, transfer
sifchain-1, 07-tendermint-52, connection-29, channel-25, transfer, bitcanna-1, 07-tendermint-3, connection-2, channel-2, transfer
sifchain-1, 07-tendermint-53, connection-30, channel-26, transfer, columbus-5, 07-tendermint-22, connection-23, channel-10, transfer
sifchain-1, 07-tendermint-54, connection-31, channel-27, transfer, columbus-5, 07-tendermint-23, connection-24, channel-11, transfer
sifchain-1, 07-tendermint-56, connection-32, channel-28, transfer, osmosis-1, 07-tendermint-1610, connection-1267, channel-107, transfer
sifchain-1, 07-tendermint-57, connection-33, channel-29, transfer, shentu-2.2, 07-tendermint-3, connection-3, channel-3, transfer
sifchain-1, 07-tendermint-13, connection-3, channel-3, transfer, sentinelhub-2, 07-tendermint-85, connection-59, channel-37, transfer
sifchain-1, 07-tendermint-58, connection-34, channel-30, transfer, comdex-1, 07-tendermint-7, connection-8, channel-8, transfer
sifchain-1, 07-tendermint-61, connection-37, channel-31, transfer, emoney-3, 07-tendermint-62, connection-28, channel-21, transfer
sifchain-1, 07-tendermint-63, connection-38, channel-32, transfer, arkh, 07-tendermint-23, connection-17, channel-10, transfer
sifchain-1, 07-tendermint-64, connection-39, channel-33, transfer, secret-4, 07-tendermint-17, connection-4, channel-4, transfer
sifchain-1, 07-tendermint-65, connection-40, channel-34, transfer, comdex-1, 07-tendermint-22, connection-18, channel-17, transfer
sifchain-1, 07-tendermint-68, connection-41, channel-35, transfer, chihuahua-1, 07-tendermint-47, connection-26, channel-8, transfer
sifchain-1, 07-tendermint-71, connection-42, channel-36, transfer, bitsong-2b, 07-tendermint-10, connection-10, channel-6, transfer
sifchain-1, 07-tendermint-73, connection-44, channel-37, transfer, kava-9, 07-tendermint-4, connection-3, channel-3, transfer
sifchain-1, 07-tendermint-74, connection-45, channel-38, transfer, stargaze-1, 07-tendermint-26, connection-19, channel-12, transfer
sifchain-1, 07-tendermint-75, connection-46, channel-39, transfer, lum-network-1, 07-tendermint-8, connection-6, channel-4, transfer
sifchain-1, 07-tendermint-14, connection-4, channel-4, transfer, cosmoshub-4, 07-tendermint-396, connection-349, channel-194, transfer
sifchain-1, 07-tendermint-77, connection-47, channel-40, transfer, kichain-2, 07-tendermint-14, connection-8, channel-7, transfer
sifchain-1, 07-tendermint-80, connection-48, channel-41, transfer, columbus-5, 07-tendermint-40, connection-39, channel-25, transfer
sifchain-1, 07-tendermint-81, connection-49, channel-42, transfer, umee-1, 07-tendermint-15, connection-6, channel-6, transfer
sifchain-1, 07-tendermint-82, connection-50, channel-43, transfer, fetchhub-3, 07-tendermint-5, connection-5, channel-5, transfer
sifchain-1, 07-tendermint-83, connection-51, channel-44, transfer, omniflixhub-1, 07-tendermint-15, connection-13, channel-6, transfer
sifchain-1, 07-tendermint-85, connection-52, channel-45, transfer, columbus-5, 07-tendermint-62, connection-45, channel-29, transfer
sifchain-1, 07-tendermint-89, connection-53, channel-46, transfer, columbus-5, 07-tendermint-63, connection-48, channel-30, transfer
sifchain-1, 07-tendermint-90, connection-54, channel-47, transfer, columbus-5, 07-tendermint-64, connection-49, channel-31, transfer
sifchain-1, 07-tendermint-91, connection-55, channel-48, transfer, columbus-5, 07-tendermint-72, connection-60, channel-42, transfer
sifchain-1, 07-tendermint-92, connection-56, channel-49, transfer, omniflixhub-1, 07-tendermint-26, connection-22, channel-15, transfer
sifchain-1, 07-tendermint-15, connection-5, channel-5, transfer, akashnet-2, 07-tendermint-62, connection-37, channel-25, transfer
sifchain-1, 07-tendermint-93, connection-57, channel-51, transfer, titan-1, 07-tendermint-9, connection-5, channel-5, transfer
sifchain-1, 07-tendermint-98, connection-66, channel-52, transfer, gravity-bridge-3, 07-tendermint-88, connection-93, channel-54, transfer
sifchain-1, 07-tendermint-107, connection-68, channel-54, transfer, iov-mainnet-ibc, 07-tendermint-53, connection-36, channel-18, transfer
sifchain-1, 07-tendermint-112, connection-69, channel-55, transfer, evmos_9001-2, 07-tendermint-16, connection-10, channel-7, transfer
sifchain-1, 07-tendermint-113, connection-70, channel-56, transfer, kichain-2, 07-tendermint-28, connection-23, channel-17, transfer
sifchain-1, 07-tendermint-114, connection-71, channel-57, transfer, stargaze-1, 07-tendermint-149, connection-96, channel-41, transfer
sifchain-1, 07-tendermint-118, connection-73, channel-58, transfer, chihuahua-1, 07-tendermint-77, connection-46, channel-20, transfer
sifchain-1, 07-tendermint-121, connection-74, channel-59, transfer, likecoin-mainnet-2, 07-tendermint-33, connection-21, channel-12, transfer
sifchain-1, 07-tendermint-17, connection-7, channel-6, transfer, irishub-1, 07-tendermint-41, connection-29, channel-18, transfer
sifchain-1, 07-tendermint-122, connection-75, channel-60, transfer, gravity-bridge-3, 07-tendermint-109, connection-107, channel-66, transfer
sifchain-1, 07-tendermint-143, connection-90, channel-62, transfer, bitsong-2b, 07-tendermint-35, connection-19, channel-7, transfer
sifchain-1, 07-tendermint-145, connection-92, channel-63, transfer, cerberus-chain-1, 07-tendermint-8, connection-4, channel-4, transfer
sifchain-1, 07-tendermint-154, connection-93, channel-64, transfer, comdex-1, 07-tendermint-45, connection-30, channel-27, transfer
