CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
stride-1, 07-tendermint-127, connection-117, channel-146, consumer, cosmoshub-4, 07-tendermint-1154, connection-876, channel-635, provider
stride-1, 07-tendermint-41, connection-28, channel-130, icacontroller-comdex-1.DELEGATION, comdex-1, 07-tendermint-83, connection-50, channel-83, icahost
stride-1, 07-tendermint-41, connection-28, channel-131, icacontroller-comdex-1.FEE, comdex-1, 07-tendermint-83, connection-50, channel-81, icahost
stride-1, 07-tendermint-41, connection-28, channel-133, icacontroller-comdex-1.REDEMPTION, comdex-1, 07-tendermint-83, connection-50, channel-79, icahost
stride-1, 07-tendermint-41, connection-28, channel-132, icacontroller-comdex-1.WITHDRAWAL, comdex-1, 07-tendermint-83, connection-50, channel-80, icahost
stride-1, 07-tendermint-0, connection-0, channel-7, icacontroller-cosmoshub-4.DELEGATION, cosmoshub-4, 07-tendermint-913, connection-635, channel-396, icahost
stride-1, 07-tendermint-0, connection-0, channel-2, icacontroller-cosmoshub-4.FEE, cosmoshub-4, 07-tendermint-913, connection-635, channel-395, icahost
stride-1, 07-tendermint-0, connection-0, channel-4, icacontroller-cosmoshub-4.REDEMPTION, cosmoshub-4, 07-tendermint-913, connection-635, channel-393, icahost
stride-1, 07-tendermint-0, connection-0, channel-3, icacontroller-cosmoshub-4.WITHDRAWAL, cosmoshub-4, 07-tendermint-913, connection-635, channel-392, icahost
stride-1, 07-tendermint-8, connection-7, channel-88, icacontroller-evmos_9001-2.DELEGATION, evmos_9001-2, 07-tendermint-77, connection-33, channel-76, icahost
stride-1, 07-tendermint-8, connection-7, channel-63, icacontroller-evmos_9001-2.FEE, evmos_9001-2, 07-tendermint-77, connection-33, channel-53, icahost
stride-1, 07-tendermint-8, connection-7, channel-65, icacontroller-evmos_9001-2.REDEMPTION, evmos_9001-2, 07-tendermint-77, connection-33, channel-52, icahost
stride-1, 07-tendermint-8, connection-7, channel-84, icacontroller-evmos_9001-2.WITHDRAWAL, evmos_9001-2, 07-tendermint-77, connection-33, channel-74, icahost
stride-1, 07-tendermint-2, connection-3, channel-76, icacontroller-injective-1.DELEGATION, injective-1, 07-tendermint-131, connection-103, channel-115, icahost
stride-1, 07-tendermint-2, connection-3, channel-77, icacontroller-injective-1.FEE, injective-1, 07-tendermint-131, connection-103, channel-114, icahost
stride-1, 07-tendermint-2, connection-3, channel-79, icacontroller-injective-1.REDEMPTION, injective-1, 07-tendermint-131, connection-103, channel-113, icahost
stride-1, 07-tendermint-2, connection-3, channel-78, icacontroller-injective-1.WITHDRAWAL, injective-1, 07-tendermint-131, connection-103, channel-116, icahost
stride-1, 07-tendermint-31, connection-19, channel-145, icacontroller-juno-1.DELEGATION, juno-1, 07-tendermint-263, connection-205, channel-289, icahost
stride-1, 07-tendermint-31, connection-19, channel-26, icacontroller-juno-1.FEE, juno-1, 07-tendermint-263, connection-205, channel-143, icahost
stride-1, 07-tendermint-31, connection-19, channel-28, icacontroller-juno-1.REDEMPTION, juno-1, 07-tendermint-263, connection-205, channel-140, icahost
stride-1, 07-tendermint-31, connection-19, channel-27, icacontroller-juno-1.WITHDRAWAL, juno-1, 07-tendermint-263, connection-205, channel-142, icahost
stride-1, 07-tendermint-1, connection-2, channel-42, icacontroller-osmosis-1.DELEGATION, osmosis-1, 07-tendermint-2119, connection-1657, channel-456, icahost
stride-1, 07-tendermint-1, connection-2, channel-43, icacontroller-osmosis-1.FEE, osmosis-1, 07-tendermint-2119, connection-1657, channel-451, icahost
stride-1, 07-tendermint-1, connection-2, channel-45, icacontroller-osmosis-1.REDEMPTION, osmosis-1, 07-tendermint-2119, connection-1657, channel-441, icahost
stride-1, 07-tendermint-1, connection-2, channel-44, icacontroller-osmosis-1.WITHDRAWAL, osmosis-1, 07-tendermint-2119, connection-1657, channel-430, icahost
stride-1, 07-tendermint-51, connection-32, channel-144, icacontroller-phoenix-1.DELEGATION, phoenix-1, 07-tendermint-87, connection-72, channel-202, icahost
stride-1, 07-tendermint-51, connection-32, channel-59, icacontroller-phoenix-1.FEE, phoenix-1, 07-tendermint-87, connection-72, channel-82, icahost
stride-1, 07-tendermint-51, connection-32, channel-61, icacontroller-phoenix-1.REDEMPTION, phoenix-1, 07-tendermint-87, connection-72, channel-81, icahost
stride-1, 07-tendermint-51, connection-32, channel-60, icacontroller-phoenix-1.WITHDRAWAL, phoenix-1, 07-tendermint-87, connection-72, channel-79, icahost
stride-1, 07-tendermint-131, connection-122, channel-151, icacontroller-sommelier-3.DELEGATION, sommelier-3, 07-tendermint-60, connection-75, channel-72, icahost
stride-1, 07-tendermint-131, connection-122, channel-152, icacontroller-sommelier-3.FEE, sommelier-3, 07-tendermint-60, connection-75, channel-73, icahost
stride-1, 07-tendermint-131, connection-122, channel-154, icacontroller-sommelier-3.REDEMPTION, sommelier-3, 07-tendermint-60, connection-75, channel-75, icahost
stride-1, 07-tendermint-131, connection-122, channel-153, icacontroller-sommelier-3.WITHDRAWAL, sommelier-3, 07-tendermint-60, connection-75, channel-74, icahost
stride-1, 07-tendermint-30, connection-18, channel-128, icacontroller-stargaze-1.DELEGATION, stargaze-1, 07-tendermint-195, connection-128, channel-179, icahost
stride-1, 07-tendermint-30, connection-18, channel-21, icacontroller-stargaze-1.FEE, stargaze-1, 07-tendermint-195, connection-128, channel-109, icahost
stride-1, 07-tendermint-30, connection-18, channel-23, icacontroller-stargaze-1.REDEMPTION, stargaze-1, 07-tendermint-195, connection-128, channel-107, icahost
stride-1, 07-tendermint-30, connection-18, channel-127, icacontroller-stargaze-1.WITHDRAWAL, stargaze-1, 07-tendermint-195, connection-128, channel-178, icahost
stride-1, 07-tendermint-32, connection-20, channel-147, icacontroller-umee-1.DELEGATION, umee-1, 07-tendermint-64, connection-45, channel-102, icahost
