CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
teritori-1, 07-tendermint-0, connection-0, channel-0, transfer, osmosis-1, 07-tendermint-2192, connection-1710, channel-362, transfer
teritori-1, 07-tendermint-2, connection-1, channel-1, transfer, evmos_9001-2, 07-tendermint-89, connection-47, channel-35, transfer
teritori-1, 07-tendermint-32, connection-11, channel-10, transfer, cosmoshub-4, 07-tendermint-962, connection-674, channel-431, transfer
teritori-1, 07-tendermint-33, connection-12, channel-11, transfer, juno-1, 07-tendermint-268, connection-209, channel-164, transfer
teritori-1, 07-tendermint-35, connection-13, channel-12, transfer, kaiyo-1, 07-tendermint-58, connection-39, channel-45, transfer
teritori-1, 07-tendermint-41, connection-16, channel-14, transfer, planq_7070-2, 07-tendermint-342, connection-307, channel-44, transfer
teritori-1, 07-tendermint-43, connection-18, channel-15, transfer, phoenix-1, 07-tendermint-202, connection-159, channel-138, transfer
teritori-1, 07-tendermint-44, connection-20, channel-16, transfer, eightball-1, 07-tendermint-73, connection-64, channel-60, transfer
teritori-1, 07-tendermint-45, connection-21, channel-17, transfer, arkh, 07-tendermint-85, connection-75, channel-55, transfer
teritori-1, 07-tendermint-46, connection-22, channel-18, transfer, mantle-1, 07-tendermint-97, connection-66, channel-53, transfer
teritori-1, 07-tendermint-47, connection-24, channel-19, transfer, axelar-dojo-1, 07-tendermint-146, connection-131, channel-98, transfer
teritori-1, 07-tendermint-8, connection-2, channel-2, transfer, osmosis-1, 07-tendermint-2199, connection-1713, channel-366, transfer
teritori-1, 07-tendermint-48, connection-25, channel-20, transfer, bitcanna-1, 07-tendermint-69, connection-64, channel-41, transfer
teritori-1, 07-tendermint-49, connection-26, channel-21, transfer, bostrom, 07-tendermint-71, connection-44, channel-38, transfer
teritori-1, 07-tendermint-50, connection-27, channel-22, transfer, cheqd-mainnet-1, 07-tendermint-65, connection-47, channel-26, transfer
teritori-1, 07-tendermint-51, connection-28, channel-23, transfer, chihuahua-1, 07-tendermint-164, connection-111, channel-58, transfer
teritori-1, 07-tendermint-52, connection-29, channel-24, transfer, comdex-1, 07-tendermint-168, connection-79, channel-70, transfer
teritori-1, 07-tendermint-53, connection-30, channel-25, transfer, crescent-1, 07-tendermint-104, connection-92, channel-60, transfer
teritori-1, 07-tendermint-54, connection-31, channel-26, transfer, crypto-org-chain-mainnet-1, 07-tendermint-1185, connection-311, channel-81, transfer
teritori-1, 07-tendermint-55, connection-33, channel-27, transfer, desmos-mainnet, 07-tendermint-64, connection-34, channel-24, transfer
teritori-1, 07-tendermint-57, connection-35, channel-28, transfer, injective-1, 07-tendermint-192, connection-173, channel-135, transfer
teritori-1, 07-tendermint-59, connection-37, channel-29, transfer, jackal-1, 07-tendermint-39, connection-30, channel-26, transfer
teritori-1, 07-tendermint-10, connection-3, channel-3, transfer, osmosis-1, 07-tendermint-2200, connection-1714, channel-367, transfer
teritori-1, 07-tendermint-61, connection-39, channel-30, transfer, kaiyo-1, 07-tendermint-132, connection-100, channel-89, transfer
teritori-1, 07-tendermint-63, connection-40, channel-31, transfer, mars-1, 07-tendermint-56, connection-45, channel-34, transfer
teritori-1, 07-tendermint-64, connection-41, channel-32, transfer, migaloo-1, 07-tendermint-83, connection-64, channel-43, transfer
teritori-1, 07-tendermint-65, connection-43, channel-33, transfer, odin-mainnet-freya, 07-tendermint-97, connection-74, channel-56, transfer
teritori-1, 07-tendermint-66, connection-44, channel-34, transfer, core-1, 07-tendermint-141, connection-177, channel-107, transfer
teritori-1, 07-tendermint-67, connection-46, channel-35, transfer, regen-1, 07-tendermint-159, connection-136, channel-134, transfer
teritori-1, 07-tendermint-69, connection-47, channel-36, transfer, sommelier-3, 07-tendermint-46, connection-48, channel-31, transfer
teritori-1, 07-tendermint-70, connection-48, channel-37, transfer, stargaze-1, 07-tendermint-269, connection-201, channel-168, transfer
teritori-1, 07-tendermint-71, connection-50, channel-38, transfer, iov-mainnet-ibc, 07-tendermint-98, connection-76, channel-49, transfer
teritori-1, 07-tendermint-72, connection-51, channel-39, transfer, stride-1, 07-tendermint-120, connection-103, channel-117, transfer
teritori-1, 07-tendermint-23, connection-4, channel-4, transfer, osmosis-1, 07-tendermint-2202, connection-1716, channel-369, transfer
teritori-1, 07-tendermint-73, connection-53, channel-40, transfer, agoric-3, 07-tendermint-63, connection-58, channel-49, transfer
teritori-1, 07-tendermint-77, connection-55, channel-42, transfer, gravity-bridge-3, 07-tendermint-399, connection-378, channel-136, transfer
teritori-1, 07-tendermint-80, connection-57, channel-43, transfer, kava_2222-10, 07-tendermint-118, connection-155, channel-115, transfer
teritori-1, 07-tendermint-84, connection-60, channel-44, transfer, quicksilver-2, 07-tendermint-64, connection-45, channel-81, transfer
teritori-1, 07-tendermint-85, connection-61, channel-45, transfer, secret-4, 07-tendermint-164, connection-114, channel-78, transfer
teritori-1, 07-tendermint-87, connection-63, channel-46, transfer, stride-1, 07-tendermint-123, connection-107, channel-118, transfer
