CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
columbus-5, 07-tendermint-12, connection-11, channel-1, transfer, osmosis-1, 07-tendermint-1549, connection-1215, channel-72, transfer
columbus-5, 07-tendermint-22, connection-23, channel-10, transfer, sifchain-1, 07-tendermint-53, connection-30, channel-26, transfer
columbus-5, 07-tendermint-23, connection-24, channel-11, transfer, sifchain-1, 07-tendermint-54, connection-31, channel-27, transfer
columbus-5, 07-tendermint-24, connection-25, channel-12, transfer, secret-4, 07-tendermint-2, connection-0, channel-0, transfer
columbus-5, 07-tendermint-25, connection-26, channel-13, transfer, secret-test-1, 07-tendermint-0, connection-0, channel-0, transfer
columbus-5, 07-tendermint-26, connection-27, channel-14, transfer, secret-test-1, 07-tendermint-1, connection-1, channel-1, transfer
columbus-5, 07-tendermint-27, connection-28, channel-15, transfer, secret-test-1, 07-tendermint-0, connection-0, channel-0, transfer
columbus-5, 07-tendermint-28, connection-29, channel-16, transfer, secret-4, 07-tendermint-3, connection-2, channel-2, transfer
columbus-5, 07-tendermint-29, connection-30, channel-17, transfer, injective-1, 07-tendermint-10, connection-7, channel-4, transfer
columbus-5, 07-tendermint-30, connection-31, channel-19, transfer, axelar-dojo-1, 07-tendermint-0, connection-0, channel-0, transfer
columbus-5, 07-tendermint-13, connection-13, channel-2, transfer, cosmoshub-4, 07-tendermint-469, connection-387, channel-219, transfer
columbus-5, 07-tendermint-32, connection-34, channel-20, transfer, juno-1, 07-tendermint-63, connection-43, channel-27, transfer
columbus-5, 07-tendermint-35, connection-36, channel-22, transfer, cronosmainnet_25-1, 07-tendermint-3, connection-2, channel-2, transfer
columbus-5, 07-tendermint-36, connection-37, channel-23, transfer, cronosmainnet_28-1, 07-tendermint-6, connection-4, channel-2, transfer
columbus-5, 07-tendermint-38, connection-38, channel-24, transfer, kava_2222-10, 07-tendermint-5, connection-4, channel-4, transfer
columbus-5, 07-tendermint-40, connection-39, channel-25, transfer, sifchain-1, 07-tendermint-80, connection-48, channel-41, transfer
columbus-5, 07-tendermint-43, connection-40, channel-26, transfer, umee-1, 07-tendermint-12, connection-3, channel-3, transfer
columbus-5, 07-tendermint-46, connection-41, channel-27, transfer, omniflixhub-1, 07-tendermint-13, connection-11, channel-4, transfer
columbus-5, 07-tendermint-59, connection-44, channel-28, transfer, osmosis-1, 07-tendermint-1865, connection-1455, channel-209, transfer
columbus-5, 07-tendermint-62, connection-45, channel-29, transfer, sifchain-1, 07-tendermint-85, connection-52, channel-45, transfer
columbus-5, 07-tendermint-15, connection-14, channel-3, transfer, juno-1, 07-tendermint-17, connection-11, channel-7, transfer
columbus-5, 07-tendermint-63, connection-48, channel-30, transfer, sifchain-1, 07-tendermint-89, connection-53, channel-46, transfer
columbus-5, 07-tendermint-64, connection-49, channel-31, transfer, sifchain-1, 07-tendermint-90, connection-54, channel-47, transfer
columbus-5, 07-tendermint-65, connection-50, channel-32, transfer, kava_2222-10, 07-tendermint-8, connection-6, channel-6, transfer
columbus-5, 07-tendermint-66, connection-54, channel-37, transfer, Oraichain, 07-tendermint-31, connection-13, channel-8, transfer
columbus-5, 07-tendermint-67, connection-55, channel-38, transfer, gravity-bridge-3, 07-tendermint-79, connection-84, channel-48, transfer
