CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
phoenix-1, 07-tendermint-87, connection-72, channel-248, icahost, stride-1, 07-tendermint-51, connection-32, channel-159, icacontroller-phoenix-1.DELEGATION
phoenix-1, 07-tendermint-100, connection-88, channel-73, icahost, local-test-1, 07-tendermint-0, connection-0, channel-3, icacontroller-phoenix-1.WITHDRAWAL
phoenix-1, 07-tendermint-100, connection-88, channel-74, icahost, local-test-1, 07-tendermint-0, connection-0, channel-4, icacontroller-phoenix-1.REDEMPTION
phoenix-1, 07-tendermint-100, connection-88, channel-75, icahost, local-test-1, 07-tendermint-0, connection-0, channel-2, icacontroller-phoenix-1.FEE
phoenix-1, 07-tendermint-100, connection-88, channel-76, icahost, local-test-1, 07-tendermint-0, connection-0, channel-1, icacontroller-phoenix-1.DELEGATION
phoenix-1, 07-tendermint-87, connection-72, channel-79, icahost, stride-1, 07-tendermint-51, connection-32, channel-60, icacontroller-phoenix-1.WITHDRAWAL
phoenix-1, 07-tendermint-87, connection-72, channel-81, icahost, stride-1, 07-tendermint-51, connection-32, channel-61, icacontroller-phoenix-1.REDEMPTION
phoenix-1, 07-tendermint-87, connection-72, channel-82, icahost, stride-1, 07-tendermint-51, connection-32, channel-59, icacontroller-phoenix-1.FEE
phoenix-1, 07-tendermint-0, connection-1, channel-0, transfer, cosmoshub-4, 07-tendermint-760, connection-551, channel-339, transfer
phoenix-1, 07-tendermint-2, connection-3, channel-1, transfer, osmosis-1, 07-tendermint-1979, connection-1536, channel-251, transfer
phoenix-1, 07-tendermint-11, connection-13, channel-10, transfer, kaiyo-1, 07-tendermint-5, connection-3, channel-5, transfer
phoenix-1, 07-tendermint-123, connection-117, channel-100, transfer, kava_2222-10, 07-tendermint-72, connection-117, channel-88, transfer
phoenix-1, 07-tendermint-124, connection-118, channel-101, transfer, agoric-3, 07-tendermint-22, connection-21, channel-14, transfer
phoenix-1, 07-tendermint-138, connection-119, channel-102, transfer, akashnet-2, 07-tendermint-125, connection-97, channel-62, transfer
phoenix-1, 07-tendermint-139, connection-120, channel-103, transfer, arkh, 07-tendermint-35, connection-28, channel-13, transfer
phoenix-1, 07-tendermint-141, connection-121, channel-104, transfer, bitsong-2b, 07-tendermint-46, connection-29, channel-11, transfer
phoenix-1, 07-tendermint-151, connection-123, channel-105, transfer, mantle-1, 07-tendermint-49, connection-30, channel-18, transfer
phoenix-1, 07-tendermint-152, connection-124, channel-106, transfer, laozi-mainnet, 07-tendermint-154, connection-132, channel-150, transfer
phoenix-1, 07-tendermint-153, connection-125, channel-107, transfer, bitcanna-1, 07-tendermint-35, connection-33, channel-18, transfer
phoenix-1, 07-tendermint-155, connection-127, channel-108, transfer, bostrom, 07-tendermint-39, connection-18, channel-15, transfer
phoenix-1, 07-tendermint-156, connection-128, channel-109, transfer, crypto-org-chain-mainnet-1, 07-tendermint-1154, connection-279, channel-62, transfer
phoenix-1, 07-tendermint-16, connection-18, channel-11, transfer, osmosis-1, 07-tendermint-2059, connection-1590, channel-273, transfer
phoenix-1, 07-tendermint-157, connection-129, channel-110, transfer, desmos-mainnet, 07-tendermint-24, connection-17, channel-10, transfer
phoenix-1, 07-tendermint-158, connection-130, channel-111, transfer, fetchhub-4, 07-tendermint-57, connection-26, channel-19, transfer
phoenix-1, 07-tendermint-160, connection-132, channel-112, transfer, irishub-1, 07-tendermint-94, connection-73, channel-40, transfer
phoenix-1, 07-tendermint-162, connection-133, channel-113, transfer, jackal-1, 07-tendermint-7, connection-4, channel-3, transfer
phoenix-1, 07-tendermint-170, connection-135, channel-115, transfer, eightball-1, 07-tendermint-4, connection-19, channel-17, transfer
phoenix-1, 07-tendermint-16, connection-19, channel-12, transfer, osmosis-1, 07-tendermint-2060, connection-1591, channel-274, transfer
phoenix-1, 07-tendermint-176, connection-139, channel-120, transfer, likecoin-mainnet-2, 07-tendermint-36, connection-22, channel-13, transfer
phoenix-1, 07-tendermint-177, connection-140, channel-121, transfer, bostrom, 07-tendermint-40, connection-19, channel-16, transfer
phoenix-1, 07-tendermint-178, connection-141, channel-122, transfer, eightball-1, 07-tendermint-5, connection-20, channel-18, transfer
phoenix-1, 07-tendermint-179, connection-142, channel-123, transfer, arkh, 07-tendermint-36, connection-29, channel-14, transfer
phoenix-1, 07-tendermint-180, connection-143, channel-124, transfer, jackal-1, 07-tendermint-8, connection-5, channel-4, transfer
phoenix-1, 07-tendermint-184, connection-146, channel-126, transfer, odin-mainnet-freya, 07-tendermint-53, connection-41, channel-27, transfer
phoenix-1, 07-tendermint-185, connection-147, channel-127, transfer, core-1, 07-tendermint-107, connection-147, channel-85, transfer
phoenix-1, 07-tendermint-188, connection-148, channel-128, transfer, quicksilver-2, 07-tendermint-29, connection-15, channel-56, transfer
phoenix-1, 07-tendermint-189, connection-149, channel-129, transfer, regen-1, 07-tendermint-117, connection-105, channel-104, transfer
phoenix-1, 07-tendermint-17, connection-20, channel-13, transfer, cosmoshub-4, 07-tendermint-866, connection-598, channel-354, transfer
phoenix-1, 07-tendermint-190, connection-150, channel-130, transfer, sentinelhub-2, 07-tendermint-133, connection-109, channel-72, transfer
phoenix-1, 07-tendermint-191, connection-151, channel-131, transfer, sommelier-3, 07-tendermint-15, connection-14, channel-7, transfer
phoenix-1, 07-tendermint-192, connection-152, channel-132, transfer, stargaze-1, 07-tendermint-241, connection-173, channel-148, transfer
phoenix-1, 07-tendermint-193, connection-153, channel-133, transfer, iov-mainnet-ibc, 07-tendermint-59, connection-45, channel-27, transfer
phoenix-1, 07-tendermint-194, connection-154, channel-134, transfer, columbus-5, 07-tendermint-179, connection-103, channel-73, transfer
phoenix-1, 07-tendermint-195, connection-155, channel-135, transfer, umee-1, 07-tendermint-184, connection-123, channel-54, transfer
phoenix-1, 07-tendermint-196, connection-156, channel-136, transfer, vidulum-1, 07-tendermint-9, connection-17, channel-14, transfer
phoenix-1, 07-tendermint-199, connection-158, channel-137, transfer, kichain-2, 07-tendermint-34, connection-28, channel-22, transfer
phoenix-1, 07-tendermint-202, connection-159, channel-138, transfer, teritori-1, 07-tendermint-43, connection-18, channel-15, transfer
phoenix-1, 07-tendermint-203, connection-160, channel-139, transfer, agoric-3, 07-tendermint-23, connection-22, channel-15, transfer
phoenix-1, 07-tendermint-205, connection-161, channel-140, transfer, mantle-1, 07-tendermint-51, connection-32, channel-20, transfer
phoenix-1, 07-tendermint-206, connection-162, channel-141, transfer, bitcanna-1, 07-tendermint-36, connection-34, channel-19, transfer
phoenix-1, 07-tendermint-207, connection-163, channel-142, transfer, bitsong-2b, 07-tendermint-47, connection-30, channel-12, transfer
phoenix-1, 07-tendermint-208, connection-164, channel-143, transfer, crypto-org-chain-mainnet-1, 07-tendermint-1155, connection-281, channel-63, transfer
phoenix-1, 07-tendermint-209, connection-165, channel-144, transfer, desmos-mainnet, 07-tendermint-25, connection-18, channel-11, transfer
phoenix-1, 07-tendermint-210, connection-166, channel-145, transfer, fetchhub-4, 07-tendermint-58, connection-28, channel-20, transfer
phoenix-1, 07-tendermint-211, connection-167, channel-146, transfer, irishub-1, 07-tendermint-96, connection-74, channel-41, transfer
phoenix-1, 07-tendermint-213, connection-168, channel-147, transfer, kava_2222-10, 07-tendermint-73, connection-118, channel-89, transfer
phoenix-1, 07-tendermint-215, connection-169, channel-150, transfer, akashnet-2, 07-tendermint-129, connection-104, channel-68, transfer
phoenix-1, 07-tendermint-216, connection-170, channel-151, transfer, noble-1, 07-tendermint-14, connection-23, channel-9, transfer
phoenix-1, 07-tendermint-221, connection-174, channel-152, transfer, gravity-bridge-3, 07-tendermint-392, connection-370, channel-130, transfer
phoenix-1, 07-tendermint-223, connection-176, channel-153, transfer, regen-1, 07-tendermint-161, connection-138, channel-135, transfer
phoenix-1, 07-tendermint-224, connection-177, channel-154, transfer, sommelier-3, 07-tendermint-48, connection-50, channel-32, transfer
phoenix-1, 07-tendermint-226, connection-180, channel-158, transfer, pacific-1, 07-tendermint-10, connection-4, channel-3, transfer
phoenix-1, 07-tendermint-228, connection-181, channel-159, transfer, agoric-3, 07-tendermint-64, connection-59, channel-50, transfer
phoenix-1, 07-tendermint-232, connection-182, channel-160, transfer, bostrom, 07-tendermint-81, connection-54, channel-46, transfer
phoenix-1, 07-tendermint-237, connection-184, channel-161, transfer, jackal-1, 07-tendermint-51, connection-41, channel-36, transfer
phoenix-1, 07-tendermint-241, connection-187, channel-162, transfer, odin-mainnet-freya, 07-tendermint-104, connection-81, channel-61, transfer
phoenix-1, 07-tendermint-244, connection-188, channel-163, transfer, quicksilver-2, 07-tendermint-65, connection-47, channel-82, transfer
phoenix-1, 07-tendermint-246, connection-189, channel-164, transfer, stargaze-1, 07-tendermint-274, connection-205, channel-170, transfer
phoenix-1, 07-tendermint-247, connection-190, channel-165, transfer, iov-mainnet-ibc, 07-tendermint-101, connection-79, channel-51, transfer
