CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
umee-1, 07-tendermint-188, connection-129, channel-60, icahost, stride-local-15, 07-tendermint-0, connection-0, channel-4, icacontroller-umee-1.REDEMPTION
umee-1, 07-tendermint-188, connection-129, channel-62, icahost, stride-local-15, 07-tendermint-0, connection-0, channel-2, icacontroller-umee-1.FEE
umee-1, 07-tendermint-64, connection-45, channel-65, icahost, stride-1, 07-tendermint-32, connection-20, channel-95, icacontroller-umee-1.REDEMPTION
umee-1, 07-tendermint-64, connection-45, channel-67, icahost, stride-1, 07-tendermint-32, connection-20, channel-93, icacontroller-umee-1.FEE
umee-1, 07-tendermint-64, connection-45, channel-92, icahost, stride-1, 07-tendermint-32, connection-20, channel-136, icacontroller-umee-1.WITHDRAWAL
umee-1, 07-tendermint-64, connection-45, channel-93, icahost, stride-1, 07-tendermint-32, connection-20, channel-135, icacontroller-umee-1.DELEGATION
umee-1, 07-tendermint-6, connection-0, channel-0, transfer, osmosis-1, 07-tendermint-1805, connection-1410, channel-184, transfer
umee-1, 07-tendermint-9, connection-1, channel-1, transfer, cosmoshub-4, 07-tendermint-611, connection-473, channel-288, transfer
umee-1, 07-tendermint-30, connection-10, channel-10, transfer, fetchhub-3, 07-tendermint-8, connection-8, channel-8, transfer
umee-1, 07-tendermint-31, connection-11, channel-11, transfer, fetchhub-3, 07-tendermint-9, connection-9, channel-9, transfer
umee-1, 07-tendermint-32, connection-12, channel-12, transfer, gravity-bridge-3, 07-tendermint-48, connection-57, channel-31, transfer
umee-1, 07-tendermint-33, connection-13, channel-13, transfer, gravity-bridge-3, 07-tendermint-49, connection-58, channel-32, transfer
umee-1, 07-tendermint-38, connection-14, channel-14, transfer, stargaze-1, 07-tendermint-135, connection-84, channel-31, transfer
umee-1, 07-tendermint-39, connection-15, channel-15, transfer, stargaze-1, 07-tendermint-136, connection-85, channel-32, transfer
umee-1, 07-tendermint-40, connection-16, channel-16, transfer, stargaze-1, 07-tendermint-137, connection-86, channel-33, transfer
umee-1, 07-tendermint-42, connection-18, channel-17, transfer, stargaze-1, 07-tendermint-139, connection-88, channel-34, transfer
umee-1, 07-tendermint-43, connection-19, channel-18, transfer, stargaze-1, 07-tendermint-140, connection-89, channel-35, transfer
umee-1, 07-tendermint-44, connection-20, channel-19, transfer, gravity-bridge-3, 07-tendermint-55, connection-64, channel-36, transfer
umee-1, 07-tendermint-11, connection-2, channel-2, transfer, juno-1, 07-tendermint-131, connection-87, channel-62, transfer
umee-1, 07-tendermint-47, connection-22, channel-20, transfer, evmos_9001-1, 07-tendermint-1, connection-1, channel-1, transfer
umee-1, 07-tendermint-49, connection-23, channel-21, transfer, desmos-mainnet, 07-tendermint-16, connection-12, channel-5, transfer
umee-1, 07-tendermint-55, connection-31, channel-22, transfer, crescent-1, 07-tendermint-11, connection-9, channel-6, transfer
umee-1, 07-tendermint-59, connection-32, channel-23, transfer, crescent-1, 07-tendermint-22, connection-15, channel-12, transfer
umee-1, 07-tendermint-59, connection-33, channel-24, transfer, crescent-1, 07-tendermint-22, connection-16, channel-13, transfer
umee-1, 07-tendermint-59, connection-34, channel-25, transfer, crescent-1, 07-tendermint-22, connection-17, channel-14, transfer
umee-1, 07-tendermint-59, connection-35, channel-26, transfer, crescent-1, 07-tendermint-22, connection-18, channel-15, transfer
umee-1, 07-tendermint-59, connection-37, channel-28, transfer, crescent-1, 07-tendermint-22, connection-20, channel-17, transfer
umee-1, 07-tendermint-59, connection-38, channel-29, transfer, crescent-1, 07-tendermint-22, connection-21, channel-18, transfer
umee-1, 07-tendermint-12, connection-3, channel-3, transfer, columbus-5, 07-tendermint-43, connection-40, channel-26, transfer
umee-1, 07-tendermint-59, connection-40, channel-30, transfer, crescent-1, 07-tendermint-22, connection-23, channel-19, transfer
umee-1, 07-tendermint-59, connection-42, channel-31, transfer, crescent-1, 07-tendermint-22, connection-26, channel-20, transfer
umee-1, 07-tendermint-61, connection-43, channel-32, transfer, axelar-dojo-1, 07-tendermint-62, connection-42, channel-35, transfer
umee-1, 07-tendermint-63, connection-44, channel-33, transfer, axelar-dojo-1, 07-tendermint-64, connection-43, channel-36, transfer
umee-1, 07-tendermint-64, connection-45, channel-34, transfer, stride-1, 07-tendermint-32, connection-20, channel-29, transfer
umee-1, 07-tendermint-88, connection-56, channel-35, transfer, jackal-1, 07-tendermint-5, connection-2, channel-1, transfer
umee-1, 07-tendermint-106, connection-58, channel-36, transfer, cronosmainnet_25-1, 07-tendermint-27, connection-11, channel-5, transfer
umee-1, 07-tendermint-125, connection-70, channel-37, transfer, kaiyo-1, 07-tendermint-65, connection-43, channel-48, transfer
umee-1, 07-tendermint-126, connection-71, channel-38, transfer, exchain-100, 07-tendermint-5, connection-11, channel-8, transfer
umee-1, 07-tendermint-128, connection-72, channel-39, transfer, exchain-66, 07-tendermint-113, connection-70, channel-42, transfer
umee-1, 07-tendermint-13, connection-4, channel-4, transfer, gravity-bridge-3, 07-tendermint-37, connection-48, channel-22, transfer
umee-1, 07-tendermint-129, connection-79, channel-41, transfer, planq_7070-2, 07-tendermint-131, connection-142, channel-22, transfer
umee-1, 07-tendermint-152, connection-101, channel-42, transfer, agoric-3, 07-tendermint-18, connection-18, channel-11, transfer
umee-1, 07-tendermint-154, connection-103, channel-43, transfer, juno-1, 07-tendermint-299, connection-269, channel-208, transfer
umee-1, 07-tendermint-158, connection-105, channel-44, transfer, crypto-org-chain-mainnet-1, 07-tendermint-1152, connection-276, channel-60, transfer
umee-1, 07-tendermint-160, connection-106, channel-45, transfer, phoenix-1, 07-tendermint-114, connection-104, channel-93, transfer
umee-1, 07-tendermint-161, connection-107, channel-46, transfer, stride-1, 07-tendermint-80, connection-65, channel-71, transfer
umee-1, 07-tendermint-165, connection-108, channel-47, transfer, phoenix-1, 07-tendermint-115, connection-107, channel-94, transfer
umee-1, 07-tendermint-169, connection-109, channel-48, transfer, akashnet-2, 07-tendermint-118, connection-92, channel-60, transfer
umee-1, 07-tendermint-170, connection-110, channel-49, transfer, crescent-1, 07-tendermint-56, connection-53, channel-36, transfer
umee-1, 07-tendermint-14, connection-5, channel-5, transfer, akashnet-2, 07-tendermint-92, connection-61, channel-38, transfer
umee-1, 07-tendermint-178, connection-117, channel-50, transfer, juno-1, 07-tendermint-333, connection-320, channel-223, transfer
umee-1, 07-tendermint-179, connection-119, channel-51, transfer, core-1, 07-tendermint-105, connection-144, channel-81, transfer
umee-1, 07-tendermint-182, connection-121, channel-52, transfer, lum-network-1, 07-tendermint-20, connection-21, channel-11, transfer
umee-1, 07-tendermint-183, connection-122, channel-53, transfer, quicksilver-2, 07-tendermint-27, connection-13, channel-49, transfer
umee-1, 07-tendermint-184, connection-123, channel-54, transfer, phoenix-1, 07-tendermint-195, connection-155, channel-135, transfer
umee-1, 07-tendermint-185, connection-126, channel-55, transfer, nois-1, 07-tendermint-3, connection-3, channel-15, transfer
umee-1, 07-tendermint-186, connection-127, channel-56, transfer, eightball-1, 07-tendermint-75, connection-66, channel-62, transfer
umee-1, 07-tendermint-187, connection-128, channel-57, transfer, migaloo-1, 07-tendermint-44, connection-32, channel-22, transfer
umee-1, 07-tendermint-188, connection-129, channel-58, transfer, stride-local-15, 07-tendermint-0, connection-0, channel-0, transfer
umee-1, 07-tendermint-15, connection-6, channel-6, transfer, sifchain-1, 07-tendermint-81, connection-49, channel-42, transfer
umee-1, 07-tendermint-189, connection-130, channel-63, transfer, arkh, 07-tendermint-87, connection-77, channel-57, transfer
umee-1, 07-tendermint-16, connection-7, channel-7, transfer, fetchhub-3, 07-tendermint-4, connection-4, channel-4, transfer
umee-1, 07-tendermint-190, connection-131, channel-71, transfer, mantle-1, 07-tendermint-105, connection-69, channel-55, transfer
umee-1, 07-tendermint-191, connection-132, channel-72, transfer, bitcanna-1, 07-tendermint-71, connection-66, channel-42, transfer
umee-1, 07-tendermint-192, connection-133, channel-73, transfer, bostrom, 07-tendermint-73, connection-46, channel-39, transfer
umee-1, 07-tendermint-194, connection-134, channel-75, transfer, jackal-1, 07-tendermint-40, connection-31, channel-27, transfer
umee-1, 07-tendermint-195, connection-135, channel-76, transfer, kava_2222-10, 07-tendermint-112, connection-149, channel-110, transfer
umee-1, 07-tendermint-196, connection-136, channel-77, transfer, kaiyo-1, 07-tendermint-133, connection-101, channel-90, transfer
umee-1, 07-tendermint-198, connection-137, channel-78, transfer, mars-1, 07-tendermint-58, connection-47, channel-35, transfer
umee-1, 07-tendermint-199, connection-138, channel-79, transfer, odin-mainnet-freya, 07-tendermint-99, connection-76, channel-57, transfer
umee-1, 07-tendermint-29, connection-8, channel-8, transfer, gravity-bridge-3, 07-tendermint-40, connection-51, channel-25, transfer
umee-1, 07-tendermint-200, connection-139, channel-80, transfer, regen-1, 07-tendermint-162, connection-139, channel-136, transfer
umee-1, 07-tendermint-201, connection-140, channel-81, transfer, sommelier-3, 07-tendermint-49, connection-51, channel-33, transfer
umee-1, 07-tendermint-202, connection-141, channel-82, transfer, stargaze-1, 07-tendermint-271, connection-203, channel-169, transfer
umee-1, 07-tendermint-203, connection-142, channel-83, transfer, teritori-1, 07-tendermint-89, connection-65, channel-47, transfer
umee-1, 07-tendermint-208, connection-144, channel-84, transfer, irishub-1, 07-tendermint-144, connection-109, channel-64, transfer
umee-1, 07-tendermint-213, connection-147, channel-85, transfer, secret-4, 07-tendermint-165, connection-115, channel-79, transfer
umee-1, 07-tendermint-215, connection-149, channel-86, transfer, teritori-1, 07-tendermint-91, connection-67, channel-48, transfer
umee-1, 07-tendermint-217, connection-151, channel-87, transfer, phoenix-1, 07-tendermint-252, connection-191, channel-166, transfer
umee-1, 07-tendermint-29, connection-9, channel-9, transfer, gravity-bridge-3, 07-tendermint-43, connection-54, channel-28, transfer
umee-1, 07-tendermint-219, connection-153, channel-91, transfer, comdex-1, 07-tendermint-176, connection-83, channel-78, transfer
umee-1, 07-tendermint-225, connection-185, channel-94, transfer, kaiyo-1, 07-tendermint-142, connection-107, channel-96, transfer
umee-1, 07-tendermint-226, connection-187, channel-95, transfer, mars-1, 07-tendermint-65, connection-51, channel-38, transfer
umee-1, 07-tendermint-227, connection-189, channel-96, transfer, phoenix-1, 07-tendermint-314, connection-225, channel-192, transfer
umee-1, 07-tendermint-228, connection-190, channel-97, transfer, archway-1, 07-tendermint-6, connection-5, channel-4, transfer
umee-1, 07-tendermint-229, connection-191, channel-98, transfer, kava_2222-10, 07-tendermint-124, connection-160, channel-119, transfer
