CHAIN_ID, CLIENT, CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
vidulum-1, 07-tendermint-0, connection-0, channel-0, transfer, osmosis-1, 07-tendermint-1705, connection-1300, channel-124, transfer
vidulum-1, 07-tendermint-1, connection-1, channel-1, transfer, kaiyo-1, 07-tendermint-22, connection-17, channel-20, transfer
vidulum-1, 07-tendermint-5, connection-13, channel-10, transfer, exchain-66, 07-tendermint-100, connection-44, channel-37, transfer
vidulum-1, 07-tendermint-7, connection-15, channel-12, transfer, beezee-1, 07-tendermint-7, connection-1, channel-1, transfer
vidulum-1, 07-tendermint-8, connection-16, channel-13, transfer, exchain-66, 07-tendermint-117, connection-79, channel-47, transfer
vidulum-1, 07-tendermint-9, connection-17, channel-14, transfer, phoenix-1, 07-tendermint-196, connection-156, channel-136, transfer
vidulum-1, 07-tendermint-10, connection-18, channel-15, transfer, eightball-1, 07-tendermint-76, connection-67, channel-63, transfer
vidulum-1, 07-tendermint-11, connection-19, channel-16, transfer, agoric-3, 07-tendermint-60, connection-55, channel-46, transfer
vidulum-1, 07-tendermint-12, connection-20, channel-17, transfer, akashnet-2, 07-tendermint-155, connection-135, channel-98, transfer
vidulum-1, 07-tendermint-13, connection-21, channel-18, transfer, arkh, 07-tendermint-88, connection-78, channel-58, transfer
vidulum-1, 07-tendermint-14, connection-22, channel-19, transfer, mantle-1, 07-tendermint-106, connection-70, channel-56, transfer
vidulum-1, 07-tendermint-2, connection-2, channel-2, transfer, exchain-66, 07-tendermint-64, connection-17, channel-14, transfer
vidulum-1, 07-tendermint-15, connection-23, channel-20, transfer, axelar-dojo-1, 07-tendermint-147, connection-132, channel-99, transfer
vidulum-1, 07-tendermint-18, connection-26, channel-21, transfer, cheqd-mainnet-1, 07-tendermint-68, connection-50, channel-27, transfer
vidulum-1, 07-tendermint-40, connection-42, channel-22, transfer, kichain-2, 07-tendermint-80, connection-59, channel-32, transfer
vidulum-1, 07-tendermint-48, connection-45, channel-23, transfer, phoenix-1, 07-tendermint-297, connection-211, channel-184, transfer
vidulum-1, 07-tendermint-3, connection-3, channel-3, transfer, exchain-66, 07-tendermint-65, connection-18, channel-15, transfer
vidulum-1, 07-tendermint-3, connection-4, channel-4, transfer, exchain-66, 07-tendermint-65, connection-19, channel-16, transfer
vidulum-1, 07-tendermint-3, connection-5, channel-5, transfer, exchain-66, 07-tendermint-65, connection-20, channel-17, transfer
vidulum-1, 07-tendermint-2, connection-7, channel-6, transfer, exchain-66, 07-tendermint-64, connection-22, channel-18, transfer
vidulum-1, 07-tendermint-2, connection-9, channel-7, transfer, exchain-66, 07-tendermint-64, connection-24, channel-19, transfer
vidulum-1, 07-tendermint-4, connection-10, channel-8, transfer, exchain-66, 07-tendermint-66, connection-25, channel-20, transfer
vidulum-1, 07-tendermint-5, connection-12, channel-9, transfer, exchain-66, 07-tendermint-100, connection-43, channel-36, transfer
